date,open,high,low,close,volume,dividends,stock_splits
2024-08-21,1.5169836913158596,1.53422212600708,1.5083644739702493,1.53422212600708,65000,0.0,0.0
2024-08-22,1.5342220622478355,1.5342220622478355,1.5169836282730103,1.5169836282730103,43000,0.0,0.0
2024-08-23,1.5083644348700394,1.5083644348700394,1.4221721608990596,1.4307913780212402,77000,0.0,0.0
2024-08-26,1.4307913780212402,1.439410595143421,1.4307913780212402,1.4307913780212402,10000,0.0,0.0
2024-08-27,1.5342220980807495,1.5945567211509692,1.5342220980807495,1.5428413152694702,528000,0.0,0.0
2024-08-28,1.5514605324581912,1.5514605324581912,1.5083644465145867,1.5428413152694702,142000,0.0,0.0
2024-08-29,1.5169836637033076,1.5428413152694702,1.4652683605709824,1.5428413152694702,77000,0.0,0.0
2024-08-30,1.5083644465145867,1.5428413152694702,1.482506794948424,1.5428413152694702,388000,0.0,0.0
2024-09-02,1.5428413075939844,1.5428413075939844,1.5083644390106201,1.5083644390106201,16000,0.0,0.0
2024-09-03,1.5083644670543208,1.5083644670543208,1.4911260324421394,1.49974524974823,21000,0.0,0.0
2024-09-04,1.4911259412765503,1.52560280839304,1.4652682909391828,1.4911259412765503,176000,0.0,0.0
2024-09-05,1.4911260047189379,1.5083644390106201,1.4738875704272556,1.5083644390106201,34000,0.0,0.0
2024-09-09,1.5174509286880493,1.5174509286880493,1.5174509286880493,1.5174509286880493,0,0.09,0.0
2024-09-10,1.5174509632928597,1.5174509632928597,1.4992779147283808,1.5083644390106201,48000,0.0,0.0
2024-09-11,1.5174509286880493,1.5174509286880493,1.5174509286880493,1.5174509286880493,0,0.0,0.0
2024-09-12,1.5265374183654785,1.5265374183654785,1.5265374183654785,1.5265374183654785,16000,0.0,0.0
2024-09-13,1.5265374527630746,1.5537971333080614,1.5174509286880493,1.5174509286880493,96000,0.0,0.0
2024-09-16,1.5174509632928597,1.5174509632928597,1.4992779147283808,1.5083644390106201,58000,0.0,0.0
2024-09-17,1.5083644046130242,1.5174509286880493,1.4992778805379992,1.5174509286880493,17000,0.0,0.0
2024-09-19,1.544710636138916,1.553797160372211,1.5265374793524131,1.544710636138916,41000,0.0,0.0
2024-09-20,1.544710601785131,1.5537971258163452,1.544710601785131,1.5537971258163452,61000,0.0,0.0
2024-09-23,1.5537971258163452,1.5719701738787732,1.544710601785131,1.5537971258163452,96000,0.0,0.0
2024-09-24,1.5901432381819405,1.5901432381819405,1.5537971416858678,1.5810567140579224,83000,0.0,0.0
2024-09-25,1.6174028105539948,1.6174028105539948,1.5810567140579224,1.5810567140579224,102000,0.0,0.0
2024-09-26,1.5901432690393467,1.6355758905410767,1.5901432690393467,1.6355758905410767,75000,0.0,0.0
2024-09-27,1.6810086965560913,1.6900952212682931,1.6174029152507607,1.6810086965560913,452000,0.0,0.0
2024-09-30,1.7446142975984427,1.7446142975984427,1.690095151573451,1.6991816759109497,356000,0.0,0.0
2024-10-02,1.7355277458621412,1.7991335235404005,1.7264412216680918,1.771873950958252,644000,0.0,0.0
2024-10-03,1.817306580271761,1.8263931045075268,1.7264412295941902,1.735527753829956,405000,0.0,0.0
2024-10-04,1.753700872880946,1.753700872880946,1.6446624693434835,1.7173547744750977,1227000,0.0,0.0
2024-10-07,1.7355277945099843,1.7900470495224,1.7173547456124842,1.7900470495224,395000,0.0,0.0
2024-10-08,1.7900469721061694,1.817306544273493,1.726441195395836,1.7446142435073853,259000,0.0,0.0
2024-10-09,1.7446142780657217,1.7446142780657217,1.6810086084153615,1.735527753829956,73000,0.0,0.0
2024-10-10,1.7355278034034785,1.7809605341999586,1.7355278034034785,1.753700852394104,208000,0.0,0.0
2024-10-14,1.7537007602619372,1.7809604406356812,1.744614236243993,1.7809604406356812,84000,0.0,0.0
2024-10-15,1.7809605100247627,1.7809605100247627,1.753700828588938,1.7627874612808228,340000,0.0,0.0
2024-10-16,1.7627873925997923,1.8082200126895145,1.7718739166177369,1.7809604406356812,42000,0.0,0.0
2024-10-17,1.780960490653554,1.8082200634729664,1.780960490653554,1.799133539199829,1140000,0.0,0.0
2024-10-18,1.79004692959386,1.86273912031367,1.7809604057538837,1.8536525964736938,235000,0.0,0.0
2024-10-21,1.8536526129529995,1.9081717564775422,1.8173065172699712,1.880912184715271,102000,0.0,0.0
2024-10-22,1.8718256788210583,1.8718256788210583,1.8173065347714712,1.8445661067962646,170000,0.0,0.0
2024-10-23,1.8445660890322424,1.889998708636028,1.8445660890322424,1.880912184715271,165000,0.0,0.0
2024-10-24,1.8627391529606987,1.9081717729568481,1.8627391529606987,1.9081717729568481,230000,0.0,0.0
2024-10-25,1.9081718422604836,1.9081718422604836,1.8899987936019897,1.8899987936019897,47000,0.0,0.0
2024-10-28,1.88999875911597,1.899085283279419,1.8718257107890721,1.899085283279419,32000,0.0,0.0
2024-10-29,1.8990854032368265,1.9536047683011084,1.8990854032368265,1.935431718826294,215000,0.0,0.0
2024-10-30,1.917258296956078,1.917258296956078,1.8809122009591583,1.9081717729568481,50000,0.0,0.0
2024-10-31,1.899085283279419,1.953604644899937,1.88999875911597,1.899085283279419,34000,0.0,0.0
2024-11-01,1.9445180688003894,1.9445180688003894,1.8718256607945138,1.880912184715271,69000,0.0,0.0
2024-11-04,1.8718256788210583,1.8718256788210583,1.8173065347714712,1.8445661067962646,120000,0.0,0.0
2024-11-05,1.880912184715271,1.889998708636028,1.8354795651114855,1.880912184715271,342000,0.0,0.0
2024-11-06,1.8627391709508552,1.8718256950378418,1.8445661227768817,1.8718256950378418,33000,0.0,0.0
2024-11-07,1.8718256788210583,1.8718256788210583,1.8354795827880002,1.8445661067962646,8000,0.0,0.0
2024-11-08,1.8445660726337176,1.8536525964736938,1.8445660726337176,1.8536525964736938,5000,0.0,0.0
2024-11-11,1.8445661067962646,1.8445661067962646,1.8445661067962646,1.8445661067962646,20000,0.0,0.0
2024-11-12,1.8082200634729664,1.8082200634729664,1.7264412366948159,1.799133539199829,23000,0.0,0.0
2024-11-13,1.8173065529765482,1.8173065529765482,1.7446142518623182,1.8082200288772583,85000,0.0,0.0
2024-11-14,1.7718740097046457,1.7718740097046457,1.753700852394104,1.753700852394104,8000,0.0,0.0
2024-11-15,1.7173547245859468,1.7173547245859468,1.6810086272359526,1.6991816759109497,163000,0.0,0.0
2024-11-18,1.6991816759109497,1.7082682002484484,1.6719221028984539,1.6991816759109497,155000,0.0,0.0
2024-11-19,1.6991817459804948,1.7082682706926964,1.6810086965560913,1.6810086965560913,27000,0.0,0.0
2024-11-20,1.690095151573451,1.7264412489234455,1.690095151573451,1.6991816759109497,85000,0.0,0.0
2024-11-21,1.708268165588379,1.708268165588379,1.708268165588379,1.708268165588379,0,0.0,0.0
2024-11-22,1.735527738047789,1.8809122328178882,1.708268165588379,1.708268165588379,46000,0.0,0.0
2024-11-25,1.7082681554651589,1.8173065529765482,1.7082681554651589,1.8082200288772583,24000,0.0,0.0
2024-11-26,1.7627874421072793,1.799133539199829,1.7264412366948159,1.799133539199829,91000,0.0,0.0
2024-11-27,1.7991334886715702,1.817306536707459,1.744614236243993,1.7809604406356812,661000,0.0,0.0
2024-11-28,1.8082199946275068,1.8173065185546875,1.7627873749916034,1.8173065185546875,2570000,0.0,0.0
2024-11-29,1.8445660903362295,1.8445660903362295,1.7991334707003261,1.8173065185546875,278000,0.0,0.0
2024-12-02,1.8173065185546875,1.8445660903362295,1.7809604228459648,1.8173065185546875,67000,0.0,0.0
2024-12-03,1.8173065877461039,1.8173065877461039,1.799133539199829,1.799133539199829,77000,0.0,0.0
2024-12-04,1.7991335047779686,1.8173065529765482,1.7991335047779686,1.8082200288772583,14000,0.0,0.0
2024-12-05,1.7991335047779686,1.8082200288772583,1.7991335047779686,1.8082200288772583,41000,0.0,0.0
2024-12-06,1.8173065185546875,1.8445660903362295,1.8173065185546875,1.8173065185546875,69000,0.0,0.0
2024-12-09,1.8173065185546875,1.8173065185546875,1.8173065185546875,1.8173065185546875,2000,0.0,0.0
2024-12-10,1.8445660903362295,1.8445660903362295,1.7991334707003261,1.8173065185546875,948000,0.0,0.0
2024-12-11,1.8173065185546875,1.8173065185546875,1.8173065185546875,1.8173065185546875,5000,0.0,0.0
2024-12-12,1.7991334534338363,1.8536525964736938,1.7991334534338363,1.8536525964736938,117000,0.0,0.0
2024-12-13,1.8536527301624603,1.871825779153086,1.7264412789081658,1.753700852394104,282000,0.0,0.0
2024-12-16,1.7900470495224,1.7900470495224,1.7900470495224,1.7900470495224,5000,0.0,0.0
2024-12-17,1.7718739663804168,1.799133539199829,1.7537008095142284,1.799133539199829,97000,0.0,0.0
2024-12-18,1.817306607512643,1.817306607512643,1.7264412554730277,1.7627874612808228,423000,0.0,0.0
2024-12-19,1.7627874267642025,1.7809604751523014,1.7627874267642025,1.771873950958252,79000,0.0,0.0
2024-12-20,1.790047034396733,1.790047034396733,1.753700828588938,1.7627874612808228,31000,0.0,0.0
2024-12-23,1.7355277277630283,1.8173065529765482,1.7355277277630283,1.8082200288772583,61000,0.0,0.0
2024-12-24,1.8082200288772583,1.8082200288772583,1.8082200288772583,1.8082200288772583,0,0.0,0.0
2024-12-27,1.8082200126895145,1.8082200126895145,1.7809604406356812,1.7809604406356812,45000,0.0,0.0
2024-12-30,1.771873950958252,1.7809604751523014,1.7446142700561909,1.771873950958252,85000,0.0,0.0
2024-12-31,1.799133539199829,1.799133539199829,1.799133539199829,1.799133539199829,0,0.0,0.0
2025-01-02,1.8718257333849284,1.8718257333849284,1.780960490653554,1.799133539199829,117000,0.0,0.0
2025-01-03,1.799133539199829,1.799133539199829,1.799133539199829,1.799133539199829,0,0.0,0.0
2025-01-06,1.7809604406356812,1.7809604406356812,1.7809604406356812,1.7809604406356812,0,0.0,0.0
2025-01-07,1.7809604406356812,1.7809604406356812,1.7809604406356812,1.7809604406356812,0,0.0,0.0
2025-01-08,1.8082200477344499,1.8082200477344499,1.7627874267642025,1.771873950958252,11000,0.0,0.0
2025-01-09,1.7537007942502403,1.7809604751523014,1.7537007942502403,1.771873950958252,16000,0.0,0.0
2025-01-10,1.771873950958252,1.771873950958252,1.7537007942502403,1.771873950958252,36000,0.0,0.0
2025-01-13,1.7446143189587342,1.7991335739711498,1.7355277945099843,1.7900470495224,66000,0.0,0.0
2025-01-14,1.8082200288772583,1.8082200288772583,1.7809604565793888,1.8082200288772583,21000,0.0,0.0
2025-01-15,1.78096052507365,1.7900470495224,1.7718740006248999,1.7900470495224,32000,0.0,0.0
2025-01-16,1.7809604406356812,1.7809604406356812,1.7718739166177369,1.7809604406356812,4000,0.0,0.0
2025-01-17,1.8173065877461039,1.8263931120192414,1.7900470149266916,1.799133539199829,22000,0.0,0.0
2025-01-20,1.7991335739711498,1.8263931473173998,1.7900470495224,1.7900470495224,25000,0.0,0.0
2025-01-21,1.7991334886715702,1.7991334886715702,1.7809604406356812,1.7809604406356812,23000,0.0,0.0
2025-01-22,1.78096052507365,1.8082200984199,1.7355277945099843,1.7900470495224,143000,0.0,0.0
2025-01-23,1.799133583190584,1.799133583190584,1.753700852394104,1.753700852394104,360000,0.0,0.0
2025-01-24,1.771873950958252,1.771873950958252,1.771873950958252,1.771873950958252,0,0.0,0.0
2025-01-27,1.7809604406356812,1.7991334886715702,1.7627873925997923,1.7809604406356812,48000,0.0,0.0
2025-01-28,1.7627874612808228,1.7627874612808228,1.7627874612808228,1.7627874612808228,0,0.0,0.0
2025-02-03,1.7627874612808228,1.7627874612808228,1.744614304216968,1.7627874612808228,37000,0.0,0.0
2025-02-04,1.7627873999388455,1.7718739239946202,1.7446142435073853,1.7446142435073853,377000,0.0,0.0
2025-02-05,1.7718739166177369,1.7809604406356812,1.7718739166177369,1.7809604406356812,17000,0.0,0.0
2025-02-06,1.799133539199829,1.8354796362923786,1.7900470149266916,1.799133539199829,106000,0.0,0.0
2025-02-07,1.8354795847433478,1.8354795847433478,1.7809604406356812,1.7809604406356812,39000,0.0,0.0
2025-02-10,1.7900470495224,1.83547967176615,1.76278747617615,1.7900470495224,54000,0.0,0.0
2025-02-11,1.7900469646536257,1.7900469646536257,1.7809604406356812,1.7809604406356812,9000,0.0,0.0
2025-02-12,1.7809604406356812,1.7809604406356812,1.7718739166177369,1.7809604406356812,32000,0.0,0.0
2025-02-13,1.78096052507365,1.7991335739711498,1.78096052507365,1.7900470495224,25000,0.0,0.0
2025-02-14,1.7900470495224,1.7900470495224,1.7900470495224,1.7900470495224,31000,0.0,0.0
2025-02-17,1.799133558768703,1.799133558768703,1.7627874612808228,1.7627874612808228,292000,0.0,0.0
2025-02-18,1.762787485209333,1.7809605341999586,1.7446143278987913,1.753700852394104,161000,0.0,0.0
2025-02-19,1.753700828588938,1.7718739856527927,1.753700828588938,1.7627874612808228,19000,0.0,0.0
2025-02-20,1.780960490653554,1.8082200634729664,1.7627874421072793,1.799133539199829,238000,0.0,0.0
2025-02-21,1.7537007602619372,1.7991334886715702,1.7537007602619372,1.7809604406356812,183000,0.0,0.0
2025-02-24,1.790047030041948,1.8263931274414062,1.7718739813422189,1.8263931274414062,197000,0.0,0.0
2025-02-25,1.8354796011751278,1.8354796011751278,1.7991335047779686,1.8082200288772583,21000,0.0,0.0
2025-02-26,1.8445660903362295,1.8445660903362295,1.8082199946275068,1.8173065185546875,15000,0.0,0.0
2025-02-27,1.8627391896534924,1.8627391896534924,1.8263930929406165,1.8354796171188354,336000,0.0,0.0
2025-02-28,1.8354796171188354,1.8536526654752734,1.7809604720495216,1.8354796171188354,58000,0.0,0.0
2025-03-03,1.8445660726337176,1.86273912031367,1.8445660726337176,1.8536525964736938,106000,0.0,0.0
2025-03-04,1.8536525964736938,1.8536525964736938,1.8536525964736938,1.8536525964736938,0,0.0,0.0
2025-03-05,1.8536526811055745,1.8990853023797647,1.8536526811055745,1.8627392053604126,127000,0.0,0.0
2025-03-06,1.8536526811055745,1.8627392053604126,1.8536526811055745,1.8627392053604126,78000,0.0,0.0
