date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,VALUABLE CAPITAL LTD,UOB KAY HIAN (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CELESTIAL SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-08-30,0.09307880432066104,0.07169568897017344,0.049351271363327016,0.0,0.009496502162374135,0.0065722848063850935,0.014346678095733168,0.009606382751798507,0.2541476124704524
2024-09-04,0.09307880432066104,0.07231379981783542,0.049351271363327016,0.0,0.009496502162374135,0.0065722848063850935,0.014346678095733168,0.009606382751798507,0.25476572331811437
2024-09-12,0.0929812078710302,0.07257405701685099,0.049351271363327016,0.0,0.009496502162374135,0.006409624057000364,0.014346678095733168,0.009606382751798507,0.25476572331811437
2024-09-13,0.0929812078710302,0.07260658916672794,0.049351271363327016,0.0,0.009496502162374135,0.006409624057000364,0.014346678095733168,0.009606382751798507,0.25479825546799134
2024-09-20,0.0929812078710302,0.07250899271709708,0.049351271363327016,0.0,0.009496502162374135,0.006409624057000364,0.014346678095733168,0.009606382751798507,0.2547006590183605
2024-09-23,0.0929812078710302,0.07254152486697404,0.049351271363327016,0.0,0.009496502162374135,0.006409624057000364,0.014346678095733168,0.009606382751798507,0.25473319116823745
2024-10-02,0.09333906151967661,0.07263912131660488,0.049351271363327016,0.0,0.009496502162374135,0.006409624057000364,0.014346678095733168,0.009606382751798507,0.25518864126651464
2024-10-03,0.09333906151967661,0.07270418561635877,0.04931873921345007,0.0,0.00946397001249719,0.006409624057000364,0.014346678095733168,0.009606382751798507,0.25518864126651464
2024-10-04,0.09333906151967661,0.07306203926500518,0.04931873921345007,0.0,0.009398905712743297,0.006409624057000364,0.014346678095733168,0.009606382751798507,0.2554814306154072
2024-10-08,0.09333906151967661,0.07306203926500518,0.04931873921345007,0.0,0.009398905712743297,0.006507220506631201,0.014346678095733168,0.009573850601921563,0.25554649491516107
2024-10-09,0.09333906151967661,0.07263912131660488,0.04931873921345007,0.0,0.009659162911758864,0.006507220506631201,0.014346678095733168,0.009573850601921563,0.2553838341657763
2024-10-10,0.09333906151967661,0.07309457141488213,0.04931873921345007,0.0,0.009659162911758864,0.006507220506631201,0.014346678095733168,0.009573850601921563,0.2558392842640536
2024-10-14,0.09333906151967661,0.07358255366303632,0.04931873921345007,0.0,0.009659162911758864,0.006019238258477012,0.014346678095733168,0.009573850601921563,0.2558392842640536
2024-10-15,0.09333906151967661,0.07351748936328242,0.04931873921345007,0.0,0.009659162911758864,0.006019238258477012,0.014346678095733168,0.009573850601921563,0.2557742199642997
2024-10-16,0.09333906151967661,0.07381027871217494,0.04931873921345007,0.0,0.009659162911758864,0.005921641808846174,0.014346678095733168,0.009573850601921563,0.2559694128635614
2024-10-22,0.09333906151967661,0.07794186174654708,0.04518715617907794,0.0,0.009659162911758864,0.005921641808846174,0.014346678095733168,0.009573850601921563,0.2559694128635614
2024-10-25,0.09333906151967661,0.07813705464580874,0.04518715617907794,0.0,0.009659162911758864,0.005921641808846174,0.014346678095733168,0.009573850601921563,0.25616460576282307
2024-10-28,0.09333906151967661,0.07787679744679318,0.04518715617907794,0.0,0.009659162911758864,0.005921641808846174,0.014346678095733168,0.009573850601921563,0.2559043485638075
2024-10-29,0.09333906151967661,0.07787679744679318,0.04518715617907794,0.011223591707546356,0.009659162911758864,0.005921641808846174,0.014346678095733168,0.009573850601921563,0.26712794027135384
2024-10-30,0.09333906151967661,0.0781045224959318,0.04518715617907794,0.011223591707546356,0.009659162911758864,0.005693916759707552,0.014346678095733168,0.009573850601921563,0.26712794027135384
2024-11-12,0.09333906151967661,0.07829971539519348,0.04518715617907794,0.011223591707546356,0.009659162911758864,0.005693916759707552,0.014346678095733168,0.009573850601921563,0.2673231331706155
2024-11-14,0.09333906151967661,0.0781045224959318,0.04518715617907794,0.011223591707546356,0.009659162911758864,0.005693916759707552,0.014346678095733168,0.009573850601921563,0.26712794027135384
2024-11-15,0.09333906151967661,0.07842984399470126,0.04518715617907794,0.011223591707546356,0.009659162911758864,0.005693916759707552,0.014346678095733168,0.009573850601921563,0.2674532617701233
2024-11-20,0.09333906151967661,0.07839731184482432,0.04518715617907794,0.011223591707546356,0.009659162911758864,0.005693916759707552,0.014346678095733168,0.009573850601921563,0.2674207296202464
2024-11-22,0.09333906151967661,0.07842984399470126,0.04518715617907794,0.011223591707546356,0.009659162911758864,0.005693916759707552,0.014346678095733168,0.009573850601921563,0.2674532617701233
2024-11-27,0.09333906151967661,0.07859250474408598,0.04499196327981626,0.011223591707546356,0.009659162911758864,0.005693916759707552,0.014346678095733168,0.009573850601921563,0.2674207296202464
2024-11-28,0.09333906151967661,0.07862503689396294,0.04499196327981626,0.011223591707546356,0.009659162911758864,0.005693916759707552,0.014346678095733168,0.009573850601921563,0.2674532617701233
2024-12-03,0.09333906151967661,0.07829971539519348,0.044894366830185425,0.011223591707546356,0.009659162911758864,0.005693916759707552,0.014346678095733168,0.009573850601921563,0.267030343821723
2024-12-04,0.09333906151967661,0.07813705464580874,0.044894366830185425,0.011223591707546356,0.009659162911758864,0.005693916759707552,0.014346678095733168,0.009573850601921563,0.26686768307233827
2024-12-09,0.09333906151967661,0.07813705464580874,0.04479677038055459,0.011223591707546356,0.009659162911758864,0.005693916759707552,0.014346678095733168,0.009573850601921563,0.2667700866227074
2024-12-11,0.09333906151967661,0.07813705464580874,0.04447144888178512,0.011223591707546356,0.009659162911758864,0.005693916759707552,0.014346678095733168,0.009573850601921563,0.26644476512393794
2024-12-18,0.09268841852213769,0.07823465109543959,0.04447144888178512,0.011223591707546356,0.009659162911758864,0.005693916759707552,0.014346678095733168,0.009573850601921563,0.2658917185760299
2025-01-03,0.09268841852213769,0.07787679744679318,0.04447144888178512,0.011223591707546356,0.009659162911758864,0.005693916759707552,0.014346678095733168,0.009573850601921563,0.2655338649273835
2025-02-03,0.09246069347299905,0.07940580849100963,0.04447144888178512,0.011223591707546356,0.009789291511266649,0.004978209462414742,0.014346678095733168,0.009573850601921563,0.2662495722246763
2025-02-04,0.092493225622876,0.08126014103399556,0.04447144888178512,0.011223591707546356,0.010635127408067244,0.004978209462414742,0.014346678095733168,0.009573850601921563,0.2689822728143398
2025-02-05,0.092493225622876,0.08005645148854856,0.04447144888178512,0.011223591707546356,0.010635127408067244,0.004978209462414742,0.014346678095733168,0.009573850601921563,0.26777858326889276
2025-02-06,0.092493225622876,0.07976366213965604,0.04437385243215429,0.011223591707546356,0.010635127408067244,0.004978209462414742,0.014346678095733168,0.009573850601921563,0.2673881974703694
2025-02-10,0.09200524337472181,0.08005645148854856,0.04443891673190818,0.011223591707546356,0.010700191707821136,0.004978209462414742,0.014346678095733168,0.009573850601921563,0.2673231331706155
2025-02-17,0.09200524337472181,0.08008898363842551,0.04447144888178512,0.011223591707546356,0.010700191707821136,0.004978209462414742,0.014346678095733168,0.009573850601921563,0.2673881974703694
2025-02-18,0.09194017907496793,0.07999138718879467,0.04463410963116986,0.011223591707546356,0.010700191707821136,0.004978209462414742,0.014346678095733168,0.009573850601921563,0.2673881974703694
2025-02-21,0.09194017907496793,0.07982872643940993,0.04463410963116986,0.011223591707546356,0.010700191707821136,0.004978209462414742,0.014346678095733168,0.009573850601921563,0.2672255367209847
2025-02-26,0.09194017907496793,0.07986125858928689,0.04463410963116986,0.011223591707546356,0.010700191707821136,0.004978209462414742,0.014346678095733168,0.009573850601921563,0.2672580688708616
2025-02-27,0.09194017907496793,0.07982872643940993,0.04469917393092375,0.011223591707546356,0.010700191707821136,0.004978209462414742,0.014346678095733168,0.009573850601921563,0.2672906010207386
2025-03-10,0.09197271122484486,0.07966606569002521,0.04469917393092375,0.011223591707546356,0.010700191707821136,0.004978209462414742,0.014346678095733168,0.009573850601921563,0.2671604724212308
2025-03-12,0.09242816132312211,0.07973112998977909,0.044569045331415966,0.011223591707546356,0.010700191707821136,0.005531256010322823,0.014346678095733168,0.009573850601921563,0.2681039047676622
2025-03-13,0.09384005662778157,0.07973112998977909,0.044569045331415966,0.011223591707546356,0.010700191707821136,0.005531256010322823,0.014346678095733168,0.009573850601921563,0.2695158000723217
2025-03-14,0.09384005662778157,0.08002391933867162,0.044569045331415966,0.011223591707546356,0.010700191707821136,0.005531256010322823,0.014346678095733168,0.009573850601921563,0.2698085894212142
2025-03-20,0.09384005662778157,0.08021911223793328,0.044569045331415966,0.011223591707546356,0.010700191707821136,0.005531256010322823,0.014346678095733168,0.009573850601921563,0.27000378232047584
2025-04-03,0.09384005662778157,0.08021911223793328,0.044569045331415966,0.011223591707546356,0.010700191707821136,0.010085756993095257,0.009792177112960734,0.009573850601921563,0.27000378232047584
2025-04-14,0.09384005662778157,0.08028417653768719,0.044569045331415966,0.011223591707546356,0.010700191707821136,0.010085756993095257,0.009792177112960734,0.009573850601921563,0.27006884662022973
2025-04-17,0.09384005662778157,0.08028417653768719,0.044569045331415966,0.011223591707546356,0.010700191707821136,0.009923096243710527,0.009792177112960734,0.009573850601921563,0.26990618587084503
2025-04-23,0.09384005662778157,0.08028417653768719,0.044503981031662074,0.011223591707546356,0.010700191707821136,0.009923096243710527,0.009792177112960734,0.009573850601921563,0.26984112157109114
