date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG BANK LTD
2024-09-09,217.065114672008,232.68616549824736,105.6653312468703,67.0122315973961,21.10117426139209,22.40141612418628,14.67359589384076,6.6661089133700555,0.0
2024-09-10,216.2947090635954,232.59468853279918,105.69435578367552,67.39019904857287,21.35407260891337,21.441100650976463,14.257972458688032,6.760049824737107,0.0
2024-09-11,211.90550025037555,234.01572383575365,105.77669153730595,68.15055783675513,21.459017776665,21.45728367551327,14.30611967951928,6.804241111667501,0.0
2024-09-12,211.9846189283926,232.07903730595896,105.7959454181272,68.58973234852279,21.54767576364547,21.378039809714572,14.282334001001502,6.9688630445668505,0.0
2024-09-13,211.55735302954432,231.4573865798698,105.80642714071107,70.138274661993,21.616881321982977,21.579717325988984,14.272994992488734,6.988739359038558,0.0
2024-09-16,211.53907561342012,231.98562093139708,105.80165247871807,69.44496845267902,21.614645468202305,21.47685102653981,14.261978467701553,6.742745368052078,8.428753129694542
2024-09-17,213.9021201802704,231.665580871307,105.75973460190285,67.73614371557336,21.65618277416124,21.65993565348022,14.17096695042564,6.698303705558338,0.0
2024-09-19,0.0,230.79662143214824,105.75815423134702,66.49914221331998,21.65851427140711,21.3631154231347,14.177602904356535,6.588138457686529,0.0
2024-09-20,0.0,231.57875363044568,105.75413545317977,67.1282260891337,21.572022283425138,21.599601402103154,14.1768517776665,6.554012268402603,0.0
2024-09-23,214.6497416124186,232.484871557336,105.73759989984977,68.1027889334001,21.390010015022533,21.601812218327492,13.800537305958937,6.45649098647972,0.0
2024-09-24,216.5445588382574,232.4087098147221,105.71004857285928,65.61670681021532,21.25461692538808,22.169789183775663,13.79479118678017,6.395900100150226,0.0
2024-09-25,217.55351752628945,227.7260833750626,105.69089509263895,70.52421357035553,21.225548072108165,21.934665998998497,13.814946419629445,6.323291186780171,0.0
2024-09-26,218.662468452679,228.14795468202306,105.6859521782674,69.79060440660992,21.062038307461194,21.964700550826237,13.509425638457687,6.132580120180271,0.0
2024-09-27,219.09185002503756,230.40803054581872,105.66305783675514,63.04864847270907,21.062649223835752,22.10536304456685,13.524197796695042,6.092207060590886,0.0
2024-09-30,215.6419376564847,229.82346119178766,105.60246695042564,65.61688858287431,20.958377816725086,22.874847521281925,13.488531797696545,6.062429894842263,0.0
2024-10-02,217.01772633950927,230.9743612919379,105.60896670005006,62.488663244867304,20.96249449173761,22.07911892839259,13.431070605908863,6.145965448172258,0.0
2024-10-03,219.38023259889832,233.12703380070104,105.60856860290436,59.15112719078618,21.02547396094141,22.00695818728092,13.431383575363046,6.781045317976965,0.0
