date,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,CMB WING LUNG BANK LTD,BANK OF CHINA (HONG KONG) LTD,LONG BRIDGE HK LTD,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD
2024-05-28,5.2663521779524975,1.0886256149904672,51.165830500911255,13.859351059605995,8.830961172507337,5.5814700546761715,8.657732866929363,0.7352750456885707,4.7007095524925715,0.1136919542457697
2024-05-29,5.349374360500854,1.0875040974882897,51.1131187388233,13.84507296016746,8.821863391433995,5.5958216846266655,8.66087459170101,0.7204463374118355,4.692349010659731,0.11357482718685466
2024-05-30,5.299809765705711,1.0859977968095713,51.042322016654154,13.825896165482296,8.84778464177901,5.600115256283736,8.964038598168349,0.5949902901559277,4.625627954137329,0.11341751482392011
2024-05-31,0.6559155075825285,0.1364205407616431,6.41181887449342,1.74055967210211,1.1167337555652457,0.7029692467805371,1.1260418727946995,0.07852376412786628,0.5795477427587511,0.01424724686327696
2024-06-03,5.209163527147778,1.0859324001259842,51.03924834689876,13.875245315842635,8.889404489324832,5.595763490667675,8.963498801128624,0.6150271486110935,4.613305795211737,0.11341068504088375
2024-06-04,5.209623640198697,1.0860283179575345,51.04375652256864,13.904575128156862,8.890189669325254,5.606294981471172,8.963487547280122,0.6150814724994244,4.567542018204765,0.1134207023375244
2024-06-05,5.17307422443681,1.0859411192287272,51.039658148144404,13.931560698719005,8.88947586359367,5.60584484422556,8.962767856359658,0.6310903657772863,4.567175283883777,0.11341159563109629
2024-06-06,5.154868882660024,1.0854890004550426,51.01038259193464,13.935792703623843,8.885774835190768,5.601504467690139,8.95853470140796,0.6890146446511306,4.565273794335228,0.1133643780512198
2024-06-11,5.174300340836475,1.0840140671047107,50.96462217103151,13.927300473804857,8.877803579617922,5.60048876555485,8.944484226708266,0.7425220720399165,4.571201622226299,0.11326268107520324
2024-06-12,5.173780171433186,1.082646761102295,50.900338656711966,13.909733467883854,8.866605686074804,5.593424667276072,8.935204347148588,0.8597106226857613,4.5654358009090386,0.11311981877444226
2024-06-13,5.172088705120545,1.0827117926926173,50.9033960989819,13.910568987021655,8.867138278504068,5.595762889741456,8.93774330105741,0.8517532993276735,4.565710033984236,0.11312661356843808
2024-06-14,5.150089979330643,1.08145589822847,50.84435056738387,13.938431590759729,8.8568528175421,5.59727174325831,8.929375860052428,0.9287621250805391,4.560414026316007,0.11299539204791227
2024-06-17,5.126398529379735,1.081520786829523,50.84740128705274,13.949268104932976,8.857384238925071,5.597607586017803,8.843909979949814,1.022819658593838,4.560687656416756,0.11300217190174394
2024-06-18,5.219147716567137,1.0812612791347926,50.83520060441056,13.99191086591902,8.697293811472303,5.596264456733242,8.887777756426935,1.0285729116725608,4.549595540296613,0.11297505736683455
2024-06-19,5.369436701967058,1.0813261443825062,50.60628752109236,14.012747030532429,8.605830354595588,5.554606930297747,8.890310615859182,1.216604394345477,4.549868472147049,0.11298183478060397
2024-06-20,5.395309694260978,1.0829069343472426,50.47600343318046,14.033232256011654,8.618411212215134,5.566732410081827,8.933346382286794,1.224390752954053,4.556519921812818,0.11314700284904154
