date,GET NICE SECURITIES LTD,OSHIDORI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG BANK LTD,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,NANYANG COMMERCIAL BANK LTD,TOTAL_CCASS_PCT
2024-10-02,9.398351070975398,4.226292312561133,2.045927366963687,0.5348022738342302,0.38317203952517886,0.3052141124100933,0.2577009372816053,0.24011143513352823,0.15390639971043246,17.545477948395284
2024-10-03,9.411767111299465,4.226292312561133,2.038146063575728,0.5348022738342302,0.3792813878311996,0.3052141124100933,0.2577009372816053,0.24011143513352823,0.15390639971043246,17.547222033637418
2024-10-04,9.415523602590204,4.226292312561133,2.0282181937359187,0.5348022738342302,0.3792813878311996,0.3052141124100933,0.2577009372816053,0.23957479352056557,0.15390639971043246,17.540514013475384
2024-10-07,9.428939642914271,4.226292312561133,1.9956775879298956,0.5348022738342302,0.3792813878311996,0.30253090434527996,0.2577009372816053,0.23957479352056557,0.15390639971043246,17.518706239928612
2024-10-08,9.43081788855964,4.226292312561133,1.995409267123414,0.5348022738342302,0.3792813878311996,0.30253090434527996,0.2577009372816053,0.23957479352056557,0.15390639971043246,17.5203161647675
2024-10-09,9.434574379850378,4.226292312561133,1.9916527758326756,0.5348022738342302,0.3753773200968962,0.30253090434527996,0.2577009372816053,0.24279464319834151,0.15390639971043246,17.519631946710973
2024-10-10,9.43698926710871,4.226292312561133,1.9916527758326756,0.5348022738342302,0.37464802414487997,0.30253090434527996,0.2577009372816053,0.24011143513352823,0.15390639971043246,17.518634329952476
2024-10-14,9.43698926710871,4.226292312561133,1.9919369275667391,0.5348022738342302,0.37464802414487997,0.30253090434527996,0.2577009372816053,0.23957479352056557,0.15390639971043246,17.518381840073577
2024-10-15,9.443428966464262,4.226292312561133,1.990863644340814,0.5348022738342302,0.37491634495136134,0.30253090434527996,0.2577009372816053,0.23957479352056557,0.15390639971043246,17.524016577009686
2024-10-16,9.443428966464262,4.226292312561133,1.9881804362760005,0.5348022738342302,0.37491634495136134,0.30253090434527996,0.2577009372816053,0.23957479352056557,0.15390639971043246,17.521333368944873
2024-10-17,9.443428966464262,4.226292312561133,1.9876437946630379,0.5348022738342302,0.3775995530161746,0.30253090434527996,0.2577009372816053,0.23957479352056557,0.15632128696876443,17.525894822655054
2024-10-18,9.443428966464262,4.226292312561133,1.9875257335081862,0.5348022738342302,0.37786787382265596,0.30253090434527996,0.2577009372816053,0.23957479352056557,0.15632128696876443,17.52604508230668
