date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB WING LUNG BANK LTD,CHINA INTERNATIONAL CAPITAL CORPORATION
2024-05-30,45.33021497913703,19.574975181885762,12.957867578635017,7.084818131329827,3.431744298849177,3.83715676789171,1.7877558680783483,1.9370404705196687,2.1652284396503116,1.893198284023141
2024-05-31,45.4067685248614,19.493547834307854,12.965097136523399,7.089400405430976,3.452272971111863,3.8176928798515815,1.7697293412489465,1.9415007397515491,2.169721566879605,1.894268600032825
2024-06-03,45.43517683052916,19.659697375910785,12.700081838638914,7.100005656858298,3.4588512773470104,3.8521844352585615,1.779926631719839,1.9400800060679044,2.177262361212549,1.8967335864569792
2024-06-04,45.447748579017905,19.68965513124519,12.68572270416495,7.086060803925359,3.453715797753995,3.8314015869940965,1.7788159763358842,1.9393246735958363,2.191822364487229,1.8957323824795542
2024-06-05,45.425042977396615,19.72653631706596,12.693478774427783,7.094138663279913,3.457138478323051,3.8345367116409395,1.778632674556115,1.9056400075191566,2.19334879231307,1.8915066034773929
2024-06-06,45.507857303097275,19.684191098671146,12.713154816436983,7.071493292883324,3.451664129615967,3.82258074297786,1.774692877984759,1.899418314841751,2.1880287413022446,1.886918682188686
2024-06-07,45.55380928940062,19.69274015018495,12.688214797273819,7.0671877698919445,3.4561033691848446,3.799748397898084,1.7707284991641796,1.8981113325398253,2.186878253176545,1.886478141285188
2024-06-11,45.4764040980302,19.720674208070132,12.769049363559922,7.05450011418706,3.4501952368966147,3.8045129815689465,1.7673739059642275,1.8915068292527561,2.1827089412289755,1.88307432124116
2024-06-12,45.56299222216479,19.60382831587007,12.766030094895644,7.0539012370031555,3.4490325969938986,3.851640066327434,1.7604008779792557,1.8881809841088109,2.181275105561235,1.8827184990957018
2024-06-13,45.58662304417991,19.61973906525318,12.794283707962093,7.032136856266222,3.449473006361786,3.7913830369834383,1.7666271274346306,1.8955727661457737,2.1812024846844476,1.8829589047285216
2024-06-14,45.37232974930283,19.853066499024482,12.72595562916186,7.036185249600607,3.4515136208853185,3.827822593179156,1.7698352678147022,1.8966912754889875,2.1829108150370304,1.8836893005050253
2024-06-17,45.348069745955186,19.911529683010624,12.720886895302854,6.985717500978331,3.450364437636323,3.851027563985786,1.7689669454167192,1.891500457175703,2.1892056240303877,1.8827311465080865
2024-06-18,45.4266919010664,19.800566256572527,12.732111477968525,6.990340803998088,3.453275661642749,3.853607369393597,1.7706069171268837,1.8968961451148223,2.1914268805218855,1.8844765865945277
2024-06-19,45.608546886466534,19.671878569688488,12.70603345132855,6.984369090215202,3.456687204539973,3.7961542595163795,1.7668717179554645,1.9397860459731857,2.190029007322354,1.879643766993866
2024-06-20,45.86429511265853,19.42086466907776,12.706168473357035,6.97292101337768,3.4570744555395736,3.823809627895504,1.748262130663452,1.9365510043273408,2.190233895782379,1.8798196173207464
2024-06-21,46.04702077285372,19.28275771911925,12.66450983708545,6.954117720271212,3.4683005612773634,3.872636156091791,1.7147503419320185,1.9312630744439871,2.188441402001801,1.87620241492341
2024-06-24,46.00793022347564,19.31982256069548,12.669450733886425,6.892540511242971,3.4747053951756026,3.91697746882856,1.7176958939657336,1.9358877687242773,2.1885980672742376,1.876391376731068
2024-06-25,45.967354950706856,19.299618634146587,12.67066530087444,6.888016712603597,3.477720964226098,3.972740719508056,1.7178825136756757,1.9359305136503506,2.1913480119874142,1.8787216786209229
2024-06-26,45.91637632627054,19.338893629585378,12.692850644478886,6.899801363062174,3.4853064845042225,3.9432973880023403,1.710814162073096,1.9350223430268234,2.195422647987025,1.8822150110095175
2024-06-27,45.852129865576146,19.304497562336724,12.715266458720292,6.902365500956152,3.4938219469543625,4.025482838939457,1.7132600944884053,1.931716428473039,2.1753549293271983,1.8861043742282246
2024-06-28,45.84933740538446,19.34712222665049,12.707371486256136,6.8950611240799375,3.4827805858621566,4.019693153335056,1.7105727250533906,1.9325413870441313,2.1722331551287413,1.8832867512055014
2024-07-02,45.62571629211536,19.397467795516764,12.762281541978023,6.927621649041886,3.495808960935366,4.086935376168362,1.710403826346013,1.942007575537765,2.1903346930676246,1.8614222892928383
2024-07-03,45.23434121407601,19.52849355738444,12.809243949266532,6.938217343027945,3.515343807623893,4.242067964503096,1.7165762060412495,1.949320400577929,2.1996845050569043,1.8667110524419963
2024-07-04,45.246015061040055,19.60243829374431,12.783391441307455,6.931980644901257,3.5130549623266747,4.278679329342937,1.7160139152248386,1.9062400947196947,2.179014851997324,1.84317140539546
2024-07-05,45.16863213931857,19.73012849561197,12.769766344114814,6.922841776362608,3.5073065898059355,4.290041233535263,1.7168277927426054,1.899999189974075,2.1690200867489207,1.825436351785236
2024-07-08,45.00271715634149,19.90808210865504,12.806058630478345,6.882841886691929,3.5200159401605147,4.261442114814618,1.7241528929383858,1.9068544679315864,2.1740760837496875,1.8137587182384003
2024-07-09,45.02779668084092,20.006599715258247,12.834965811800478,6.8397141854915455,3.5241471430471702,4.157335509504182,1.7226431481510343,1.9105696833411105,2.1773360777181034,1.7988920448472088
2024-07-10,45.274766834744206,19.986195223084618,12.863411175220051,6.78535645831853,3.519246359816644,3.975302465654313,1.7255088494937394,1.9092129605806598,2.1786873378610143,1.7823123352262222
2024-07-11,45.33766005052391,20.083948413753713,12.883680967091122,6.736125565737868,3.5124209337276566,3.87749721573087,1.7123150108615166,1.9100987755545713,2.179730863064475,1.7665222039542974
2024-07-12,45.20486440665989,20.261106681510107,12.933361964468098,6.758676646099033,3.5234872843641725,3.732663051208761,1.7298924903216188,1.9194835062719597,2.185358122860289,1.7511058462360778
2024-07-15,45.17475356919289,20.39944862705018,12.904601214333432,6.757610986039898,3.511755172117322,3.681063091421135,1.7320337343253622,1.9175853700965508,2.190678412837384,1.7304698225858437
2024-07-16,44.938886671315515,20.30112885809607,13.113651517157562,6.77540703429865,3.527467477813878,3.6265075834300684,1.884338861418773,1.9130884022077899,2.200316431757875,1.7192071625038159
2024-07-17,44.86830783226962,20.46063862479577,13.070586217752227,6.771161416427129,3.5196096990574834,3.6098797458983976,1.8773115122039181,1.9130412788231959,2.19041506536117,1.7190486074110884
2024-07-18,44.85619477660602,20.463565488823463,13.055161368276503,6.76338537507464,3.519063058064012,3.60710327566919,1.8787506643004568,1.9499958821759744,2.189607287726026,1.7171728232837153
2024-07-19,44.79490845514013,20.583745012590605,13.029739384802097,6.753862400034969,3.5088646926814633,3.6076336328666705,1.8843783289732012,1.9487402566477623,2.1880841398955453,1.7000436963675547
2024-07-22,43.521473011675255,20.025914371054316,15.443539308989623,6.560917974776029,3.4144848342122427,3.522464527363199,1.8313723973614189,1.8954294649227759,2.1321811712013985,1.6522229384437455
2024-07-23,43.49108831380463,20.080382579339634,15.440423924561147,6.557395160869192,3.407667150719963,3.5204659082834633,1.8248101936339762,1.8958466679415742,2.1307816492063107,1.6511384516401038
2024-07-24,43.37140378208559,20.12852539416972,15.459537672995644,6.558299198709934,3.4066822189787525,3.579536084812192,1.8290555997831275,1.8975954983944197,2.1179589932013703,1.6514055568692498
2024-07-25,43.354886775837564,20.159888091417233,15.459617227869602,6.555236412295767,3.4055377733222563,3.5759501635692597,1.828760907172765,1.8973838001864225,2.117837173768636,1.6449016745604967
2024-07-26,43.33876839242105,20.159237556333874,15.45794597566809,6.553839972249974,3.411851620677181,3.5904641786679585,1.82863365684704,1.8968756515807355,2.117595777876974,1.6447872176771214
2024-07-29,43.38970326458724,20.14802249604244,15.46510087290161,6.556450628792334,3.403399605343442,3.544934243492242,1.8316260795156087,1.896464072408122,2.1183997889435386,1.645898947973422
2024-07-30,43.456300187020034,20.07539311216594,15.469634494655683,6.55942164736924,3.4042578535293937,3.5403693325569154,1.830613450535597,1.898824673169008,2.1188712484449517,1.6463140005532426
2024-07-31,43.52473530053291,19.90717398854747,15.489662019253988,6.563886610952438,3.409515172547855,3.590000780897661,1.8473975241741398,1.9002047545799237,2.1201310281998156,1.647292820313796
2024-08-01,43.541519873339126,19.9012456722296,15.485103126181333,6.563138093251508,3.4108927401885425,3.5804147828520314,1.8491939325014943,1.9010569801370896,2.120219541487406,1.6472152578318688
2024-08-02,43.54869598711447,19.887817142814498,15.485954585476346,6.561825642064198,3.4106686414572382,3.5909786144485834,1.847206169360141,1.8996312726948512,2.120099752075341,1.6471221924943318
2024-08-05,43.511187850120805,19.920565006491444,15.472930830809892,6.564246427901002,3.4134435050490124,3.6064163786266783,1.8464461727789476,1.8975980913662163,2.1196013903240307,1.6475643465319716
2024-08-06,43.66435943327339,19.899956052066507,15.372882661629117,6.558410534100798,3.410147677214022,3.5886652089725373,1.8453599533715563,1.893988072874406,2.1183845731305966,1.6478458333670682
2024-08-07,43.73611156867898,19.906185708245232,15.360880279447342,6.553874958697935,3.400589423175708,3.55216644338013,1.8460530864534717,1.88887773918981,2.114946213131074,1.640314579600314
2024-08-08,43.842813321504146,19.942998699247212,15.276217758845704,6.559044372050578,3.3933205839871396,3.5268436685645055,1.819339476151905,1.8787968051058015,2.1190640490204538,1.6415612655225578
2024-08-09,43.895241621909,19.911516726996524,15.253268484955104,6.532546929275142,3.3962105105595093,3.5480863094411257,1.8207250810378348,1.878690891081188,2.1208452970163565,1.6428681477282139
2024-08-12,43.96543026129544,19.9368935346812,15.20055035027799,6.475201766815047,3.398533442740116,3.5545657185418618,1.8219535685173642,1.8805870170410026,2.1223077092793865,1.6439766308105972
2024-08-13,43.97852412770511,19.99502397360188,15.124196457180842,6.454271196239092,3.4052905153512287,3.595803274767015,1.8251450428816471,1.8860492145786698,2.0889534675009815,1.646742730193538
2024-08-14,44.0257481640925,20.022405211955434,15.018675808574155,6.460525456205993,3.4091967978865165,3.60903416681497,1.8278201819264304,1.8867126307069864,2.0912938807076795,1.6485877011293382
2024-08-15,44.040300250745815,20.01761745925631,15.017321413174562,6.459743084174967,3.407360627772829,3.6058206708192806,1.8282392650072292,1.8860508754206928,2.0894047446661066,1.6481416089622027
2024-08-16,44.085431725813145,20.02476998345743,14.978592095549805,6.46016813605583,3.4046477710135643,3.59860765104321,1.828288226740956,1.881847962168075,2.089460700623685,1.6481857475342963
2024-08-19,44.116495169185605,20.049770118182902,14.893372280744565,6.46841347833087,3.408275943514526,3.611482050027893,1.8304699706883734,1.8827687540027327,2.08879966481891,1.650152570503622
2024-08-20,43.94347446290612,20.032415942844562,15.11131554875237,6.458373044579326,3.4008100774302212,3.6081460756530856,1.8287791410424046,1.8815023447492492,2.086555059585644,1.6486283024570232
