date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,OCBC BANK (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,TOTAL_CCASS_PCT
2024-09-11,5.072993745635154,1.962543508564808,4.709754856106231,1.9485496699335525,1.6026068677625758,1.4397300494739982,0.2908979681372846,0.5939819622463552,0.574474401061757,0.33639616930019595,18.53192919822191
2024-09-12,5.102063613502737,1.9346409909250117,4.710836790463692,1.9471545440515627,1.604201297341993,1.4407265679611336,0.2910403279211611,0.5938396024624788,0.574474401061757,0.33639616930019595,18.535374304991723
2024-09-13,5.0779193941572816,1.918131057001566,4.650333882316175,1.9586743547067635,1.5941791685570865,1.4408689277450102,0.2901007533475761,0.5938396024624788,0.6233038069314003,0.33639616930019595,18.483747116525535
2024-09-16,5.072908329764828,1.9236261446591993,4.660811562409486,1.9956309546011057,1.5975103874997971,1.4420078060160224,0.2898160337798231,0.5938396024624788,0.6218802090926352,0.33639616930019595,18.534427199585572
2024-09-17,5.030371226342526,1.9335343856170046,4.597340737487711,2.01898884968032,1.6006707747018554,1.4422925255837753,0.28970214595272187,0.5938396024624788,0.6218802090926352,0.33639616930019595,18.465016626221225
2024-09-19,5.030371226342526,1.9335343856170046,4.598308784018071,2.0190396436512072,1.6022367323244973,1.4422925255837753,0.28933201051464297,0.5938396024624788,0.6218802090926352,0.33639616930019595,18.467231288907033
2024-09-20,5.030371226342526,1.9335343856170046,4.597824760752891,2.0184986764724764,1.6020943725406207,1.4423209975405507,0.2949694579561528,0.5938396024624788,0.6218802090926352,0.33639616930019595,18.47172985807753
2024-09-23,5.015167201424515,1.9210067246358715,4.595774779865069,2.031801230229206,1.5941791685570865,1.4411821192695387,0.29445696273419736,0.5938396024624788,0.6218802090926352,0.33639616930019595,18.445684167570793
2024-09-24,5.007365885268082,1.9464037100794411,4.601839306658208,2.0302637445633396,1.5941791685570865,1.440755039917909,0.2940014114257925,0.5938396024624788,0.6218802090926352,0.33639616930019595,18.46692424732517
2024-09-25,4.995350719508904,1.9664194956924785,4.604430254724761,2.033269287028476,1.5963430372720095,1.4400432409985267,0.29317572467930875,0.5938396024624788,0.6215100736545562,0.33639616930019595,18.4807776053217
2024-09-26,5.023110877364824,1.9070554658159735,4.606850371050662,2.060331639931768,1.5981082985920783,1.4392744981655932,0.29414377120966906,0.5938396024624788,0.6215100736545562,0.33639616930019595,18.4806207675478
2024-09-27,5.021402559958306,1.8985992946537085,4.847153686234213,2.051277557677222,1.5992756488198656,1.4354023120441521,0.2952257055671305,0.5938396024624788,0.6212822980003538,0.33639616930019595,18.699854834717627
2024-09-30,5.021174784304104,1.8805765460149424,4.829700376730953,2.0754554451115648,1.597994410764977,1.4290245937264845,0.2918660146676449,0.5938396024624788,0.6194031488531839,0.3356843703808134,18.674719293017148
2024-10-02,4.9960055745147365,1.7994599411621064,4.729877696276743,2.3226372149165906,1.5947201357358172,1.4150448629498111,0.27230578036301223,0.5938396024624788,0.6142497246768541,0.33497257146143083,18.673113104519583
2024-10-03,4.926932607377854,1.9755589938173506,4.734689456971769,2.356080375344861,1.5943784722545138,1.3850069485518672,0.26550098269371497,0.5924160046237137,0.6006970732518103,0.3334920297091151,18.76475294459657
2024-10-04,4.926932607377854,1.9755589938173506,4.709434831312076,2.396513187621792,1.6011537729765917,1.3729917827926896,0.2573295310992032,0.5924160046237137,0.597650830124464,0.33255245513553017,18.762533996881263
2024-10-07,4.926932607377854,1.9755589938173506,4.710431349799212,2.3815397855536604,1.602776674512784,1.3683508538383156,0.25456775129199893,0.5924160046237137,0.5920700703488937,0.3325239831787548,18.737168074342534
2024-10-08,4.926932607377854,1.9755589938173506,4.726859668858561,2.3965729787310197,1.598819072521017,1.3674966951350565,0.2568455078340231,0.5924160046237137,0.5901055053313978,0.33394758101752,18.765554615247513
2024-10-09,4.926932607377854,1.9755589938173506,4.779845980417399,2.3778953750864216,1.5999862946249988,1.3743014928043535,0.2748967284295647,0.5924160046237137,0.5992165314994946,0.3268295918236944,18.827879600504843
2024-10-10,4.723585892088645,2.7769306892150074,4.7559295367261445,2.1938441049038353,1.5685529696254974,1.3671550316537529,0.2703183381282474,0.5924160046237137,0.6014941456817349,0.3268295918236944,19.177056304470273
2024-10-14,4.528353684480398,3.094478423129953,4.736056110896984,2.2480404746256233,1.5588153611046465,1.3480218767007497,0.2693218196411118,0.5924160046237137,0.6011242095473535,0.3269719516075709,19.303599916358102
2024-10-15,4.6268951268797185,3.1030484821193194,4.7356575035021296,2.250868081596892,1.5690938371523795,1.332333828517558,0.25941357868330667,0.5924160046237137,0.529972490610327,0.3269719516075709,19.326670885292916
2024-10-16,4.592045451786748,3.1089991210853576,4.736226942637636,5.236468375364164,1.5649369314631851,1.3350386644112118,0.2611218960898248,0.5924160046237137,0.5211461840099834,0.3269719516075709,22.275371523079396
2024-10-17,4.574876861851241,3.258448422198919,4.729792280406417,5.217380775542002,1.5577050544422586,1.327066516514127,0.25918580302910427,0.5924160046237137,0.5213170157506352,0.3269719516075709,22.365160685965986
2024-10-18,4.569951213329114,3.245066602514527,4.737735956346727,5.213100016840835,1.5612071051256207,1.3251019514966313,0.25972677020783497,0.5924160046237137,0.5211604199883709,0.3269719516075709,22.352437992080944
2024-10-21,4.559473533235803,3.4451959866881268,4.719172240529229,5.099639340271148,1.5586161570590682,1.3249595917127548,0.25836011628262046,0.5924160046237137,0.519936125847033,0.3269719516075709,22.404741047857065
2024-10-22,4.504892792097548,3.521244583234959,4.720254174886691,5.073121655900967,1.5645667960251064,1.314595799446545,0.2525803090572341,0.5924160046237137,0.5171458740830533,0.3269719516075709,22.387789940963387
