date,HAITONG INTERNATIONAL SECURITIES CO LTD,HAO TIAN INTERNATIONAL SECURITIES LTD,SHANGHAI COMMERCIAL BANK LTD,HANG SENG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,KINGSTON SECURITIES LTD,HANG SENG SECURITIES LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,TOTAL_CCASS_PCT
2024-07-26,42.66969895197204,15.806998420890347,11.976229102472843,0.0,3.8301169416080714,1.524531884027886,1.5205795293616982,1.3579136385172783,0.9782030249287657,79.66427149377893
2024-07-29,42.66677282719604,15.80732354586546,11.976229102472843,0.0,3.8301169416080714,1.524531884027886,1.5205795293616982,1.359539263392833,0.9782030249287657,79.6632961188536
2024-07-30,42.66652898346471,15.807729952084348,11.976229102472843,0.0,3.8301169416080714,1.524531884027886,1.5205795293616982,1.359539263392833,0.9782030249287657,79.66345868134115
2024-07-31,42.65433679689804,15.808705327009681,11.976229102472843,0.0,3.8301169416080714,1.5371304768134344,1.5205795293616982,1.359539263392833,0.9782030249287657,79.66484046248537
2024-08-01,42.65287373451005,15.808705327009681,11.976229102472843,0.0,3.8301169416080714,1.5371304768134344,1.5205795293616982,1.359539263392833,0.9782030249287657,79.66337740009737
2024-08-02,42.65206092207227,15.811143764323013,11.976229102472843,0.0,3.8301169416080714,1.5371304768134344,1.5205795293616982,1.359539263392833,0.9782030249287657,79.66500302497292
2024-08-07,42.65206092207227,15.811306326810568,11.976229102472843,0.0,3.8301169416080714,1.5370491955696568,1.5205795293616982,1.359539263392833,0.9782030249287657,79.6650843062167
2024-08-09,42.651166828390714,16.35743500375314,11.976229102472843,0.0,3.8301169416080714,1.5370491955696568,1.5205795293616982,1.359539263392833,0.9782030249287657,80.21031888947772
2024-08-12,42.64694020371427,16.899337056019263,11.976229102472843,0.0,3.8301169416080714,1.5370491955696568,1.5205795293616982,1.3603520758306102,0.9782030249287657,80.74880712950518
2024-08-13,42.64515201635116,17.43709376485273,11.975849790001881,0.0,3.8309297540458482,1.5381871329825447,1.5205795293616982,1.3603520758306102,0.9782030249287657,81.28634708835524
2024-08-14,42.64352639147561,17.43709376485273,11.975849790001881,0.0,3.8309297540458482,1.5381871329825447,1.5205795293616982,1.3603520758306102,0.9782030249287657,81.28472146347968
2024-08-15,42.6402751417245,17.43774401480295,11.975849790001881,0.0,3.8309297540458482,1.5381871329825447,1.5205795293616982,1.3603520758306102,0.9782030249287657,81.2821204636788
2024-08-19,42.6402751417245,17.43774401480295,11.975849790001881,0.0,3.8309297540458482,1.5381871329825447,1.5205795293616982,1.3603520758306102,0.9773337762140588,81.28125121496409
2024-08-20,42.635398267097834,17.43774401480295,11.975849790001881,0.0,3.8309297540458482,1.538756101688989,1.5205795293616982,1.3603520758306102,0.9773337762140588,81.27694330904387
2024-08-21,42.63377264222228,17.43912579594717,11.975849790001881,0.0,3.8309297540458482,1.5403817265645436,1.5205795293616982,1.3603520758306102,0.9773337762140588,81.27832509018809
2024-08-23,42.63377264222228,17.440263733360062,11.975849790001881,0.0,3.8309297540458482,1.5403817265645436,1.5205795293616982,1.3603520758306102,0.9773337762140588,81.27946302760098
2024-08-26,42.63312239227206,17.440588858335172,11.975849790001881,0.0,3.8309297540458482,1.5403817265645436,1.5205795293616982,1.3603520758306102,0.9773337762140588,81.27913790262588
2024-08-29,42.632309579834285,17.444409076792724,11.975849790001881,0.0,3.8309297540458482,1.539325070395433,1.5205795293616982,1.3603520758306102,0.9773337762140588,81.28108865247654
2024-09-02,42.631496767396506,17.444815483011613,11.975849790001881,0.0,3.8309297540458482,1.539325070395433,1.5205795293616982,1.3603520758306102,0.9773337762140588,81.28068224625765
