date,DBS BANK LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA SECURITIES DEPOSITORY AND CLEARING,DEUTSCHE BANK AG,CITIBANK N.A.,VALUABLE CAPITAL LTD,UOB KAY HIAN (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,TOTAL_CCASS_PCT
2024-10-22,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.107062151576295,1.1827256998308335,1.9524187409721707,1.5487185831039838,0.4778149081140832,79.64316567561795
2024-10-23,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.106863587729032,1.181812306133429,1.9524187409721707,1.5487185831039838,0.4778149081140832,79.64205371807329
2024-10-25,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.106863587729032,1.1818520189028812,1.9524187409721707,1.5487185831039838,0.4778149081140832,79.64209343084275
2024-10-28,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.106863587729032,1.182050582750143,1.9524187409721707,1.5487185831039838,0.4778149081140832,79.64229199469001
2024-10-29,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.106863587729032,1.1861409980037385,1.9524187409721707,1.5487185831039838,0.4778149081140832,79.64638240994361
2024-10-30,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.106863587729032,1.2038528931795005,1.9524187409721707,1.5487185831039838,0.4778149081140832,79.66409430511936
2024-10-31,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.106267896187246,1.2097700958279054,1.9524187409721707,1.5487185831039838,0.47741778041955946,79.66901868853145
2024-11-01,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.105751630184366,1.2108026278336674,1.9524187409721707,1.5487185831039838,0.4755115674858451,79.66762874160062
2024-11-04,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.103170300169961,1.2183083412601676,1.9524187409721707,1.5487185831039838,0.4716991416184165,79.66874069914529
2024-11-05,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.10182006600858,1.218467192337977,1.9524187409721707,1.5487185831039838,0.4716991416184165,79.66754931606172
2024-11-06,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.10098609785008,1.2262906079200964,1.9524187409721707,1.5487185831039838,0.4716991416184165,79.67453876348533
2024-11-07,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.100350693538842,1.2268068739229774,1.9524187409721707,1.5487185831039838,0.4716991416184165,79.67441962517698
2024-11-08,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.097610512446627,1.2293484911679298,1.9524187409721707,1.5487185831039838,0.4716991416184165,79.67422106132972
2024-11-11,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.089866522403413,1.2490063120468586,1.9524187409721707,1.5487185831039838,0.4716991416184165,79.68613489216544
2024-11-12,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.089469394708889,1.249681429127549,1.9524187409721707,1.5487185831039838,0.4706360307801762,79.68534977071336
2024-11-13,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.089389969169984,1.249681429127549,1.9524187409721707,1.5487185831039838,0.4706360307801762,79.68527034517446
2024-11-14,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.089350256400532,1.2498005674359063,1.9524187409721707,1.5487185831039838,0.4706360307801762,79.68534977071336
2024-11-15,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.066833116121031,1.2908238582802167,1.9524187409721707,1.5447473061587458,0.4706360307801762,79.69988464433293
2024-11-18,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.06230586040346,1.2970587630842407,1.9524187409721707,1.5447473061587458,0.4706360307801762,79.70159229341938
2024-11-19,52.33435133708427,16.66816416901477,0.37191008592155517,0.0,5.060359934700293,1.3009109017211216,1.9524187409721707,1.5447473061587458,0.4706360307801762,79.7034985063531
2024-11-20,52.33435133708427,16.62436098430879,0.37191008592155517,0.0,5.060359934700293,1.4095650389428382,1.9623469333352659,1.5447473061587458,0.4706360307801762,79.77827765123193
2024-11-21,52.33435133708427,16.616894983651743,0.37191008592155517,0.0,5.060359934700293,1.5160349738446737,1.9623469333352659,1.5447473061587458,0.4706360307801762,79.87728158547672
2024-11-22,52.33435133708427,16.553155988680672,0.37191008592155517,0.0,5.060359934700293,1.6472856768847954,1.9623469333352659,1.5447473061587458,0.4706360307801762,79.94479329354577
2024-11-25,52.33435133708427,16.529248901470336,0.37191008592155517,0.0,5.060359934700293,1.768647900331274,1.9623469333352659,1.5447473061587458,0.4706360307801762,80.04224842978192
2024-11-26,52.33435133708427,16.47710603517936,0.37191008592155517,0.0,5.060359934700293,1.8924723154838003,1.9623469333352659,1.5447473061587458,0.4706360307801762,80.11392997864345
2024-11-27,52.33435133708427,16.414320146675145,0.37191008592155517,0.0,5.062583849789626,2.0838878642442804,1.9623469333352659,1.5447473061587458,0.4706360307801762,80.24478355398907
2024-11-28,52.33435133708427,16.349032353695428,0.37191008592155517,0.0,5.060399647469746,2.2232399722526877,1.9623469333352659,1.5447473061587458,0.4706360307801762,80.31666366669788
2024-11-29,52.33435133708427,16.341050087035498,0.37191008592155517,0.0,5.060359934700293,2.2336050050797596,1.9623469333352659,1.5447473061587458,0.4706360307801762,80.31900672009556
2024-12-02,52.33435133708427,16.35661749266083,0.37191008592155517,0.0,5.03045621930265,2.2791555516416415,1.9623469333352659,1.5447473061587458,0.4706360307801762,80.35022095688514
2024-12-03,52.33435133708427,16.34609360875595,0.37191008592155517,0.0,4.986017630285435,2.46771178100155,1.9623469333352659,1.5447473061587458,0.4706360307801762,80.48381471332296
2024-12-04,52.33435133708427,16.345339066136354,0.37191008592155517,0.0,4.987248726138458,2.468784025776764,1.9623469333352659,1.5447473061587458,0.4706360307801762,80.48536351133158
2024-12-05,52.33435133708427,16.356816056508094,0.37191008592155517,0.0,4.987248726138458,2.475892611508741,1.9623469333352659,1.5447473061587458,0.4706360307801762,80.50394908743532
2024-12-06,52.33435133708427,16.34927063031214,0.37191008592155517,0.0,4.988082694296958,2.4891963892752886,1.9623469333352659,1.5447473061587458,0.4706360307801762,80.51054140716441
2024-12-09,52.33435133708427,16.350025172931737,0.37191008592155517,0.0,4.9892740773805295,2.507027422759408,1.9623469333352659,1.5447473061587458,0.4706360307801762,80.53031836635168
2024-12-10,52.33435133708427,16.33973956564357,0.37191008592155517,0.0,4.988956375224911,2.529187148113837,1.9623469333352659,1.5447473061587458,0.4706360307801762,80.54187478226234
2024-12-11,52.33435133708427,16.34923091754269,0.37191008592155517,0.0,4.988876949686006,2.529187148113837,1.9623469333352659,1.5447473061587458,0.4706360307801762,80.55128670862256
2024-12-12,52.33435133708427,16.426432541358118,0.37191008592155517,0.0,4.994079322484268,2.5288694459582177,1.9623469333352659,1.5447473061587458,0.477576631497369,80.64031360379781
2024-12-13,52.33435133708427,16.435566478332166,0.37191008592155517,0.0,4.993841045867554,2.5288694459582177,1.9623469333352659,1.5447473061587458,0.477576631497369,80.64920926415515
