date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,MERRILL LYNCH FAR EAST LTD,CHINA RENAISSANCE BROKING SERVICES (HONG,DBS BANK (HONG KONG) LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD
2024-10-04,64.064112219165,7.402207938959067,5.045172590219221,5.161813407710629,3.4622001805776508,7.920520745172441,0.0,2.9752474191461373,2.376441870479646,1.5922836285702007
2024-10-07,64.01806115645542,7.407734641565265,5.044570286075104,5.157682665376855,3.4713887784364053,7.916472410907895,0.0,2.9728664767336586,2.3889166366924823,1.6223069477569199
2024-10-08,64.04282508123845,7.373333279674937,5.099397125269778,5.159606019796939,3.5230834969157123,7.845351524690204,0.0,2.9739750900876225,2.342080026014242,1.6403483563121213
2024-10-09,64.22736147406,7.5416221463370405,4.907283620654324,5.211873701795041,3.5391187089719818,7.545663682857626,0.0,2.972741860761713,2.34740396695347,1.706930837608801
2024-10-10,64.21718889596852,7.560921827778465,5.122524907415267,5.21190692594675,3.5719072479457945,7.355745607465004,0.0,2.972760811110901,2.337219404689503,1.6498243716797942
2024-10-14,64.21252246763675,7.574650702382554,5.146247302073943,5.211528195725762,3.5726675690160774,7.284839475087194,0.0,2.972544791451507,2.3538775629269693,1.671121933699243
2024-10-15,64.21634453584676,7.581678031183374,5.202526328230288,5.211714231762972,3.5595362086840976,7.238948372154215,0.0,2.972650902448639,2.353451631887708,1.663149757801952
2024-10-16,64.18752658993361,7.5627743536800685,5.135914883482997,5.209582257836539,3.5784700508673537,7.130341661689032,0.0,2.971434869885345,2.3515968368218263,1.8723584958032262
2024-10-17,64.18613669491555,7.563501613611996,5.20054037407257,5.209469451302138,3.583489941992423,7.071694849904555,0.0,2.9713705274384306,2.346958275842236,1.8668382709201057
2024-10-18,64.2016815565997,7.5745108761348074,5.230607023507635,5.210731101967503,3.5863972513195868,7.045237667276334,0.0,2.9720901461324325,2.3346526749757617,1.84409170208624
2024-10-21,64.21305862008782,7.57585314146244,5.251549530683499,5.211654486170677,3.581423322529405,7.015124116880777,0.0,2.9726168248340663,2.3317517090575715,1.8469682482937473
2024-10-22,64.26574028185432,7.594062215729499,5.205714154432544,5.215930230462952,3.5862754804225605,6.972266722019355,0.0,2.975055618398688,2.335195834182557,1.8497594624975195
2024-10-23,64.2672982866135,7.602029650801008,5.243481056455657,5.216056681105035,3.5797274524001907,6.932370736550622,0.0,2.9751277431543035,2.335252446713702,1.8486559462059853
2024-10-24,64.27615574895071,7.607416227444023,5.251477675709669,5.2167755696663,3.5742229991698022,6.909462507520852,0.0,2.97553778189307,2.33748849404516,1.8514629956004107
2024-10-25,64.32363920702848,7.625059259496483,5.227628415357927,5.219593125517149,3.583814346060822,6.85228991447299,0.0,2.977144855798174,2.3475610253590617,1.8432698509089074
2024-10-28,64.32060054899739,7.6303167975437,5.216401319666979,5.21934655118203,3.5951358921879595,6.836772759324411,0.0,2.977004215044054,2.3419600553524775,1.8624618607010035
2024-10-29,64.32861368729573,7.637517889833753,5.221858711169688,5.220079678349436,3.592320833179451,6.81576970752657,0.0,2.9774223751807933,2.3422890150267826,1.864128102437803
2024-10-30,64.36318417620176,7.658167758021891,5.175516132395737,5.222667263068398,3.6195252429935514,6.769067412066114,0.0,2.978898278445617,2.341916996169987,1.8710567406369414
2024-10-31,64.50843125751801,7.7005070391181984,5.292127373889819,5.234286913222789,3.6563874893244406,6.484638409655656,0.0,2.988086710437257,2.366717765228119,1.768817041605713
2024-11-01,64.57606692507025,7.711272542477731,5.3377950744110825,5.2397749476182085,3.6480444311012876,6.350700394676066,0.0,2.989937895574996,2.3756080060166123,1.7707997830537627
2024-11-04,64.60086127246818,7.7150561753749765,5.361708205926621,5.2414746778918815,3.6469199074035714,6.293267639678006,0.0,2.9883434540045184,2.3777890203893897,1.7745796468628556
2024-11-05,64.682174544948,7.748748548299391,5.287730195259465,5.247967976031485,3.6837886266963773,6.204139894910672,0.0,2.992045504702622,2.3748293921936323,1.778575316958351
2024-11-06,64.72297119250443,7.764683192886264,5.290037640085153,5.251277999255221,3.6862405404873733,6.1918673951569065,0.0,2.9939326618179614,2.3192922693985514,1.779697108408143
2024-11-07,64.81614023334075,7.660339895097983,5.294179339265557,5.258837240206943,3.695920733295529,6.1688773805788255,0.0,2.998113800771679,2.32353139686352,1.7840599805792123
2024-11-08,65.01234317440124,7.71242044195999,5.422311816384293,5.280806143496171,3.7741391963811073,5.731903053737508,0.0,3.006259978249044,2.3394763686266877,1.7203398267639705
2024-11-11,65.34414877652779,7.813251022048366,5.582817350610568,5.3006986490318955,3.9175061831867337,4.9638522917031125,0.0,3.021201396795478,2.3638110832951664,1.692713246800898
