date,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-06-12,69.32924063369403,8.756474916471614,5.885330843834604,4.1683727765410366,1.7570873096936248,0.0,0.43340382457762633,0.2669884887222175,0.3245110653031197
2024-06-13,69.34243098867645,8.75926660955853,5.95682345746789,4.123855892551437,1.770496203864701,0.6771783908965986,0.4386900232412237,0.2633461689113241,0.3269285342041551
2024-06-14,69.32563763804393,8.758267389079435,5.932745467213578,4.101828334953145,1.7756857037722573,0.6878075181606711,0.4399471070697621,0.26634383034860803,0.32944270186123187
2024-06-17,69.35271328973552,8.767163674635245,5.92127054816333,4.115301694961582,1.7766204584139906,0.6725291147061273,0.44123642381698097,0.26943819054193335,0.3324081303798353
2024-06-18,69.35732349962855,8.765165233677056,5.950699202918601,4.100603484043288,1.7783932689414166,0.6682722098347534,0.44139758841038335,0.2703084793463061,0.3364060759825303
2024-06-19,69.4084126757371,8.664727459068706,5.976259907432215,4.090566153166188,1.790158284259789,0.670496281223706,0.44068846419941293,0.2730805103528267,0.337888790241832
2024-06-20,69.4224339953631,8.680461088033773,6.006462152235818,4.056834403767074,1.8051788243648892,0.6696582253380138,0.4397214766389988,0.2804296158119743,0.3335051133012878
2024-06-21,69.39203835304741,8.691388047466454,5.987251332702256,4.069585972027499,1.8048887280967647,0.6690135669644043,0.43962477788295734,0.28062301332405715,0.3335695791386487
2024-06-24,69.39500378156602,8.693741050530129,6.027413549378124,4.020220612409983,1.809079007525226,0.6706252128984279,0.0,0.2892614355304236,0.33846898277808046
2024-06-25,69.39126476299909,8.676464463980745,6.071121387108844,4.0061025940279364,1.8302238021796158,0.6700349314586325,0.44494320946523525,0.29213016529298563,0.3404351908175893
2024-06-26,69.37746907380384,8.701122646771307,6.059646468058595,3.8752047112665395,1.833801656153148,0.6683588196872479,0.4471995137728683,0.29677170558297356,0.34417420938452403
2024-06-27,69.37608305830058,8.715367791784628,6.061129182317897,2.7471479668893144,1.8356066995992546,1.787719122604482,0.44945581808050133,0.3082143917145412,0.34317498890542936
2024-06-28,69.50720657149274,8.713420730098816,6.088333765684215,2.3964640294810007,1.84211774917271,1.7709902378093167,0.45158319071341246,0.3096004072178014,0.0
2024-07-02,69.52225934451653,8.719222655461301,6.201503543171354,2.3790582533935463,1.8547530532954548,1.7570333840206724,0.46070510669998604,0.311824478606754,0.3439808118724412
2024-07-03,69.53118505872709,8.725069223416158,6.246758560998735,2.3559472506996477,1.864390695980916,1.749200462452131,0.46183325885380255,0.31337165870341666,0.3441420409316809
2024-07-04,69.41695159492349,8.718669506343826,6.294979007344722,2.629864559854338,1.8688388387588213,1.6216870361521838,0.461929957609844,0.3169817455956295,0.34427097260640277
2024-07-05,69.41563004525759,8.723040032253548,6.335656950719477,2.6240078385300967,1.8693867983763892,1.614950356147965,0.46280024641421674,0.3185289256922922,0.3444966030371661
2024-07-08,69.41566227817628,8.75127606901764,6.373079369307506,3.6156890379453652,1.8709662113917322,0.6728466089551299,0.46183325885380255,0.3176908698065999,0.34481893222397086
2024-07-09,0.0,8.752984413707706,6.390871940419126,3.5616666662368943,1.8715786368466614,0.6759409691484553,0.462477917227412,0.32043066789444,0.34443213719980514
2024-07-10,69.41582344276968,8.771292711518214,6.379687117637003,3.543999803508128,1.877702891395951,0.6742970902957511,0.46009268124505714,0.3216877517229785,0.3460760160525092
2024-07-11,0.0,8.78383131688492,6.408374415262622,3.4742502494183243,1.879959195703584,0.6715250592892307,0.4632515072757433,0.3185289256922922,0.3532639569182545
2024-07-12,69.41595256784191,8.79691788186919,6.4253611634072305,3.5111289631340505,1.8846974347496135,0.6694947722073851,0.46415402899879654,0.3208496958372861,0.35455279017169317
2024-07-15,0.0,8.830311185622158,6.407665291051652,3.5744952711729665,1.8803459907277498,0.6696881697194679,0.464798687372406,0.31198564320015637,0.3556164764881487
2024-07-16,69.42581584095814,8.828216045907928,6.460623976443667,3.5442672400344195,1.8830213229782289,0.6710741852227282,0.46415402899879654,0.3139518512396652,0.357550451608977
2024-07-17,69.46446330385353,8.833405545815484,6.513066935136795,3.504547581332034,1.8935292544680626,0.6695589801813965,0.46557227742073726,0.3204629008131205,0.3582918087386279
2024-07-18,69.42942612124786,8.83176166696278,6.545944512190877,3.41491105777351,1.8969781767668732,0.667947334247373,0.46541111282733494,0.31337165870341666,0.35903316586827877
2024-07-19,69.43519581369166,8.844332505248163,6.520416040595943,3.466225864312821,1.8988154531316601,0.0,0.4654433457460154,0.3116633140133517,0.3587430696001545
2024-07-22,69.45266605561649,9.993912265347575,6.523059139927741,3.4652266438337262,1.8987509872942991,0.6679151013286925,0.0,0.3119534102814759,0.0
2024-07-23,69.46555922308868,10.026757609482976,6.5741805489549705,3.373746397326679,1.9048430089249084,0.0,0.4657656749328202,0.31130875190786644,0.0
2024-07-24,0.0,10.026596444889574,6.563124657847569,3.4260926572637658,1.9068736828017783,0.0,0.4657012090954592,0.31111535439578364,0.3590653987869592
2024-07-25,69.44061094402998,10.03110905350484,6.609443361991406,3.392183626811909,1.9116763876851683,0.6713317907088224,0.46602353828226395,0.31636932014070057,0.3588720012748764
2024-07-26,69.43028538639405,10.051250211770276,6.616566837019791,3.3781763929713673,1.9104193038566302,0.6679151013286925,0.466507032062471,0.31672388224618575,0.35916209754300066
2024-07-29,69.43287504354667,10.06449794134795,6.656954684126422,3.3468975686838367,1.9133847323752333,0.0,0.4667648954119148,0.3169817455956295,0.35932326213640303
2024-07-30,69.43943518385528,10.06380322525163,6.678615205479699,3.430058498879455,1.913771527399399,0.0,0.46682936124927576,0.31636932014070057,0.36032248261549765
2024-07-31,69.45667979534933,10.046784244188341,6.662885541163629,3.4208076512181593,1.9140938565862038,0.6682374305154972,0.46647479914379053,0.31846445985493127,0.0
2024-08-01,69.43395558767959,10.043432020645572,6.697729326257219,3.39144346230025,1.9193800552498013,0.0,0.46982702268655957,0.32030173621971814,0.36058034596494143
2024-08-02,69.43327869638732,10.052488987301004,6.692700990943066,3.3786732634128263,1.9175750118036947,0.6721053807571539,0.47031051646676664,0.0,0.0
