date,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,PO KAY SECURITIES & SHARES CO LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,SHANGHAI COMMERCIAL BANK LTD,BOCI SECURITIES LTD,TOTAL_CCASS_PCT
2024-09-26,14.358809984306397,11.683044305881163,8.131480154390593,2.1190035149765114,1.7735369887484895,0.4321615241397148,1.4694318406328972,1.1956897563685538,1.0214102136321308,0.7071699717666183,42.89173825484307
2024-09-27,14.363345737865474,11.687865526447453,8.131543591503307,2.1201453830053696,1.7702699774437007,0.4329862066050013,1.4702565230981837,1.1956897563685538,1.0220445847592743,0.7069479418721181,42.90109522896843
2024-09-30,14.351209488676423,11.688150993454666,8.131543591503307,2.118772603886231,1.7570116208864026,0.43729993026957686,1.471819613555465,1.1956897563685538,1.0220445847592743,0.7187155262806292,42.89225770964053
2024-10-02,14.339632215606054,11.687611777996596,8.131543591503307,2.111762802931296,1.752856490003613,0.4633725835951727,1.4663834018999657,1.1956897563685538,1.0203952198287012,0.718842400506058,42.88809024023932
2024-10-03,14.302843448015187,11.683107742993878,8.131575310059665,2.109066725640936,1.748334756046447,0.5026401563653524,1.452680985553667,1.1956897563685538,1.0057412467916875,0.7176688139208425,42.84934894175622
2024-10-04,14.301616542536735,11.682314779084948,8.127769083296805,2.1037697267292885,1.7431646313602278,0.5026401563653524,1.451951458757452,1.1956897563685538,1.0058690091366942,0.7175419396954139,42.83232708333147
2024-10-07,14.287002059102388,11.683646958451948,8.127769083296805,2.10218379891143,1.7376138839977227,0.5026401563653524,1.4506192793904509,1.1956897563685538,1.006408224594766,0.7237587767414196,42.81733197722083
2024-10-08,14.271451624507051,11.696937033565606,8.127832520409518,2.1014542721152147,1.7204231559789314,0.5026401563653524,1.4514439618557373,1.1956897563685538,1.001967626704762,0.7287336737132605,42.79857378158399
2024-10-09,14.262026011425727,11.701219038673823,8.127832520409518,2.0976987950425254,1.7242558677363504,0.5026401563653524,1.4464451173738468,1.1956897563685538,1.001967626704762,0.7342844210757656,42.79405931117623
2024-10-10,14.246404019767251,11.678413396653015,8.127959394634948,2.0971595795844533,1.7258417955542087,0.5163742912680083,1.4486971348752062,1.1956897563685538,1.005266356565908,0.755853039398643,42.797658764670196
2024-10-14,14.276405650668808,11.67467060700287,8.127991113191305,2.099253004304027,1.7283158429500685,0.5128852500687193,1.4493949431150641,1.1956897563685538,1.0068522843837664,0.7732212644588091,42.84467971651199
2024-10-15,14.275227845515598,11.69357480315463,8.12802283174766,2.0667846847116835,1.730980201684071,0.5332802818063813,1.4458310461227721,1.1956897563685538,1.0070425957219096,0.7734750129096665,42.84990905974293
2024-10-16,14.272585150555587,11.683456583676694,8.12802283174766,2.0636868284679473,1.732090351156572,0.5437791239606055,1.4453447054981476,1.1956897563685538,1.0074866555109099,0.7764248386508836,42.84856682559356
2024-10-17,14.27248742568345,11.678191303321404,8.12802283174766,2.0498269294893356,1.7324075367201437,0.5412416394520316,1.446010795181648,1.1956897563685538,1.0093897688923403,0.7762662458690978,42.82953423272566
2024-10-18,14.268522606138804,11.684566733149195,8.128054550304018,2.054901898506483,1.7265396037940666,0.5337243415953817,1.4459156395125765,1.1956897563685538,1.0036804287480492,0.7772495211161701,42.8188450792333
2024-10-21,14.282693346969715,11.680538476491833,8.12814970597309,2.052110665547052,1.7275863161538534,0.5325507550101664,1.4453447054981476,1.1956897563685538,1.0026971535009768,0.7772495211161701,42.82461040262956
2024-10-22,14.294317087725148,11.694843545408919,8.12814970597309,2.0533159706886246,1.724693108035734,0.5267779777531609,1.4460425137380055,1.1956897563685538,1.0026971535009768,0.7835932323876046,42.850120051579815
2024-10-23,14.29193261353244,11.69414573716906,8.128181424529448,2.053411126357696,1.7252323234938058,0.5273806303239471,1.4466556334323895,1.1956897563685538,1.0026971535009768,0.785496345769035,42.85082274447735
2024-10-24,14.29029184433064,11.690085761955341,8.128181424529448,2.050407727974792,1.7255177905010206,0.5287128096909485,1.4464970406506037,1.1956897563685538,1.0026971535009768,0.7864479024597502,42.844529211962076
2024-10-25,14.289023102076353,11.688817019701055,8.128181424529448,2.050883506320149,1.7228851503233749,0.533026533355524,1.446401884981532,1.1956897563685538,1.0039658957552637,0.7881607045030374,42.84703497791429
2024-10-28,14.28772264126571,11.68697734343234,8.128181424529448,2.0503328721817886,1.7225679647598036,0.5331216890245954,1.449743752079324,1.1956897563685538,1.0062813503693373,0.7881607045030374,42.848779498513935
2024-10-29,14.289974658767068,11.686660157868769,8.128181424529448,2.0490324113711447,1.7222507791962316,0.5328362220173809,1.449743752079324,1.1956897563685538,1.0058690091366942,0.7881607045030374,42.84839887583765
2024-10-30,14.28815109552498,11.687960618679412,8.128092009919076,2.0493813154910736,1.7222507791962316,0.5348027725115256,1.4485067283813942,1.1956897563685538,1.0042830813188355,0.7924744281676129,42.8515925855587
