date,ASIA PACIFIC SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,YUANTA SECURITIES (HONG KONG) CO LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-12-23,28.597365621553266,18.720038239804467,17.17768201557473,12.720568358803469,6.054532728353487,4.8208239159629125,4.931812450304594,3.6219085008094036,3.3552681688336685
2024-12-27,28.552156680688036,18.690444146663932,17.150526199171185,12.700458694496774,6.044961251885863,4.813202782386392,4.924015857416466,3.6161827060142024,3.5080516812771476
2025-01-06,28.552912846759988,18.690939138334492,17.150980408153472,12.698146681713629,6.045121344682216,4.813330253690299,4.92414626345797,3.616278475826019,3.5081445873819193
2025-01-17,28.55380250518285,18.691521515044176,17.151514802464217,12.698542333576219,6.045309700005205,4.810364404883957,4.92429969117381,3.61639115268749,3.5082538949820767
2025-01-23,28.557450684419777,18.693909639031705,17.180973107962423,12.6621468582531,6.044056535402429,4.810979001540243,4.924928844782563,3.616853201239988,3.5087021273677714
2025-02-03,28.563814983968022,18.698075754627432,17.16360702066552,12.664968738133778,6.045403510897648,4.810960253284584,4.926026412025815,3.6176592513825274,3.509484075014671
2025-02-05,28.56385949954714,18.69810489484106,17.16363376947014,12.664988475988059,6.045257086364521,4.810967750976398,4.926034089043699,3.6176648893617926,3.5094895444071907
2025-02-06,28.563948531121632,18.698163175540795,17.163687267329504,12.665027951881186,6.04496423592908,4.810982746430136,4.926049443151253,3.617676165373043,3.5095004832433725
2025-02-13,28.542952458671124,18.684418997690265,17.33997391271728,12.540476790403385,6.040365122912559,4.807446409631597,4.922428526004925,3.6150169745126517,3.5069208074562175
2025-02-17,28.5134234524483,18.665089100909213,17.42548953792263,12.527503086379,6.034116085446625,4.802472883674482,4.917336045723278,3.611277072030925,3.5032927354655485
2025-02-18,28.45768516866291,18.628447158496186,17.556940411269156,12.534067568876505,6.022320543766914,4.792153368071837,4.907723595207059,3.6042177167555325,3.496444468893899
2025-02-20,28.477007266708164,18.634725175815454,17.507333774956845,12.542577905575936,6.026409557589259,4.795407127352573,4.911055823950317,3.606664895705151,3.4988184723463003
2025-02-21,28.476122387235282,18.634146130214337,17.6683718129695,12.386820806784172,6.026222296123799,4.792150770258909,4.9109032203972784,3.6065528241064087,3.498709751910318
2025-02-24,28.463430420773623,18.62584078742538,17.70506747853357,12.381299931711771,6.023536375258844,4.7900148819512145,4.908714403460683,3.6049453634113284,3.497150357473587
2025-02-25,28.460115569170757,18.62367162168266,17.71542794792545,12.379858005305943,6.022834874107602,4.789457036734582,4.908142734495708,3.6037491312952916,3.4967430792820067
2025-02-28,28.459231739137604,18.62309326281174,17.71953605062863,12.386460932363345,6.022647834728457,4.780768163898209,4.90799031192577,3.603637216721141,3.4966344877851037
2025-03-05,28.44801187140297,18.61575122894611,17.751974590471114,12.381577650388792,6.0202734448384785,4.778883377022703,4.906055368542638,3.6022165060952944,3.495255962291903
2025-03-06,28.448056026764316,18.615624909014553,17.705437876356356,12.42816113606333,6.020282789159291,4.7788907945295325,4.906062983438489,3.6022220972477514,3.49526138742638
2025-03-07,28.442184566664196,18.61162760493025,17.722422841427825,12.425751241323615,6.01904024906605,4.77790446820212,4.905050409748785,3.601478626295084,3.4945399923420744
2025-03-10,28.432742340444527,18.605448923480868,17.795656001255423,12.420385099501603,6.015490743512119,4.776628562539037,4.90342203287502,3.5568464201811962,3.4933798762102057
2025-03-11,28.4328716555404,18.605939603310432,17.80388206271807,12.287762167956023,6.015649389507973,4.901172617326009,4.9035513503828785,3.555699146455015,3.4934720068032012
2025-03-12,28.465196347569705,18.627092277401154,17.659182471540298,12.301731848283096,6.022488445943353,4.9579973243500035,4.909126087580419,3.5597415408093553,3.4974436565226177
2025-03-13,28.461262235262314,18.62451786786311,17.66714624248758,12.30111868060622,6.021656091034325,4.9596414354512435,4.908447608039162,3.5592495567444695,3.496960282511578
2025-03-14,28.461262235262314,18.62451786786311,17.66714624248758,12.30111868060622,5.9968097440598065,4.984487782425764,4.908447608039162,3.5592495567444695,3.496960282511578
2025-03-26,28.459803795807442,18.623563492352215,17.666240925537053,12.300488334816402,5.996502449750025,4.989356658960381,4.908196084631852,3.5590671702452212,3.496781087899408
2025-03-28,28.455385194904714,18.620672042535848,17.663498107327154,12.298578590488924,5.995571447156762,5.004107783650044,4.907434049875538,3.5585145980095114,3.4962381860515075
2025-04-03,28.455826993252103,18.620961147114095,17.663772350821645,12.298769538236048,5.994111934277302,5.004185477433974,4.907510242702952,3.5585698475117686,3.4962924686501125
2025-04-14,28.455915354567836,18.621018969107023,17.663827200542443,12.29849720750686,5.99413054725303,5.004201016480265,4.907525481552348,3.5585808976180937,3.496303325372104
2025-04-29,28.455871173841373,18.62099005806567,17.66395503589347,12.298478112828857,5.994121240750717,5.004193246945056,4.90751786211582,3.558575372556353,3.49629789700268
