date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG)
2024-09-12,29.84566937650043,20.83744129610267,14.430121994205559,9.416779470147853,7.003200021371596,6.514073475264211,3.833264690209669,3.5128966736682297,2.6696950160738036,1.9368579864559705
2024-09-13,29.831214533186895,20.94195175552089,14.548792159868784,9.437493371379468,7.011398296043489,6.345017915367402,3.7800963850914795,3.5191624566351574,2.645241593381188,1.9396315335252485
2024-09-16,29.750628251531918,20.844989238382443,14.528815923259225,9.40808929799823,6.9846071311297955,6.6592285477884765,3.7538133197032675,3.509815328594388,2.6280450804251516,1.9319678811871035
2024-09-17,29.737738862486644,20.777710630416685,14.578777095640142,9.439672599832207,7.00981556773589,6.673831231613944,3.7065850504267117,3.518427779844102,2.622792508851765,1.9346486731519077
2024-09-19,29.746029174119766,20.75367549812077,14.582841379273523,9.48197391056592,7.011769769964106,6.644225287505807,3.701045072240308,3.527123473029344,2.61612841905849,1.9351880161219697
2024-09-20,29.75687306315123,20.894318520093165,14.588157541399049,9.485202223489846,7.015239234159276,6.480311887200199,3.7019832866641447,3.5274959531882435,2.6145248034268374,1.9358934872280125
2024-09-23,29.562531541254046,21.01427740450428,14.615405433566272,9.50560923322959,7.033309992198129,6.488783628101655,3.699316420935655,3.553910166174496,2.5896330339608404,1.9372231460750386
2024-09-24,29.551574673174287,21.04484577784066,14.593304262849847,9.50012269167512,7.0848813689704695,6.463754138773295,3.695402270200744,3.5562399111645187,2.57446773450505,1.9354071708460086
2024-09-25,29.621740003753853,20.935902205963757,14.548321070499876,9.512598818866374,7.083074896467611,6.589773592796558,3.6686565993691933,3.550168225594082,2.5564704579869444,1.9332941287017507
2024-09-26,29.35273702203933,20.907744987381907,14.729627945880258,9.506968582001507,7.075076268923075,6.711533334901684,3.6811374619598927,3.5500556962476346,2.553746619732102,1.931372080932611
2024-09-27,29.132148166739196,20.79358936643488,14.736930434736875,9.52170678700899,7.097881847243938,6.914550838540647,3.71463806084485,3.600834093341168,2.554206671216867,1.933513733892591
2024-09-30,28.49803532134144,20.685904869024366,15.412878596575297,9.496004736796944,7.091029209659462,7.007897125097001,3.749256772349341,3.5922835851412662,2.536142759380087,1.9305670246347946
2024-10-02,28.477034695486157,20.729817349707577,15.18406572037511,9.492481759283164,7.101341315738171,7.152748417400471,3.782644446823855,3.603989339774554,2.5423533659354645,1.933523589475472
2024-10-03,28.575372188860438,20.791692498258136,14.903202367769932,9.487199631333485,7.369752199217179,6.955338331576775,3.8071862847916282,3.6237870770564564,2.545224028200959,1.9412453929350086
2024-10-04,28.53109343150153,20.97409272375473,14.880109220385823,9.415837506368304,7.333042945137583,6.964927253300888,3.857262219835584,3.6024402351077747,2.525822854559781,1.9153716100480036
2024-10-07,28.55672861885829,21.008310160313428,14.893478998472649,9.434230284142222,7.3600462506558735,6.747091660760739,3.911901703778295,3.6510834176114684,2.520036333973541,1.917092571433493
