date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,UBS SECURITIES HONG KONG LTD,DBS BANK (HONG KONG) LTD
2024-09-02,41.72131931011904,19.109065203996074,23.987599577880484,5.2667864307889545,4.835492988794055,1.256001161243298,1.6934645548999525,1.6440390409206005,0.47103796224536926,0.015193769112171232
2024-09-03,41.39182140957937,19.414721204494217,24.11300972568067,5.19173027101749,4.845211322668121,1.2142282359818333,1.7043885060052504,1.647343217007442,0.46232180214175345,0.015224305423852322
2024-09-04,41.119055088848086,19.655713513483228,23.946882384040975,5.443048592439262,4.844614774961191,1.1175320238245603,1.7405934255373,1.6444634499001145,0.4728990555788363,0.015197691386450229
2024-09-05,40.80338478942943,19.922439405716727,24.642226343309996,7.085842966417142,2.437807378895485,1.234303880503201,1.7961063824446213,1.5814125231480038,0.48120675830881104,0.015269571826580309
2024-09-09,40.71816144419203,19.96427833614282,24.678411037880792,5.878330724722133,3.6446030312965156,1.2416915595072038,1.7995823642034041,1.5841484897790539,0.47549702290288764,0.015295989373157454
2024-09-10,40.56825095043569,20.097621519914703,24.85151223056532,5.684575433946624,3.6381995090648545,1.2412575926016836,1.796604485589373,1.5813651605699621,0.5253440028018641,0.015269114509924018
2024-09-11,40.55739499927309,20.16988283054319,24.820841330803585,5.696677959738756,3.643360980196945,1.2394603616850173,1.7940710451397772,1.581888881323369,0.48114743992005904,0.01527417137620284
2024-09-12,40.416037056129525,20.4782599801575,24.883277585254806,5.4204254186344265,3.632336403158634,1.2625948728952832,1.8005663010253359,1.5974755320273866,0.49374440844437056,0.015282442272737793
2024-09-13,39.73499329392076,20.745451464705393,24.984240086638206,5.66948403401249,3.671404994800557,1.2737123612172143,1.8258368727963974,1.600339516935045,0.47922753404429036,0.015309840929646006
2024-09-16,38.46487439997725,21.378899805334058,25.546002726979673,5.463364742115132,3.90112070715942,1.3074878215649015,1.8408267493495407,1.6158244471567762,0.46620272972681726,0.015395870636438118
