date,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-12-06,28.480812047208403,18.34448904263065,15.198224481166505,4.879707155962467,5.3322517145696375,6.780730988187732,5.672414415057725,5.069057511746516,5.667905106546263,4.574407536924105
2024-12-09,28.438262542786042,18.175289655898847,15.585202221065417,4.572713501190677,5.751532117592807,6.857441408343784,5.8715436038510225,5.202458932780094,5.823598356811526,3.7219576596797888
2024-12-10,27.309783922050002,18.70094872460095,15.053468307040735,5.778824277176981,5.880137157044449,6.775324415767214,5.538006634433387,5.018904494291345,6.060372111588627,3.8842299560063123
2024-12-11,26.59785572028156,19.29326986197967,14.089937346984897,6.6051631942884494,6.002110171856763,6.504843548639097,5.26969133198556,4.681532441540161,5.918685692669307,5.036910689774539
2024-12-12,27.248174586239088,18.094846953161987,14.239526456257046,8.506888919175019,5.570895483839008,6.594575801584984,5.199654583764344,4.641387607034099,6.0274364157052736,3.8766131932391508
2024-12-13,27.660273831763764,18.003550296744375,14.344387616260368,8.43461167132213,5.510078525439867,6.522826997354933,5.230902125083177,4.67918782667388,6.014669715237556,3.599511394119951
2024-12-16,27.18278467937074,18.571884958089267,14.140062720421135,8.553985330166892,5.53829180864366,6.559184986268184,5.152284608139313,4.616684128067019,5.9714592095561025,3.713377571277685
2024-12-17,27.478252832800887,18.18038680806703,14.493303853523965,8.335146017971956,5.330884344109612,6.519155880108679,5.499335593543896,4.721593260737615,5.980433874998572,3.461507534137789
2024-12-18,27.976754170851077,18.418950090602234,14.617656367469628,7.118620007048655,5.346012118487271,6.600873440396353,5.605069660159871,4.825341956529413,6.044696282414403,3.4460259060410925
2024-12-19,27.859274698161805,18.24481175261149,14.706924986420375,7.2507551291619095,5.312375206028034,6.648629112620276,5.633848915563078,4.840700473607669,6.033988639559741,3.4686910862656255
2024-12-20,27.243828968087737,18.297738761929203,14.636398840527914,7.946615265178872,5.354440800055235,6.711723651354882,5.408483775723875,4.857947173114149,6.017003613449758,3.525819150578377
2024-12-23,27.854255533903704,18.46929761121734,14.902580158819967,6.255815304211877,5.459563695460403,6.799045708539278,5.524517404352582,4.97580948650155,6.112619242825693,3.6464958541676085
2024-12-27,29.549315697887234,19.556019594101816,15.813196714060826,2.7796492784737143,5.634350514151276,7.21762851324641,5.913070685175161,5.262509176030009,6.45145844444976,1.8228013824237919
2024-12-30,29.42606686032431,19.863320117760132,15.74195597241039,2.791777868387209,5.587731398961669,7.270815778691551,5.777363282011903,5.249716617665998,6.461716504832368,1.829535598954472
2025-01-02,29.36274989287168,19.984316006117087,15.374729010182831,2.3982627968984516,5.509150828115511,7.130291035613691,5.640149239374506,5.084829326887727,6.3363060312164485,3.1792158327220648
2025-01-03,29.27245105992854,19.824723101493706,15.282286837607945,2.593832049997371,5.427855410432027,7.022041743318476,5.682851827306909,5.055736428942833,6.314707408994838,3.5235141319773526
2025-01-06,30.340029071728242,19.92144380828844,15.76204157677044,3.0006647131519975,4.820323584596118,7.087654870191917,5.788437045725473,5.255333976499528,6.175167043385101,1.8489043096627442
2025-01-07,28.959884082841047,20.388469297332016,16.067911403216286,2.4815777231341754,4.913613024512217,7.241610816024034,6.075358142500738,5.322947988100479,6.504918894673037,2.043708627665974
2025-01-08,29.104657752777197,20.267860661034085,15.972831037532586,2.6207614534018493,4.88575779171117,7.203389421442401,6.054821880488008,5.278166695074942,6.512417215866895,2.099336090670865
2025-01-09,29.517901358179305,19.700443654966044,16.105426721888204,2.5340386531322223,4.6531269920793195,7.20948193734039,6.19262521867501,5.331910465824776,6.573850878901354,2.181194119013379
2025-01-10,29.715337854092777,19.68124152737949,16.24655107265605,2.5742315239636477,4.44159870794896,7.1726882269739844,6.2995768314675145,5.330093744915864,6.53791512999239,2.0007653806093204
2025-01-13,29.71489733517246,19.80666277541868,16.14579127350503,2.259314536802468,4.432715253589641,7.179594609465939,6.21370506165958,5.316421441405362,6.5176343159087855,2.413263397072059
2025-01-14,29.87221338101419,19.729111658133558,16.22834918544823,2.25560514824051,4.312153618135055,7.125507727728113,6.329332074357631,5.299283643912546,6.512041822235759,2.336401740794411
2025-01-15,29.799903997732407,19.66164688567656,16.286111591646073,2.505076890308981,4.128302581164221,6.989956263856239,6.190708116447887,5.412994482337702,6.774281048748507,2.2510181420814233
2025-01-16,28.893376270951087,19.871405651760593,15.907069637396123,3.1069023748716376,4.208132072403335,6.943311402453883,5.82762609593116,5.261425653461392,6.498847399124023,3.4819034416467662
2025-01-17,28.722259464742006,19.825467382430947,15.831188807462352,3.1753727274588495,4.401962473159335,6.939574465466834,5.737505260634693,5.232924207349381,6.478453551343502,3.6552916599521015
2025-01-20,28.04084226330732,19.731480875063202,15.695222830492803,3.8588309294012935,4.7263863299154165,7.14576463458356,5.552121566773764,5.0966805401082835,6.387559785364867,3.765110244989489
2025-01-21,27.13099174102569,19.69856811957187,15.46853929411138,4.781564179157013,5.456177828280613,7.146659777466348,5.334101433165348,5.036762291487969,6.2565528873024325,3.690082448431332
2025-01-22,26.55109232765823,19.644910958347776,14.861871842792116,6.922084337381021,5.414253588044825,7.187341198168273,5.018034361304564,4.830379665134767,5.846025724100376,3.7240059970680606
2025-01-23,27.693247153134077,20.07862281004767,15.259703379886174,3.0695323774633154,5.708759484783323,7.733123042450424,5.241200262313093,4.9474240773053255,6.058355826247698,4.210031586368899
2025-01-24,28.354467691764984,19.776137936286986,14.98164266098994,3.1193048951518514,5.6765219623325365,7.5159278749804574,5.319560409593774,4.803428297463161,5.931473270893097,4.521535000543212
2025-01-27,28.020280659458567,19.6383205188712,15.55893291512613,2.735055776362154,5.6533857074784315,7.702248093340317,5.602262075273882,5.002710997076665,6.028565771434186,4.05823748557847
2025-02-03,27.19478670069002,19.902607520948937,15.017124565374854,4.586019542361215,5.666343918917889,7.716411696425323,5.1517810291401345,4.87191560095128,5.8815664760198425,4.011442949170506
2025-02-04,28.255865508227412,20.368610142044066,14.792140203265127,3.035381640737875,5.834675961423152,7.453241672038327,5.312307669046695,4.757156140385626,6.160684336297445,4.029936726534276
