date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,ZHESHANG INTERNATIONAL FINANCIAL,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,HANG SENG BANK LTD
2024-06-11,36.051316548344424,29.045680362096448,0.0,4.644593206329664,1.2738534033841014,2.2009821191355394,1.05891937037393,1.3764500219311055,0.0
2024-06-12,36.05940258698959,29.041372525008235,3.844250089430324,4.71007495803308,1.2257414734453405,2.1979498546436003,1.0130968001265828,1.3676564549044834,0.0
2024-06-13,36.20980290578975,28.972956400418227,0.0,4.606835246725077,1.2251350205469527,2.191237381275537,1.0357994149154695,1.3701422547972333,0.0
2024-06-14,36.403362455858506,28.826365262810583,3.847282353922263,4.590189479183355,1.2253610253270852,2.1633754189913588,1.0934786447037121,1.3677009281170318,0.0
2024-06-17,36.4828077855473,28.832840006642478,0.0,4.588066894038998,0.0,2.1535114120613406,1.0165188116812187,1.3677299367806715,0.0
2024-06-18,36.50615622213523,28.809768062038476,0.0,4.633270225339349,0.0,2.1416411578679724,1.0003136827079169,1.3754339606375985,0.0
2024-06-19,36.62775002826197,28.788771955167906,3.847989882303715,4.513805877489814,1.2324363091416088,2.142854063664748,0.980099799000789,1.374597763166205,0.0
2024-06-20,36.89448822806951,28.72019840551303,0.0,4.4098270011741585,1.2317287807601565,2.1413379314187786,0.9978688689235498,1.368185231294136,0.0
2024-06-21,36.94256174932471,28.702659686616173,0.0,4.589966253979007,1.2319309317262856,2.1393164217574863,1.0300108725381,1.3682829207485179,0.0
2024-06-24,37.039290986617544,28.67001569161498,3.8409145984891917,4.550335921588389,1.2309201768956395,2.139417497240551,0.9785355548248809,1.3707478990917563,0.0
2024-06-25,37.06951255605387,28.609670747574135,0.0,4.679348314407885,1.230819101412575,0.0,0.9777662187855345,1.3803392043684664,0.0
2024-06-26,37.135110544562814,28.60017804143115,0.0,4.640589202143542,1.2306169504464457,2.137497063062323,0.9908437690863678,1.3810467327499185,0.0
2024-06-27,37.16634286882978,28.527042955225568,0.0,4.61512323418541,1.2265739311238608,2.137294912096194,1.017037480522565,1.3677047689853883,0.0
2024-06-28,37.31411522507026,28.518231144074253,0.0,4.5561406360430485,0.0,2.1370927611300647,0.986904149982958,1.37124241089265,0.0
2024-07-02,37.3814314967913,28.494104426266727,0.0,4.516599907068168,1.2250577988778912,2.1338583456719964,0.9869243650795709,1.3732639205539425,0.0
2024-07-03,37.39426808314051,28.469391470657424,3.8394490039847544,4.555842817132199,1.2208126285891772,2.13436372308732,0.9780546376764595,1.371545637341844,0.0
2024-07-04,37.50929198286805,28.439717881952536,0.0,4.568692138992272,1.21869004344482,2.13416157212119,0.9735271635635457,1.3676904668045347,0.0
2024-07-05,37.590960973184266,28.421142229674924,0.0,4.554541571363226,1.2153545525036875,0.0,0.9874755802264638,1.3668818629400177,0.0
2024-07-08,37.67788588861984,28.41809894795533,0.0,4.582803388258408,1.2145459486391705,2.1335551192228026,0.9785899334347696,1.366578636490824,0.0
2024-07-09,37.756219387994925,28.378376283110935,0.0,4.605719373392044,1.214141646706912,2.0952475111413107,0.9807689692364183,1.370823806779538,0.0
2024-07-10,37.88301858149949,28.374774053969993,0.0,4.573892472595947,1.213636269291589,2.094944284692117,0.974507343060565,1.3707227312964734,0.0
2024-07-11,38.00511776504156,28.34953363595232,3.8676996015013168,4.506959226417981,1.214141646706912,2.0717979990703177,1.0252472355590059,1.366578636490824,0.0
2024-07-12,38.11205562612393,28.304131084874847,0.0,4.484859931187508,1.2147480996052997,2.0684503790712174,1.0332192105215374,1.3690044480843746,0.0
2024-07-15,38.07607275415293,28.323904380551294,0.0,4.513821190425498,1.2161631563682045,2.068854681003476,1.017300478929499,1.366578636490824,0.0
