date,FUTU SECURITIES INTERNATIONAL,PHILLIP SECURITIES (HONG KONG) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,ROOFER SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,DBS BANK (HONG KONG) LTD,WESTOCK SECURITIES INTERNATIONAL (HK),TOTAL_CCASS_PCT
2025-02-17,7.4944999999999995,2.5645000000000002,0.07100000000000001,1.87,1.4224999999999999,0.9400000000000001,0.734,0.9780000000000001,0.8049999999999999,0.6195,17.499000000000002
2025-02-18,7.4965,2.5645000000000002,0.07100000000000001,1.87,1.4224999999999999,0.9384999999999999,0.734,0.9780000000000001,0.8049999999999999,0.6195,17.4995
2025-02-19,7.5565,2.5645000000000002,0.07100000000000001,1.87,1.4224999999999999,0.9485,0.734,0.9780000000000001,0.755,0.6195,17.5195
2025-02-20,7.6265,2.5645000000000002,0.07050000000000001,1.87,1.4195,0.9485,0.734,0.9780000000000001,0.734,0.623,17.5685
2025-02-21,7.632999999999999,2.6395,0.07050000000000001,1.87,1.4195,0.9535,0.734,0.9780000000000001,0.734,0.623,17.655
2025-02-24,7.6525,2.6545,0.07050000000000001,1.87,1.4200000000000002,0.9535,0.734,0.9780000000000001,0.734,0.623,17.69
2025-02-25,7.6625,2.6545,0.07050000000000001,1.87,1.4200000000000002,0.9535,0.734,0.9780000000000001,0.734,0.625,17.702
2025-02-26,7.667,2.6545,0.07050000000000001,1.87,1.452,0.954,0.734,0.9780000000000001,0.734,0.625,17.739
2025-02-27,7.668,2.6545,0.07050000000000001,1.875,1.5005,0.954,0.734,0.9780000000000001,0.734,0.608,17.776500000000002
2025-02-28,7.6765,2.6545,0.0635,1.875,1.5005,0.9504999999999999,0.734,0.9780000000000001,0.734,0.608,17.7745
2025-03-05,7.718999999999999,2.6545,0.0635,1.875,1.5005,0.9450000000000001,0.734,0.9780000000000001,0.734,0.608,17.8115
2025-03-06,7.570499999999999,2.5795,0.59,1.875,1.5025,0.9344999999999999,0.734,0.9780000000000001,0.734,0.608,18.106
2025-03-07,7.5475,2.5795,0.5895,1.875,1.5075,0.9344999999999999,0.734,0.9825,0.734,0.608,18.092
2025-03-10,7.5465,2.5795,0.66,1.8724999999999998,1.4515,0.9344999999999999,0.734,0.9825,0.734,0.5225,18.017500000000002
2025-03-11,7.5465,2.5795,0.6725,1.8724999999999998,1.4515,0.9344999999999999,0.734,0.9825,0.734,0.5225,18.029999999999998
2025-03-12,7.518,2.5795,0.703,1.8715,1.4515,0.9344999999999999,0.734,0.9825,0.734,0.5225,18.031
2025-03-13,7.4065,2.5785,0.9205,1.87,1.451,0.9344999999999999,0.86,0.9705,0.734,0.528,18.2535
2025-03-14,7.4265,2.5785,0.9205,1.87,1.451,0.9344999999999999,0.898,0.9705,0.73,0.529,18.3085
2025-03-17,7.4225,2.5785,0.9214999999999999,1.865,1.451,0.9344999999999999,0.898,0.9705,0.73,0.5235,18.295
2025-03-18,7.4145,2.5260000000000002,1.635,1.8365,1.4565,0.9665,0.898,0.98,0.73,0.49100000000000005,18.934
2025-03-19,7.352499999999999,2.5065,1.4449999999999998,1.849,1.458,0.9740000000000001,0.898,0.9939999999999999,0.73,0.49100000000000005,18.698
2025-03-20,7.3950000000000005,2.4815,1.4565,1.849,1.4575,0.9665,0.898,0.9835,0.73,0.51,18.7275
2025-03-21,7.492500000000001,2.4815,1.496,1.8499999999999999,1.468,0.989,0.898,0.9530000000000001,0.73,0.5599999999999999,18.918
2025-03-24,7.523000000000001,2.4815,1.5195,1.8499999999999999,1.4675,0.9939999999999999,0.898,0.9504999999999999,0.73,0.545,18.959
2025-03-25,7.585999999999999,2.4815,1.5205,1.831,1.477,0.9939999999999999,0.898,0.9504999999999999,0.73,0.545,19.0135
2025-03-26,7.710500000000001,2.4815,1.5205,1.831,1.476,0.958,0.898,0.938,0.73,0.54,19.0835
2025-03-27,7.685500000000001,2.4815,1.5205,1.831,1.4755,0.975,0.898,0.938,0.73,0.54,19.075
2025-03-28,7.765,2.4815,1.521,1.8270000000000002,1.477,0.9825,0.898,0.938,0.73,0.5499999999999999,19.17
2025-03-31,7.739999999999999,2.7595,1.5630000000000002,1.8395000000000001,1.5015,0.9450000000000001,0.898,0.9129999999999999,0.7065,0.5515,19.417499999999997
2025-04-01,7.600999999999999,2.7595,1.7135,1.894,1.5005,0.9450000000000001,0.898,0.9129999999999999,0.7065,0.5615,19.4925
2025-04-02,7.6005,2.7595,1.7125000000000001,1.9,1.4955,0.9450000000000001,0.898,0.9129999999999999,0.7065,0.5740000000000001,19.5045
2025-04-03,7.521,2.7595,1.8835000000000002,1.9234999999999998,1.4955,0.9815,0.898,0.9129999999999999,0.7065,0.5545,19.6365
2025-04-07,7.5375,2.7595,1.8875,1.9234999999999998,1.4949999999999999,0.9815,0.898,0.9129999999999999,0.7065,0.5525,19.6545
2025-04-08,7.506500000000001,2.7595,1.9140000000000001,1.923,1.4945,0.9585,0.898,0.9129999999999999,0.7065,0.5645,19.637999999999998
2025-04-09,7.4985,2.6465,2.0084999999999997,1.8884999999999998,1.4915,0.9645000000000001,0.898,0.9169999999999999,0.7065,0.5745,19.594
2025-04-10,7.4875,2.6465,2.0084999999999997,1.8884999999999998,1.5015,0.9645000000000001,0.898,0.9209999999999999,0.7065,0.592,19.6145
2025-04-11,7.4845,2.6465,2.069,1.879,1.5005,0.9530000000000001,0.898,0.9159999999999999,0.7065,0.592,19.645000000000003
2025-04-14,7.5285,2.6465,2.0825,1.8739999999999999,1.5005,0.938,0.898,0.9159999999999999,0.7065,0.579,19.6695
2025-04-15,7.555000000000001,2.6465,2.0365,1.894,1.4905,0.938,0.898,0.9119999999999999,0.7065,0.5645,19.6415
2025-04-16,7.600999999999999,2.6465,1.9705,1.9215,1.508,0.9455,0.898,0.902,0.7065,0.5605,19.66
2025-04-17,7.603,2.6465,1.9709999999999999,1.9215,1.508,0.9390000000000001,0.898,0.902,0.7065,0.569,19.6645
2025-04-22,7.585,2.659,1.9715,1.9215,1.5205,0.9390000000000001,0.898,0.911,0.7065,0.592,19.704
2025-04-23,7.520499999999999,2.6565,2.0795,1.9205,1.5205,0.9390000000000001,0.898,0.911,0.7065,0.5845,19.7365
2025-04-24,7.6325,2.6565,2.09,1.7739999999999998,1.5205,0.9390000000000001,0.898,0.911,0.7065,0.585,19.713
2025-04-25,7.6365,2.6565,2.1149999999999998,1.7675,1.5214999999999999,0.9390000000000001,0.898,0.873,0.7065,0.5855,19.698999999999998
2025-04-28,7.6355,2.6565,2.1149999999999998,1.7675,1.5214999999999999,0.9390000000000001,0.898,0.873,0.7065,0.598,19.7105
2025-04-29,7.625,2.6565,2.1155,1.7675,1.5214999999999999,0.9390000000000001,0.898,0.873,0.7065,0.598,19.7005
2025-04-30,7.6235,2.6565,2.1155,1.7670000000000001,1.5214999999999999,0.9390000000000001,0.898,0.8734999999999999,0.7065,0.601,19.702
2025-05-02,7.7055,2.643,1.9044999999999999,1.76,1.5325,0.9390000000000001,0.898,0.8785,0.7065,0.61,19.5775
