date,BNP PARIBAS,BANK CONSORTIUM TRUST CO LTD,ABN AMRO CLEARING HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,PHILLIP SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD
2024-08-23,38.87479472340667,54.024149644709276,2.5219565677401525,1.8089956157885032,0.8085412059185701,0.8992896370633348,0.45040358467836267,0.3563165824881387,0.2555524382069956
2024-08-26,38.877020869679434,54.02218211496722,2.52186471947252,1.8089297331656258,0.8085117592936666,0.8992568854306059,0.4503871812281537,0.3563036056346714,0.25554313112810334
2024-08-27,38.8782348513,54.02218211496722,2.52186471947252,1.8077157515450648,0.8085117592936666,0.8992568854306059,0.4503871812281537,0.3563036056346714,0.25554313112810334
2024-08-28,38.93893393232805,54.02218211496722,2.461165638444467,1.8077157515450648,0.8085117592936666,0.8992568854306059,0.4503871812281537,0.3563036056346714,0.25554313112810334
2024-08-29,38.93893393232805,54.02218211496722,2.427174153068757,1.810143714786187,0.8400752814282542,0.8992568854306059,0.4503871812281537,0.3563036056346714,0.25554313112810334
2024-08-30,38.936441412058024,54.02546141082697,2.4261074339399116,1.8102535955158625,0.8401262763211745,0.8993114728105635,0.45041452097565854,0.3563252342489374,0.2555586433029006
2024-09-02,39.54319216867152,54.689421234759315,1.098716617485105,1.8325011733646048,0.8504512245944595,0.9103637928010779,0.4559500062493417,0.3607043849977946,0.2586993970767828
2024-09-03,40.0347824719053,54.689421234759315,0.6071263142513136,1.8325011733646048,0.8504512245944595,0.9103637928010779,0.4559500062493417,0.3607043849977946,0.2586993970767828
2024-09-05,39.973333684001084,54.689421234759315,0.7005284718657339,1.8325011733646048,0.818497854884263,0.9103637928010779,0.4559500062493417,0.3607043849977946,0.2586993970767828
2024-09-09,39.978246913631835,54.696143258171816,0.7000000122912681,1.8204351428497327,0.8185984586503917,0.9104756880559725,0.45600604828723024,0.3613632835483711,0.25873119451337456
2024-09-11,39.91679057289232,54.696143258171816,0.8032466647336599,1.8204351428497327,0.8185984586503917,0.8686853763530997,0.45600604828723024,0.3613632835483711,0.25873119451337456
2024-09-12,39.92908184104023,54.696143258171816,0.8032466647336599,1.8081438747018292,0.8185984586503917,0.8686853763530997,0.45600604828723024,0.3613632835483711,0.25873119451337456
2024-09-17,39.93707116533636,54.696143258171816,0.7952573404375225,1.8081438747018292,0.8185984586503917,0.8686853763530997,0.45600604828723024,0.3613632835483711,0.25873119451337456
2024-09-23,40.01819129917117,54.689421234759315,0.7214210597531701,1.8079216582029156,0.818497854884263,0.8685786170262055,0.4559500062493417,0.36131887287683684,0.2586993970767828
2024-09-24,39.62753677494885,54.689421234759315,1.110846608217399,1.8079216582029156,0.818497854884263,0.8685786170262055,0.4559500062493417,0.36254784863492134,0.2586993970767828
2024-09-25,39.62716579120041,54.68975729668898,1.1108534342771064,1.8079327677306343,0.8185028844852779,0.8685839543693243,0.45595280802408117,0.36255007646119664,0.25870098676298947
2024-09-26,39.67767294728241,54.66960088857144,1.0821878209151643,1.8072664376440375,0.8182012177930017,0.8682638298426486,0.45578476246426974,0.362416455328732,0.25860564015829857
2024-09-27,39.48100732231689,54.64140686519548,1.3106324687589292,1.8063344002528487,0.8165513610192132,0.8678160517298181,0.45554970667387684,0.36222955112882393,0.2584722729241269
2024-09-30,37.99679936424416,54.64140686519548,2.7948404268316565,1.8063344002528487,0.8165513610192132,0.8678160517298181,0.45554970667387684,0.36222955112882393,0.2584722729241269
2024-10-02,39.76287748469481,52.80085837004732,2.8599891917870846,1.8180440671052247,0.8165714143274762,0.8678373640239755,0.4555608943090129,0.36223844695730145,0.2560227667477876
2024-10-03,40.991197143968265,51.57419801815093,2.94908632010361,1.7259919345322043,0.8178194257163932,0.8678586773649564,0.4555720824936665,0.3622473432227267,0.25602905444724927
