date,ABCI SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,SHANGHAI COMMERCIAL BANK LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,CITIBANK N.A.,PHILLIP SECURITIES (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,TOTAL_CCASS_PCT
2024-07-15,28.30682725969151,9.969929581750467,7.219595306525929,3.9515920540969613,3.2413208501411184,4.250735001511434,2.455790766508087,1.7740747417106895,2.0213151875815893,1.8329476051289966,65.02412835464678
2024-07-16,28.30682725969151,9.972654320233083,7.2202364214630155,3.9515920540969613,3.239076947861317,4.251937092018471,2.4518639375184352,1.7740747417106895,2.0213151875815893,1.8329476051289966,65.02252556730407
2024-07-17,28.30682725969151,9.98555675834194,7.219274749057386,3.9515920540969613,3.2394776446969953,4.251937092018471,2.4518639375184352,1.7740747417106895,2.0213151875815893,1.8332681625975396,65.03518758731151
2024-07-18,28.30682725969151,9.999340729489289,7.192347921699772,3.9515920540969613,3.2357912338087513,4.247930123661683,2.452585191822657,1.7759980865219478,2.0213151875815893,1.8356723436116125,65.01940013198578
2024-07-19,28.30682725969151,9.999340729489289,7.193950709042488,3.9515920540969613,3.2293800844378904,4.247930123661683,2.452585191822657,1.7737541842421465,2.0253221559383774,1.8356723436116125,65.01635483603462
2024-07-22,28.30682725969151,10.004389509618843,7.190424576888514,3.9515920540969613,3.227376600259497,4.24760956619314,2.452585191822657,1.7738343236092822,2.0253221559383774,1.8356723436116125,65.0156335817304
2024-07-23,28.30682725969151,10.010880798356839,7.183212033846297,3.9515920540969613,3.228578690766533,4.246006778850425,2.452585191822657,1.7730329299379246,2.0253221559383774,1.8356723436116125,65.01371023691914
2024-07-24,28.30682725969151,10.010880798356839,7.186417608531725,3.9515920540969613,3.217599597468934,4.246006778850425,2.451703658784164,1.7730329299379246,2.0253221559383774,1.8356723436116125,65.00505518526847
2024-07-25,28.30682725969151,10.014647348612218,7.182330500807803,3.9515920540969613,3.215115277087726,4.246086918217561,2.451463240682757,1.772952790570789,2.0253221559383774,1.8356723436116125,65.0020098893173
2024-07-26,28.30682725969151,10.013765815573725,7.183532591314839,3.9511112178941468,3.2186414092416995,4.246086918217561,2.4474562723259687,1.7723918150008386,2.0253221559383774,1.8356723436116125,65.00080779881029
