date,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,OSHIDORI SECURITIES LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),THE HONGKONG AND SHANGHAI BANKING,CCB INTERNATIONAL SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,ORIENT SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-12-12,28.2900467121811,2.8324495867768595,0.0,0.0,0.5035767157743443,0.0,0.0,0.0,4.11498095580309,0.0
2024-12-13,28.291426518145883,2.8326795544376573,0.0,0.0,0.5036629536471434,0.0,0.0,0.0,0.0,0.0
2024-12-16,28.2903341717571,2.8327370463528565,0.0,0.0,0.503605461731944,0.0,30.218934962270932,0.0,0.0,17.25879077254761
2024-12-17,0.0,2.832708300395257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-18,0.0,2.833628171038448,0.0,0.0,0.5038641753503413,0.0,0.0,0.0,0.0,0.0
2024-12-19,0.0,2.833858138699245,0.0,0.0,0.5038354293927416,0.0,0.0,0.0,0.0,0.0
2024-12-20,28.288868127919507,2.8344330578512396,0.0,0.0,0.5038066834351419,0.0,0.0,0.0,0.0,0.0
2024-12-23,0.0,2.834519295724039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-27,28.2899892202659,2.834691771469637,0.0,0.0,0.5126604383758534,0.0,0.0,0.0,0.0,0.0
2024-12-30,28.2898167445203,2.8354679123248294,0.0,0.0,0.5126316924182537,0.0,0.0,0.0,0.0,0.0
2025-01-02,0.0,2.8356403880704275,0.0,0.0,0.5126604383758534,0.0,0.0,6.051081566654689,0.0,0.0
2025-01-03,28.289931728350698,2.835697879985627,0.0,0.0,0.5129191519942509,0.0,0.0,0.0,0.0,0.0
2025-01-06,0.0,2.8358416097736256,0.0,0.0,0.5128616600790513,0.0,0.0,0.0,0.0,0.0
2025-01-07,28.290736615163492,2.8358128638160256,0.0,0.0,0.5127696730147323,0.0,30.217210204814947,0.0,0.0,0.0
2025-01-08,0.0,2.8357266259432268,0.0,0.0,0.5061719008264463,0.0,30.216692777578153,0.0,0.0,0.0
2025-01-09,0.0,2.83541042040963,0.0,0.0,0.506200646784046,0.0,0.0,0.0,0.0,0.0
2025-01-10,0.0,2.8355541501976287,0.0,0.0,0.5061144089112468,0.0,0.0,0.0,0.0,0.0
2025-01-13,28.290707869205896,2.835697879985627,0.0,0.0,0.5060856629536471,0.0,0.0,0.0,0.0,17.259078232123606
2025-01-14,28.29082285303629,2.8360715774344234,0.0,0.0,0.5058844412504492,0.0,0.0,0.0,0.0,0.0
2025-01-15,28.290794107078693,2.8358128638160256,0.0,0.0,0.5058269493352497,0.0,30.217497664390947,0.0,0.0,17.25904948616601
