date,CHINA MERCHANTS BANK CO LTD,CMB INTERNATIONAL SECURITIES LTD,SHANXI SECURITIES INTERNATIONAL LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,WOCOM SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-09-23,0.0,74.73523749275442,0.0,17.247989865928425,0.889633161505782,0.5038228618731724,6.623316617938195
2024-09-26,0.0,74.73297610044841,0.0,17.247467963906224,0.8896062423488473,0.5068334884130338,6.623116204883489
2024-09-27,0.0,74.7307148449919,0.0,17.246946093467237,0.8895793248209417,0.5098439327630228,6.622915803956898
2024-10-03,0.0,74.70810981441797,0.0,17.241729125523623,0.9240961838328888,0.5051524147302535,6.620912461495268
2024-10-04,0.0,74.69794201166219,0.0,17.239382519494473,0.9406049058882071,0.5020592102168565,6.620011352738279
2024-10-07,52.34594638027882,35.80233404965665,0.0,8.262746136652478,0.35877713488096286,0.057259381122416284,3.172936917408674
2024-10-08,52.343290682682266,35.80051766884664,0.0,8.26232693790695,0.3587589328301702,0.06232983479473663,3.1727759429392397
2024-10-09,52.343290682682266,35.80051766884664,0.0,8.26232693790695,0.3573094017884321,0.0637793658364747,3.1727759429392397
2024-10-10,52.343290682682266,35.80051766884664,0.0,8.26232693790695,0.3573094017884321,0.06450413135734373,3.1720511774183704
2024-10-14,52.342911319308406,35.80025820091882,0.0,8.262267055844088,0.3573068121518539,0.0652284241250849,3.172028187651754
2024-10-15,52.342531961433444,35.79999873675201,0.0,8.262207174649221,0.3565794675374927,0.06667746140944986,3.1720051982183772
2024-10-16,52.34139392080086,35.79922036681685,0.0,8.262027536272413,0.35657171472333565,0.06885022946893676,3.171936231917606
2024-10-17,52.33835938770287,35.79714487912063,0.0,8.261548538788063,0.363073317362528,0.06884623782323386,3.1710276392026815
2024-10-30,52.331532974548466,35.79247591158799,0.0,8.260470997491762,0.3630259622581906,0.0818801072558394,3.170614046857746
2024-11-01,52.32887873920102,35.79066053089231,0.0,8.260052029560539,0.36300754972016047,0.08187595432810006,3.175525196297872
2024-11-04,52.32887873920102,35.79066053089231,0.0,8.260052029560539,0.36155841778514985,0.08332508626311068,3.175525196297872
2024-11-05,52.32887873920102,35.79066053089231,0.0,8.260052029560539,0.36010928585013924,0.08477421819812131,3.175525196297872
2024-11-13,52.32774129218611,35.789882566965645,0.0,8.259872484885584,0.37096971160187886,0.0847723755027731,3.1667615688580084
2024-11-14,52.32774129218611,35.789882566965645,0.0,8.259872484885584,0.41081997359036193,0.12824538858111828,3.0834382937911804
2024-11-18,52.32622477308352,35.78884533433812,0.0,8.259633104126946,0.4108080675473665,0.12824167187986574,3.0862470490241862
2024-11-28,52.32622477308352,35.78884533433812,0.0,8.259633104126946,0.4108080675473665,0.1427322562730709,3.0717564646309814
2024-12-02,52.325087441440346,35.78806744932066,0.0,8.259453577663281,0.41079913846798954,0.1572194233642923,3.0593729697434444
2024-12-06,52.325087441440346,35.78806744932066,0.0,8.259453577663281,0.41079913846798954,0.22242563581952873,2.994166757288208
2024-12-16,52.32470834187936,35.78780816182929,0.0,8.259393737242972,0.4107961621944531,0.22314853255007328,2.994145064303854
2025-01-03,52.323571076155005,35.787030321897404,0.0,8.259214221184518,0.4107872336325984,0.2260416523692605,2.9933554947612184
2025-01-06,52.323571076155005,35.787030321897404,0.0,8.259214221184518,0.4107872336325984,0.2332865771246855,2.9861105700057933
2025-01-13,52.323571076155005,35.787030321897404,0.0,8.259214221184518,0.4107872336325984,0.24053150188011052,2.9788656452503686
2025-01-16,49.166232867740774,35.787030321897404,0.0,11.41655242959874,0.4107872336325984,0.24053150188011052,2.9788656452503686
2025-01-17,45.67438417014403,33.245389689056395,0.0,10.605734284560505,0.38161259927311886,0.22344864719343113,9.869430609772513
2025-01-20,41.87936609809682,30.483078669990864,20.00506035397793,7.035126262002913,0.34867073140628474,0.20488262447236552,0.043815260052825156
2025-02-14,41.87962454410249,30.4832667872108,20.00518380923582,7.035169677184451,0.3480557629764939,0.20488388884431907,0.04381553044562246
2025-03-05,41.876781813469584,30.481197625482864,20.00382588519876,7.034692139657152,0.35235168524072225,0.20733829464252657,0.04381255630839103
2025-03-06,41.876781813469584,30.481197625482864,20.00382588519876,7.034692139657152,0.3542029200143162,0.2054870598689326,0.04381255630839103
2025-04-22,41.876781813469584,30.481197625482864,20.00382588519876,7.034075061399286,0.3554370765300455,0.20486998161106793,0.04381255630839103
2025-04-23,41.876781813469584,30.481197625482864,20.00382588519876,7.034075061399286,0.3572883113036395,0.2036358250953386,0.04319547805052637
