date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,SHANGHAI COMMERCIAL BANK LTD,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,HANG SENG BANK LTD,THE BANK OF EAST ASIA LTD,UOB KAY HIAN (HONG KONG) LTD
2024-08-05,29.03941977492813,4.010829132377842,1.909998338932482,0.9236793618155869,0.0,1.1674309641822604,0.0,0.0,0.0,0.5595399210352768
2024-08-06,29.05434292710624,3.9621539622278177,1.911361521785985,0.9364415770602841,0.0,1.1759624440709078,0.23252004672605237,0.0,0.0,0.5597346614429202
2024-08-07,29.093132489943073,3.9471589508392864,1.911714488774838,0.9301125138118782,0.6475651169153297,1.1734308187715454,0.2330068977451605,0.0,0.0,0.5591504402199904
2024-08-08,29.120701792082926,3.9809602381343345,1.9113250079595516,0.9234913399520074,0.0,1.1757404400061946,0.23310426794898215,0.0,0.0,0.0
2024-08-09,29.13519223107525,3.9807983114853793,1.9114223781633732,0.9258282248437265,0.6477598573229729,1.1764931116817356,0.23388322957955515,0.0,0.0,0.5596372912390984
2024-08-12,31.45146005320738,3.9607400494981237,1.9114418522041376,0.929021967529076,0.6506809634376218,1.1765583497182963,0.23427271039484168,0.0,0.9010848007591854,0.558955699812347
2024-08-13,31.454040753089473,3.966806018455803,1.9112471117964942,0.9289245973252542,0.0,1.1778241623679775,0.23884910997445832,0.0,0.0,0.5588583296085254
2024-08-14,31.53419016003341,3.9644657256069507,1.911344482000316,0.9291193377328975,0.6504862230299786,1.1781162729794423,0.237875407936242,1.9354933636203224,0.0,0.0
2024-08-15,31.521313924280044,3.96382210855969,1.9139152501216148,0.9299956695672922,0.0,1.179624634806843,0.0,0.0,0.0,0.0
2024-08-16,31.514379705214886,3.95743919958857,1.914888952159831,0.9289245973252542,0.0,1.184395774794103,0.23641485487891756,0.0,0.0,0.0
2024-08-19,31.519744511334842,3.9512997161270054,1.9141099905292578,0.0,0.6524336271064112,1.1932019360277313,0.23738855691713387,0.0,0.0,0.0
2024-08-20,31.529660206041015,3.9399416765916198,1.9146942117521877,0.9292167079367192,0.0,1.1888981730188153,0.2384596291591718,0.0,0.9015716517782935,0.0
2024-08-21,31.532653366106494,3.969431995482669,0.0,0.9350589201660171,0.0,1.188411321999707,0.0,0.0,0.9012795411668286,0.0
2024-08-22,31.57406783489795,3.928231741139623,1.913425477996392,0.9357405115927685,0.6534073291446275,1.1898446113999614,0.0,0.0,0.0,0.5627531377613906
2024-08-23,31.584389076503044,3.925344227745292,1.9150807714613596,0.9352536605736603,0.6541862907752005,1.1896235810372864,0.237875407936242,0.0,0.9026427240203314,0.0
2024-08-26,31.59577165332979,3.9231279845361082,1.9162492139072191,0.936908954038628,0.0,1.1902730402967767,0.23115686387254952,0.0,0.0,0.5724901581435536
2024-08-27,31.566167508670475,3.8810243294420053,1.9262783449008472,0.9626146878475383,0.6539915503675573,1.2076438846585555,0.21762240554134296,0.0,0.9040059068738343,0.5786244809843163
2024-08-28,31.13007411626148,3.913312386399461,1.919170320021868,0.9622252070322518,0.6531152185331626,1.257205318403765,0.0,0.0,0.9050769791158721,0.6558390526148689
2024-08-29,30.86129486618531,3.955086930204647,1.9177097669645438,0.9451854213634665,0.6529204781255193,1.3907653979903918,0.21538289085344547,0.0,0.9060506811540884,0.7804729135065552
2024-08-30,30.59134600522084,4.130351349679505,1.9178071371683652,0.9374931752615577,0.0,1.2975347910140345,0.2142144484075859,0.0,0.9053690897273372,0.9393229561317739
2024-09-02,30.69563991212561,4.16453754139026,1.916961087467359,0.8901712562042456,0.652238886698768,1.1490795044977942,0.21294863575790474,0.0,0.0,0.936401850017125
2024-09-03,30.59916054829874,3.9880417783178745,2.0815748619375953,0.8895870349813157,0.6518494058834814,1.3163190612544882,0.213143376165548,0.0,0.9052717195235155,0.9362071096094817
2024-09-04,30.71787877982745,3.8705619010413708,2.080787039618474,0.8880291117201699,0.6510704442529084,1.13663101604981,0.21285126555408312,0.0,0.0,0.9348439267559788
2024-09-05,30.602589342656124,3.8197098252445056,2.0823449628796205,0.8896844051851375,0.6504862230299786,0.0,0.0,0.0,0.9051743493196938,1.0224771101954457
2024-09-09,30.61656595908288,3.7713133286178175,2.082354699900003,0.889781775388959,0.6505835932338002,1.1508037360670675,0.21275389535026146,0.0,0.0,1.0438985550362043
2024-09-10,30.648005142603417,3.826289129916733,2.0809915170465,0.8914370688539268,0.650388852826157,1.13663101604981,0.21265652514643985,0.0,0.0,1.056069830513908
