date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA MERCHANTS BANK CO LTD,HANG SENG BANK LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),STANDARD CHARTERED BANK (HONG KONG) LTD
2024-06-26,12.201921180261067,3.4200752236140524,0.0,2.0058535007212765,0.0,0.0,0.0,0.0,1.5295642639387084
2024-06-27,12.197379343130786,3.422676718932347,0.0,2.00604034845132,0.0,5.310269979438554,0.0,0.0,1.526977141522725
2024-06-28,12.200067075862945,3.42638492772859,0.0,2.0066152645437607,0.0,5.310040013001578,0.0,3.962149234274158,1.524878697785316
2024-07-02,12.19601391741124,3.4304812048872306,0.0,2.009949777879917,0.0,0.0,0.0,3.9619192678371813,1.5231539495079935
2024-07-03,12.189776077808256,3.433442022763301,0.0,2.0115020513295074,0.0,0.0,0.0,0.0,0.0
2024-07-04,12.188942449474217,3.4333845311540565,0.0,2.0109558810416885,0.0,0.0,0.0,0.0,1.522004117323112
2024-07-05,12.206562190417296,0.0,0.0,2.0110133726509325,0.0,5.309766927857669,0.0,0.0,0.0
2024-07-08,12.20661968202654,3.433830091125698,64.34718181548632,0.0,0.0,5.309536961420693,0.0,0.0,0.0
2024-07-09,12.206159749152587,3.435253008454489,0.0,2.010539066874669,0.0,0.0,0.0,0.0,0.0
2024-07-10,12.196449416351262,3.436489078053237,0.0,2.01224944224968,0.0,5.309824419466913,0.0,0.0,0.0
2024-07-11,12.196665009885928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-12,12.197455519513035,0.0,0.0,0.0,0.0,5.309881911076157,0.0,0.0,0.0
2024-07-15,12.198849691037204,3.4358710432538633,0.0,2.01196198420346,0.0,5.309594453029937,0.0,3.9618042846186934,1.521112997379829
2024-07-16,12.191890331738207,0.0,0.0,0.0,0.0,0.0,0.0,3.9620342510556696,0.0
2024-07-17,12.231102253856694,3.4466219741825057,0.0,2.009087403741256,0.0,0.0,0.0,0.0,1.5191295368609081
2024-07-18,12.275027798033884,3.462590268650049,0.0,2.0037838027884898,0.0,0.0,0.0,3.961746793009449,0.0
2024-07-19,12.274999052229262,3.4683825482813893,0.0,0.0,0.0,5.309680690443803,0.0,0.0,0.0
2024-07-22,12.29104027480313,3.480010226251004,0.0,0.0,0.0,0.0,0.0,0.0,1.5185546207684673
2024-07-23,12.288049273832208,0.0,0.0,0.0,0.0,0.0,0.0,3.966231138530487,0.0
2024-07-24,12.284969160866957,3.481979313867614,0.0,2.005982856842076,0.0,0.0,0.0,3.966877919134483,0.0
2024-07-25,12.282064397309899,3.4814475164821066,0.0,2.006270314888296,0.0,0.0,0.0,0.0,0.0
2024-07-26,12.302582060308536,0.0,0.0,2.004646176927151,0.0,0.0,0.0,3.9669354107437274,0.0
2024-07-29,12.294327702511316,3.4812319229474413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30,11.259995441955985,3.476833814840269,0.0,2.004444956294797,0.0,5.309709436248425,0.0,0.0,0.0
2024-07-31,11.406078746464726,3.470840314576574,0.0,2.004056887932399,0.0,5.307610992511016,0.0,0.0,0.0
2024-08-01,11.402689616099789,0.0,0.0,2.00448807500173,0.0,0.0,0.0,3.9681283616355416,1.5184108917453571
2024-08-02,11.395018769390592,3.4719757738591444,0.0,0.0,0.0,0.0,0.0,3.9781462745463223,0.0
2024-08-05,11.395241578122217,3.472263231905365,0.0,2.0057528904050996,0.0,5.307323534464795,0.0,0.0,0.0
2024-08-06,12.282889718106404,3.4726081815608296,0.0,2.00463180402484,0.0,0.0,0.0,0.0,0.0
2024-08-07,12.28071940985744,3.4724357067330973,0.0,2.0052067201172807,0.0,5.307610992511016,0.0,3.979626683484357,1.5184971291592233
2024-08-08,12.285606196643185,3.470998416501995,0.0,2.0049192620710605,0.0,0.0,0.0,3.9796123105820467,1.5184108917453571
2024-08-09,12.283867075463553,3.4747497440051713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-12,12.27394977286895,3.497027742587252,0.0,2.0050629910941704,0.0,0.0,0.0,0.0,0.0
2024-08-13,12.272483736833225,3.4977176418981806,0.0,0.0,0.0,0.0,0.0,3.979511700265869,0.0
2024-08-14,12.271822583326918,0.0,0.0,2.002447122873565,0.0,0.0,0.0,3.9796123105820467,0.0
2024-08-15,12.271808210424606,3.4984650328183533,0.0,2.002274648045833,0.0,5.307323534464795,0.0,3.9794398357543144,0.0
2024-08-16,12.263331072641567,3.4996723566124794,0.0,2.0022171564365885,0.0,0.0,0.0,0.0,0.0
2024-08-19,12.262727410744505,3.4986518805483966,0.0,1.997474098673952,0.0,0.0,0.0,3.9794973273635583,0.0
2024-08-20,12.256705164676188,3.4982206934790665,0.0,1.9965111142191139,0.0,5.307309161562484,0.0,0.0,0.0
2024-08-21,12.254189906771758,3.4975164212658263,0.0,1.9965686058283578,0.0,5.307337907367106,0.0,3.97542979600954,0.0
2024-08-22,12.255425976370507,3.4953748588214846,0.0,1.99659735163298,0.0,0.0,0.0,3.9754441689118507,0.0
2024-08-23,12.246701624667718,3.4914654293928873,0.0,1.9960511813451611,0.0,0.0,0.0,0.0,0.0
2024-08-26,12.24450257061413,3.4911779713466666,0.0,1.995964943931295,0.0,5.307452890585594,0.0,3.961876149130248,1.518267162722247
2024-08-27,12.018702838017782,0.0,0.0,1.9982933541056804,0.0,5.30512448041121,0.0,3.9561413611081515,0.0
2024-08-28,12.020025145030395,3.4894532230693445,0.0,0.0,0.0,5.3052969552389415,0.0,3.953712340617589,0.0
2024-08-29,12.02062880692746,3.488461492809884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-30,11.133684939156513,3.489266375339301,64.32506191882966,1.9985520663472787,0.0,5.3053544468481855,0.0,0.0,1.5184396375499791
2024-09-02,12.037630628054382,3.4895107146785884,64.2592340262452,2.0005355268661993,0.0,5.305641904894406,0.0,0.0,0.0
2024-09-03,12.058309238813097,3.4969558780756964,64.1723785775797,2.001742850660325,0.0,5.305742515210583,0.0,0.0,0.0
2024-09-04,12.058996867205462,3.4984075412091094,64.16355361556074,2.0018865796834353,0.0,0.0,0.0,0.0,0.0
2024-09-05,12.078594319506536,0.0,64.07491592700867,2.0055660426750563,0.0,0.0,0.0,3.9545172231470063,0.0
2024-09-09,12.0842859888217,3.497832625116669,63.95684253452365,2.007463265780111,2.7689108844133083,5.306159329377603,0.0,3.9550921392394467,0.0
2024-09-10,12.103874386194319,3.604019627390482,63.88256337538031,2.009590455322142,0.0,5.306188075182225,0.0,3.9545172231470063,0.0
2024-09-11,12.096449344860446,3.6075553613589926,0.0,2.0166762961614744,0.0,5.3080565524826575,0.0,3.955667055331888,0.0
2024-09-12,12.086120977259748,3.5901066579534144,0.03552981451284051,2.017811755444045,0.0,5.309551334323003,0.0,3.9549484102163373,0.0
2024-09-13,12.088133183583292,3.5849180402191365,63.9215570593501,2.017955484467155,0.0,5.309666317541492,0.0,0.0,0.0
