date,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,EVERBRIGHT SECURITIES INVESTMENT,ICBC (ASIA) SECURITIES LTD,TOTAL_CCASS_PCT
2024-05-20,25.377129103547908,17.236949952624535,2.6527345168903933,2.6105050804503747,0.0,1.9787342755373538,2.2076737044711043,1.510580932411035,2.7351193656069372,56.30942693153964
2024-05-21,25.01503905167135,17.236949952624535,3.0035902712146956,2.6105050804503747,0.0,1.9787342755373538,2.2076737044711043,1.510580932411035,2.7351193656069372,56.298192633987384
2024-05-22,24.864672299818075,17.236949952624535,3.1798823251116355,2.6070483735112187,0.0,1.9787342755373538,2.2076737044711043,1.510580932411035,2.7351193656069372,56.3206612290919
2024-05-23,23.65914575478753,17.236949952624535,3.44864128963099,2.6070483735112187,0.0,1.9787342755373538,2.2076737044711043,1.510580932411035,2.7351193656069372,55.38389364858071
2024-05-24,23.476804463747065,17.236949952624535,3.802953750894448,2.6070483735112187,0.0,1.9787342755373538,2.2085378812058933,1.510580932411035,2.7351193656069372,55.556728995538485
2024-05-27,23.332486949037317,17.236949952624535,4.03455311581788,2.6070483735112187,0.0,1.9787342755373538,2.2094020579406823,1.510580932411035,2.7351193656069372,55.644875022486964
2024-05-28,23.332486949037317,17.236949952624535,4.058750064391969,2.6070483735112187,0.0,1.9787342755373538,2.2094020579406823,1.510580932411035,2.7351193656069372,55.669071971061044
2024-05-29,23.332486949037317,17.236949952624535,4.057021710922391,2.6070483735112187,0.0,1.9787342755373538,2.2094020579406823,1.510580932411035,2.7351193656069372,55.66734361759147
2024-05-30,23.332486949037317,17.235221599154958,4.057021710922391,2.6070483735112187,0.0,1.9787342755373538,2.2094020579406823,1.510580932411035,2.7351193656069372,55.66561526412189
2024-06-03,23.332486949037317,17.235221599154958,4.055293357452813,2.6070483735112187,0.0,1.9787342755373538,2.2076737044711043,1.510580932411035,2.7351193656069372,55.66215855718274
2024-06-04,23.332486949037317,17.235221599154958,4.055293357452813,2.604455843306852,0.0,1.9787342755373538,2.2076737044711043,1.510580932411035,2.7351193656069372,55.65956602697837
2024-06-06,23.342857069854784,17.235221599154958,5.024035477151195,2.604455843306852,0.0,2.108360785755692,1.7591659791156538,1.510580932411035,2.739440249280882,56.32411793603105
2024-06-07,23.342857069854784,17.235221599154958,5.024035477151195,2.604455843306852,0.0,2.108360785755692,1.7591659791156538,1.510580932411035,1.0105106618798458,54.59518834863002
2024-06-13,23.342857069854784,17.235221599154958,5.004159412251049,2.639887089433198,2.192348970374181,2.108360785755692,1.7591659791156538,1.510580932411035,1.0105106618798458,56.8030925002304
2024-06-14,23.342857069854784,17.235221599154958,5.004159412251049,2.639887089433198,2.1975340307829145,2.108360785755692,1.7591659791156538,1.510580932411035,1.0105106618798458,56.808277560639134
