date,GET NICE SECURITIES LTD,FUTURE GROWTH FINANCIAL SERVICES LTD,CS WEALTH SECURITIES LTD,HEAD & SHOULDERS SECURITIES LTD,GREAT BAY SECURITIES LTD,CNCB (HONG KONG) CAPITAL LTD,MONMONKEY GROUP SECURITIES LTD,WINBULL SECURITIES INTERNATIONAL (HONG,ADVENT SECURITIES (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD
2025-04-15,44.48318287422188,34.54555445988893,5.586882122893089,3.6635292609135015,3.45715044588204,2.8453410593094857,2.2616187304039346,1.57653875861311,0.4176423357441391,1.1625599521298844
2025-04-16,44.48155327950178,34.54428891975638,5.586677453329873,3.6633950513638514,3.459466060171264,2.8452368232259246,2.2615358783752844,1.577702135454032,0.4176270358554791,1.162517362966129
2025-04-17,43.83493232490064,34.0421243272352,5.505464850765801,3.6101408857480664,3.3839053902411873,2.8038760879309983,2.2286603068018063,1.5583774823479153,1.8869003029509894,1.1456180410773864
2025-04-22,43.806465772534445,34.02001725729301,5.501889583389706,3.6077964481243967,3.4334196197983844,2.8116760319049465,2.2272130073087943,1.5609732632218223,1.885674943553018,1.1448740728714752
2025-04-23,43.7727754762384,33.99385343783891,5.497658237925431,3.6050217953609374,3.4572159017511392,2.833547131153697,2.225500121669486,1.5862095899588127,1.8842247250419835,1.1439935830612042
2025-04-24,43.77119751502789,33.99262799619083,5.4974600532923175,3.6048918382244706,3.457091272857267,2.833444984844434,2.22541989479724,1.5897573006569916,1.8841568007786567,1.1439523433298988
2025-04-25,43.77330148859147,33.99426193802292,5.497724302645216,3.6050651164886665,3.451249004851817,2.833581181560092,2.22552686524567,1.591035404743665,1.8842473675514098,1.1440073302990703
2025-04-28,43.77382751358675,33.99467044802485,5.497790368952806,3.6051084386575774,3.44768537016953,2.8336152327848563,2.2255536094646113,1.5934579298866496,1.8842700106050274,1.144021077867338
2025-04-29,43.8017249413045,34.01633553685717,5.501294156904124,3.607406004527294,3.4510850776644455,2.8354211195584536,2.2269719734615165,1.589663579328361,1.825347438290811,1.144750172103328
2025-04-30,43.97835279629837,34.153504390108445,5.523477798939372,3.6219526550422105,3.468623325978757,2.8468547868631777,2.235952105712725,1.5984884384252958,1.4234273934315889,1.1493663092000614
2025-05-02,43.97888376108104,34.15391673633979,5.5235444856614215,3.621996384040277,3.4686652037825714,2.8468891578556574,2.235979101080864,1.5973004053617619,1.4234445789278287,1.149380185868781
