date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,UBS SECURITIES HONG KONG LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIBANK N.A.,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CHINA INDUSTRIAL SECURITIES,CMB INTERNATIONAL SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD
2024-05-22,12.387946554559603,3.6121294256310534,3.0358478763113834,0.0,2.4208491852062592,1.4088695639822901,4.0704114869690295,0.0,0.0,25.98324275515032
2024-05-23,12.39945940209981,0.0,3.0271014151517317,0.0,2.4126268927797625,1.4209517959704527,4.069299625129628,0.0,0.45359111623754206,0.0
2024-05-24,12.415355283135057,3.63762812381466,2.8652884554575038,0.0,2.4328183037832933,1.4213224165835865,4.0692255010070015,0.0,0.0,25.972643005614692
2024-05-27,12.417801379181741,3.6415567023138786,2.859507144513229,0.0,2.3975055717639027,1.4236202643850162,4.070040866355897,31.75124419433836,0.0,25.972865377982572
2024-05-28,12.512952328736102,3.6575675128012604,2.8479437813834543,0.0,2.588719790573914,0.0,4.0710044799500436,0.0,0.0,25.972939502105202
2024-05-29,12.485748775732079,3.670835730751451,2.845794181827278,0.0,2.5611154855009097,1.4222119060551077,4.073191141567534,0.0,0.0,25.972568881492066
2024-05-30,12.463882159557183,3.692998843416854,2.809250989372283,0.0,2.5936395939029593,1.4285124564783827,4.071100841309459,0.0,0.0,25.97249475736944
2024-05-31,12.466328255603866,3.696186180689805,2.8036916801752754,0.0,2.5928983526766913,1.4322186626097209,4.062798939575261,0.0,0.0,0.0
2024-06-03,12.436372844547325,3.719016410458848,2.8329941688976588,0.0,2.0319607932372525,1.435628372250552,4.071369541253981,0.0,0.0,25.97434786043511
2024-06-04,12.472916037002319,3.71049213635677,2.8425561807165116,0.0,1.9872373737953517,1.43155154550608,4.07062088761545,0.0,0.0,25.973903115699347
2024-06-05,12.46243673916596,3.6872671956347394,2.8043081334411006,0.0,1.98612551195595,1.4332564003264956,4.075509373502686,0.0,0.0,0.0
2024-06-06,12.488306057962701,3.689787415804049,2.8056423676483826,0.0,2.2595779987243105,1.4342941380432703,4.078251966039876,0.0,0.0,25.974644356925612
2024-06-07,12.461680673115168,3.7477005928123406,2.7551638401395557,0.0,2.298937907839123,1.443263156881109,4.101341630238113,0.0,0.0,25.995176738893228
2024-06-11,12.46206055924363,3.7214606534024655,2.7573875638183587,0.0,2.4623626965798695,0.0,4.10119338199286,0.0,0.0,25.99554735950636
2024-06-12,12.47191906755299,3.7147153582434305,0.0,0.0,2.4613249588630945,1.443633777494243,4.103491229794289,0.0,0.0,25.997771083185167
2024-06-13,12.440760362551789,3.7348771195979102,2.758128805044626,0.6073801025953612,2.481620477196855,1.44393027398475,4.106159698208852,0.0,0.0,25.994139001176453
2024-06-14,12.444763065173632,3.7355442367015512,2.7586476739030137,0.0,2.4773212780845024,1.4477847283613416,4.110236524953325,0.0,0.0,25.994583745912216
2024-06-17,12.423940709638302,3.756447239282299,2.7595371633745347,0.0,2.4834577918244043,1.4498602037948911,4.114535724065678,0.0,0.0,25.99495436652535
2024-06-18,12.447656352052123,3.761265307253039,0.0,0.0,2.4584079152033023,1.4482294730971024,4.116462951253974,0.0,0.0,25.995176738893228
2024-06-19,12.46093939482684,3.7637114032997214,2.7587217980256407,0.0,2.434614071840111,1.4503790726532784,4.116833571867107,0.0,0.0,25.995917980119497
2024-06-20,12.427820736837202,3.754149391480869,2.759092418638774,0.0,2.428674246459599,1.4496378314270106,4.117204192480241,0.0,0.0,26.004886998957332
2024-06-21,12.404249265841889,3.751777419556813,2.757832308554119,0.0,2.4477340415450484,1.457791484915955,4.114832220556185,0.0,0.0,26.00711072263614
2024-06-24,12.40951207854839,3.7460698621145516,2.757906432676746,0.0,2.431352610444533,1.4576432366707015,4.114013111939097,0.0,0.0,26.008370832720797
2024-06-25,12.412995912311848,3.757484976999074,0.0,0.0,2.4168242824096873,1.4604599533305185,4.117422821579929,0.0,0.0,26.014745507266696
2024-06-26,12.41466370507095,3.751184426575799,2.7585735497803867,0.0,2.4175655236359552,1.4608305739436522,4.114828477287992,0.0,0.0,26.028087849339514
2024-06-27,12.425856447587591,3.7462922344824316,2.758202929167253,0.6076765990858682,2.417269027145448,0.0,4.1155697185142595,0.0,0.0,26.029644455914674
2024-06-28,12.389177756236434,3.7534081502546015,2.7504071469423508,0.0,2.4322420999160546,0.0,4.116644518292348,0.0,0.4590021771892959,26.037427488790488
2024-07-02,12.416826053976218,3.7544458879713765,2.777833072314254,0.0,2.3774280154127267,1.460608201575772,4.115384408207692,0.0,0.47175152628109945,26.044839901053162
2024-07-03,12.42409021799364,3.7499243164911435,2.7495176574708298,0.6076024749632415,2.389909887608032,0.0,4.115013787594559,0.0,0.0,0.0
2024-07-04,12.48023483049812,3.7352477402110438,0.0,0.6118275499529672,2.3688918814510287,1.4601634568400115,0.0,0.0,0.0,0.0
2024-07-05,12.451166462817053,3.7326533959191077,2.756930069733506,0.6139771495091433,2.437146003620796,0.0,4.114643166981425,0.0,0.4721221468942332,0.0
2024-07-08,12.458246539575931,3.7256116042695644,2.746330320197879,0.0,2.4319931540502124,1.4586809743874762,4.113151419013562,0.0,0.47145502979059234,0.0
2024-07-09,12.468967963858852,3.723906749449149,0.0,0.6035997723413962,2.428535893784716,0.0,0.0,0.0,0.0,0.0
2024-07-10,12.491421494836704,3.724944487165924,2.7464785684431323,0.0,2.4237184188069576,0.0,0.0,0.0,0.0,0.0
2024-07-11,12.487344668092232,3.720719412176198,2.739585025038843,0.0,2.4207531944674576,1.4571984919349408,4.113447915504068,0.0,0.46270838332063413,0.0
2024-07-12,12.512462257099354,3.715011854733937,2.7389179079352024,0.6033773999735159,2.3959507071056225,1.4590515950006098,4.113596163749322,0.0,0.0,0.0
2024-07-15,12.502233128176861,3.7194593020915434,2.7392144044257094,0.6104191916230586,2.401046332853538,1.459941084472131,4.1104088264763705,0.0,0.0,0.0
2024-07-16,12.50178467723497,3.7045510879282353,0.0,0.0,2.394968154798143,1.4643144077071102,4.109658319734775,0.0,0.0,0.0
2024-07-17,12.475095693890221,3.6788300173767476,2.738102542586308,0.6615648362355264,2.407256377723086,1.4673534967348074,4.100907967058685,0.0,0.4539617368506758,0.0
2024-07-18,12.475318066258103,3.677940527905226,2.7398815215293504,0.0,2.457040176892593,1.4655003936691384,4.0997683086732986,0.0,0.0,26.044617528685283
2024-07-19,12.417107836828384,3.660150738474803,2.7480073784723094,0.6924745953708874,2.5056698634728023,1.4658710142822722,4.101443513844663,0.0,0.0,0.0
2024-07-22,12.657461271437539,3.6356156538853437,2.7526504764515884,0.7141188391779026,2.4944092603218957,0.0,0.0,0.0,0.0,0.0
2024-07-23,12.652618742506332,3.6321318201218857,2.754409849564196,0.8077376060555067,2.4772491182511254,0.0,4.100972825665984,0.0,0.0,26.00844495684342
2024-07-24,12.732598670820613,3.6098945833338565,2.754483973686823,0.8475422599060796,2.5077700222391863,1.456827871321807,4.0708784318795175,0.0,0.45359111623754206,25.927130794321858
2024-07-25,12.737602049097921,3.6118959346447785,2.7570783179787597,0.8559924098855307,2.497214747177135,1.4447456393336442,4.071990293718919,0.0,0.0,0.0
2024-07-26,12.718329777214961,3.612192431135286,2.7568559456108797,0.8567336511117983,2.571536299404516,1.443856149862123,4.072731534945186,0.0,0.0,0.0
2024-07-29,12.7178850324792,3.6089309697397085,2.745737327216865,0.8618482155730451,2.560061662849525,1.444226770475257,4.073621024416708,0.0,0.0,0.0
2024-07-30,12.706025172858917,3.606040128957264,2.7467750649336393,0.8659250423175172,2.5399010133568845,1.446153997663553,0.0,0.0,0.0,0.0
2024-07-31,12.710145561336603,3.6113349914652817,2.748954609157665,0.0,2.523274170961759,0.0,4.076676785130657,0.0,0.0,0.0
2024-08-01,12.706882128463374,3.6187518843589865,2.7488804402287284,0.8698602446219885,2.5064563663252826,1.4475473466647528,4.078234332638335,0.0,0.0,25.942580635834666
2024-08-02,12.702302197101508,3.6160076339883154,2.7505121566653434,0.0,2.5086814341933943,1.447918191309438,4.07808599478046,0.0,0.0,0.0
2024-08-05,12.704230589253873,3.618900222216861,2.7492512848734134,0.8733461842820299,2.505121325604416,0.0,4.07734430549109,0.0,0.0,0.0
2024-08-06,12.701708845670012,3.6223861618769018,2.748287088797232,0.0,2.504527974172919,1.4498465834618013,4.073635859044238,0.0,0.0,0.0
2024-08-07,12.742427587656454,3.6042147742873247,2.7482869033749098,0.8676351767538769,2.4934026348323615,1.44636064380176,0.0,0.0,0.0,25.971580687049055
2024-08-08,12.744578486595628,3.610889977891659,2.7477677208723503,0.8654842778147025,2.4933284659034243,1.4476215155936898,4.074359006101374,0.0,0.0,0.0
2024-08-09,12.741092546935587,3.6157851272015042,2.7481385655170354,0.0,2.4930317901876764,0.0,4.07434046386914,0.0,0.0,0.0
2024-08-12,13.32102136777101,3.616526816490875,2.7471002005119165,0.874755393931834,2.4928090608940785,0.0,0.0,0.0,0.0,0.0
2024-08-13,13.327103219943847,3.614079241835952,2.7479160587302243,0.8728270017794706,2.49377325697026,0.0,4.075452997803196,0.0,0.0,0.0
2024-08-14,13.331775862466882,3.6113349914652817,2.7471743694408537,0.0,2.4895456280208483,1.4489565563145568,0.0,0.0,0.0,25.981000141024058
2024-08-15,13.33559556230714,3.615933465059378,2.7463585112225464,0.8762387725105749,2.4880625461178227,0.0,4.074711308513825,0.0,0.0,0.0
2024-08-16,13.326176108332136,3.6057723217950026,0.0,0.9021978976385429,2.470740133173323,0.0,4.075842384680115,0.0,0.0,0.0
2024-08-19,13.323617280283806,3.6063656732264984,2.7599314252180265,0.9031620937147246,2.4594911542282274,1.4502174281064868,4.086949181788438,0.0,0.0,0.0
2024-08-20,13.323172266710184,3.607107362515869,2.7607472834363342,0.9119881962582338,2.45934303887714,1.4503657659643607,4.088951742869739,0.0,0.0,0.0
2024-08-21,13.302108290892061,3.618529377572175,2.7615631416546416,0.9191084134361908,2.459318081032553,1.4545933949137728,4.0984453657736815,0.0,0.45675788975931064,25.982335181744926
2024-08-22,13.29645995610886,3.6290613654812365,2.7625273377308237,0.9245969141775325,2.4780203698154617,1.4556317599188915,4.104823893662268,0.0,0.0,25.984931094257725
2024-08-23,13.293641536809254,3.6447851784158916,2.76185981737039,0.9344613817261603,2.4614655311165317,1.4582276724316883,4.10905152261168,0.0,0.0,25.986933655339023
2024-08-26,13.32264158802364,3.6565780381168826,2.7623048309440126,0.0,2.424306897719069,1.4784757900315033,4.114317516566211,31.77058542175688,0.0,25.997688150034897
2024-08-27,13.333692758435259,3.6714118239042928,2.760673114507397,0.9308271042082449,2.4182992144751676,1.4802558443259926,4.115059205855581,0.0,0.0,26.006736759365218
2024-08-28,13.277357933883444,3.663253241721217,0.0,0.9222976773804838,2.400053657956653,1.4697238564169313,4.1149108679977076,0.0,0.0,26.09803871088673
2024-08-29,13.268012648837377,3.6683708978178733,2.7593380737865303,0.0,2.4400388692359067,1.4697127310775906,4.116394246576448,0.0,0.0,26.12162443028871
2024-08-30,13.272465232148253,3.6702251210413,2.752631645063113,0.0,2.433976523491379,1.4659987219610677,4.117855374476508,0.0,0.0,26.140760013954466
2024-09-02,13.260153189944704,3.6728952024830344,2.728854643993402,0.0,2.4583387174104034,0.0,4.122969322126718,0.0,0.0,0.0
2024-09-03,13.250511229182887,3.6851330757576477,2.7272229275567867,0.0,2.4528502166690616,0.0,4.12667776857357,0.0,0.0,0.0
2024-09-04,13.251994607761628,3.6787545478690613,0.0,0.0,2.444469127699175,0.0,0.0,31.770659590685817,0.0,0.0
2024-09-05,13.257038094929346,3.6782353653665014,0.0,0.0,2.4420812590320464,0.0,0.0,0.0,0.0,0.0
2024-09-09,13.227655480379502,3.688693184346626,2.7423533890599456,0.0,2.447136464890538,0.0,4.120966761045417,0.0,0.0,0.0
2024-09-10,13.24934432942392,3.6894348736359968,2.739905814405023,0.0,2.4224382115545,0.0,4.121708450334788,0.0,0.0,0.0
