date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BNP PARIBAS,HANG SENG SECURITIES LTD
2024-09-30,28.916051116664644,6.5799460852069185,4.222333579251287,1.6469801896229639,1.57989375287567,1.6737381410682821,0.4664494870562558,2.459664338841907,0.511581860330734
2024-10-02,28.431074831990816,7.008214059575736,4.479724247613775,1.5711472030914455,1.3524757274903776,1.6584726229261464,0.46806525388472753,2.6317578235635453,0.5027175839800905
2024-10-03,28.798311287492993,6.986154354125906,4.503403018749351,1.5527678666381823,1.35956367018397,1.6884735193816343,0.4957670487905359,2.532370973648774,0.5054105286942101
2024-10-04,28.691007763590065,0.0,4.581858787564584,1.5479222604638163,1.3555107322862052,1.7365288821724358,0.4988255270877883,2.5446620670305466,0.5069140894929268
2024-10-07,28.63449851800245,0.0,4.401143301751748,1.5678219998408622,1.3666439155439212,1.8025957924921696,0.568208574410901,2.5293079734485224,0.5242835828989982
2024-10-08,28.63417319906038,0.0,4.2313991307781045,1.548742486541325,1.3838675411113113,1.7942813256873258,0.5664132779348212,2.541708523812321,0.5346065376364566
2024-10-09,28.52436832223914,0.0,4.055732871421832,1.5951275615937972,1.365494084254007,1.7987016485677143,0.6326148354902611,2.4027506017376266,0.5580351566492969
2024-10-10,28.515909569700636,7.127489069205284,3.8667269645563294,1.6206768745690066,1.3305395047762931,1.8203144149598238,0.6214615561326158,2.423710912507917,0.584291367611963
2024-10-14,28.343399419108106,7.191895330284643,3.8067805453210375,1.6382932212405388,1.391630358191468,1.787202976609277,0.6167768421843155,2.4713533571092205,0.594569159422445
2024-10-15,28.294856655765255,7.316421582106722,3.70252135053501,1.6449582594079848,1.3920114659715308,1.749052926492583,0.6183252853949343,2.558849610624223,0.5947711302760039
2024-10-16,28.095846948824605,7.155558234599072,3.7910178487882877,1.6350725298279019,1.3378898958897032,1.7243539528964378,0.6227380489967735,2.6072082315806875,0.5910863812118384
2024-10-17,27.770145253246177,7.419435955500525,3.6681815910930267,1.706483419150164,1.362493310000041,1.7627305591587796,0.6487248714692526,2.6433125880660984,0.6055602218056149
2024-10-18,27.55768875904035,7.546263809835946,3.6427281858234357,1.7176967903255558,1.3644319674920535,1.8409597950012457,0.6414108454766593,2.6170262980866004,0.6177090282662007
2024-10-21,27.294955099406472,7.6995279026988115,3.658617907292345,1.7370190590954646,1.3345073571399177,1.8105691357940699,0.6391115646458341,2.6120645465679804,0.627248104334854
2024-10-22,27.026674279781982,7.746518316681346,3.634894489471989,1.7439654891913337,1.3204278350739769,1.80466504252294,0.6485184595218502,2.6380446388147343,0.6294731544109139
2024-10-23,26.865250432610733,7.972927923672552,3.6372502667475675,1.7353642717297397,1.3164671137573973,1.8033652607953408,0.653649524133139,2.643825517184127,0.6271379533409895
2024-10-24,26.73187492782253,8.148684849482521,3.6723585718558605,1.7233963662463774,1.30438350567008,1.853131479823257,0.6673644464093889,2.6545004262411123,0.6264550171790306
2024-10-25,26.14235940993419,8.94553916929605,3.653179719679963,1.6867738044103315,1.4030761966090883,1.8816605872341254,0.6118924058992988,2.654653668303776,0.6090070997509165
2024-10-28,25.93964032967657,9.164188892116798,3.617914757828196,1.714818247448197,1.4053995564471722,1.8652054827439097,0.615791751082097,2.601569921642653,0.6173565450858347
2024-10-29,25.26712196232467,10.185861390407478,3.852771800478462,1.6083517822984041,1.4563675999238446,1.8079269659344441,0.5569706907696546,2.607323163127685,0.5484917519263494
2024-10-30,24.483665418045852,10.911227715203038,3.784229948002788,1.6440847647080012,1.4640629135816992,1.715730584069978,0.6064509027420021,2.4871142049078787,0.5614234786060248
2024-10-31,24.372843042858793,11.400669204628914,3.6568233933909027,1.6683963007147973,1.3214379857783092,1.7716211983567522,0.6741968481964097,2.1800932036355976,0.5762277721813943
2024-11-01,23.820382429457418,11.83220818288018,3.7081814264613517,1.6881832744976213,1.3283114077954452,1.7807637308474937,0.7487250106450334,2.154368970117392,0.5849737610942243
2024-11-04,23.613499002755965,12.11781846355398,3.7155562447874586,1.684703263133365,1.3280853228805387,1.8133463948325705,0.7272675970402567,2.1722279710546077,0.5853703046721359
2024-11-05,23.383513839428424,12.274409116431551,3.66516926983362,1.7081171786911604,1.3223470729457711,1.805817089737569,0.7378420924512349,2.174123229055038,0.5995136922843194
2024-11-06,23.337676695336548,12.388734524540585,3.562458700227316,1.731272823213642,1.3220367335356578,1.7573836977354114,0.7489232824339892,2.1611771056404643,0.606254933108818
2024-11-07,23.032255879582333,12.55050227412978,3.552456802727743,1.7319016532074147,1.3228057637144213,1.7614152241108467,0.7341189888586197,2.1522843845887074,0.6073123826499158
2024-11-08,23.007119147405003,12.47899224891304,3.483868058973981,1.7734373899737865,1.3264503847239082,1.7703594848126323,0.7787081111749112,2.130098410280313,0.6198035053541339
2024-11-11,23.054743887915905,12.520871656780267,3.661062906872953,1.7865599312201335,1.3363832505956266,1.769959328282122,0.7865288317392807,1.7697583357636177,0.6435520596312891
2024-11-12,23.27699999833617,12.399277318495528,3.484445162061035,1.8135259960280665,1.3393054793571522,1.7908439567188041,0.7833889446138789,1.6304349526842246,0.6416794927355951
2024-11-13,23.291121653157262,12.484159674367401,3.4587108056664926,1.82315447064334,1.3321016374037213,1.785182195634176,0.7917934654457294,1.615619137314897,0.6393663218644435
2024-11-14,23.30643603395502,12.54544768735353,3.42208604081057,1.8471311806740867,1.328338196517153,1.7477528879190678,0.8015528435021114,1.6072453596254341,0.6544790382226334
2024-11-15,23.09769094530626,12.654739503465745,3.4207440492221215,1.8524417473449768,1.3294567468145475,1.7495153038208973,0.803267938536977,1.626444721916389,0.6575192056532896
2024-11-18,22.72818938131278,13.0730709479638,3.460728882025082,1.8769304061499066,1.3221647840660251,1.752390244760757,0.8233594798178355,1.5757993217158448,0.6606998486464211
2024-11-19,22.585844457335792,13.207719522863588,3.4728955549768723,1.8994012088982353,1.3217149163919837,1.7700210128386862,0.8326341935012144,1.3998042384420433,0.6638721972697146
2024-11-20,22.252190003196652,13.527994552623593,3.5583711620715004,1.9005090855643243,1.2677446194567434,1.774635788726633,0.8439136552729246,1.297548845787685,0.6637179858783043
2024-11-21,22.119574132707438,13.728227029270219,3.6261696054895833,1.9115186774010668,1.2642740370175622,1.7687757558530495,0.8554876497871285,1.2914651292908608,0.6655464923764527
