date,CHINA INTERNATIONAL CAPITAL CORPORATION,MORGAN STANLEY HONG KONG SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIC SECURITIES BROKERAGE (HK) LTD,CMB INTERNATIONAL SECURITIES LTD
2024-06-18,56.7558150657075,16.965823202993736,0.0,9.771680460722205,5.053145879274991,2.7411349466768957,1.6441449780321484,3.251268871241877,1.8872206018005446,1.9297659935500953
2024-06-19,56.71483639599456,16.946027520525952,0.0,9.730912254044716,5.049454443062046,2.7756586058010084,1.7097207198576012,3.24889374653025,1.8961400579026528,1.9283562562812155
2024-06-20,56.720312447752654,16.944445258449413,0.0,9.726863183708433,5.017757278327255,2.7973294395369495,1.7098858004564141,3.2482418993308637,1.9066222453937118,1.9285424470443113
2024-06-21,56.70425236026387,16.936108203406835,0.0,9.723948190537627,5.016336524149261,2.8290347424202413,1.7089190204385813,3.247322175040981,1.9060823943465712,1.927996389396024
2024-06-24,56.690663143378096,16.93011937909629,0.0,9.720009444684504,5.015134355314274,2.854573589661057,1.7097961921679241,3.2465439518302373,1.9056256002618104,1.9275343436058066
2024-06-25,56.68419003576498,16.926899679443245,0.0,9.718899585253563,5.014561712438425,2.867113331421782,1.7094401415132763,3.2461732518382864,1.9054080102937834,1.9273142520326563
2024-06-26,56.6929427585679,16.92661817075912,0.0,9.72040030060233,5.015336021264562,2.8517931500681843,1.7129210177030876,3.2466745001515402,1.9057022282781992,1.9276118526050827
2024-06-27,56.69412823092146,16.92713296245214,0.0,9.716743175771738,5.0154408939684245,2.8534612748537227,1.7129568355740872,3.2467423894279417,1.9057420772822515,1.9276521597482377
2024-06-28,56.6946043835056,16.925702544170797,0.0,9.713649378616681,5.015255352938249,2.8583418567287895,1.7125717798872317,3.2466222795631494,1.9056715763321372,1.927580848257364
2024-07-02,56.66880950210135,16.917680156627537,0.0,9.709229867510667,5.012973514684894,2.8549513581200867,1.7597020944870863,3.245145133059061,1.9048045348765796,1.926703838532742
2024-07-03,56.66325254932837,16.915860451763272,0.0,9.708277778834203,5.01248194167819,2.864477417555157,1.7592080290749479,3.2448269135939922,1.9051000125341788,1.9265149056376927
2024-07-04,56.65041195969427,16.912187827763645,0.0,9.706077763737941,5.011346051647781,2.8866502390754074,1.7584879350304932,3.2440915959241345,1.9046682934504295,1.9260783336758953
2024-07-05,56.646497193137044,16.911019128984105,0.0,9.705407035541677,5.010999747900799,2.89352186081143,1.7582057097565915,3.243867416419538,1.9045366733707183,1.9259452340780914
2024-07-08,56.62861122859311,16.905765636197355,0.0,9.702342581873335,5.009417539498485,2.924739457793569,1.757007937125761,3.2428431748429145,1.9039353215290253,1.9253371225464493
2024-07-09,56.614422323905075,16.902011563167683,0.0,9.698466013564666,5.0081623763138605,2.950347630088849,1.7562464683087329,3.2420306457745194,1.9034582701547595,1.9248547087218566
2024-07-10,56.606239651260914,16.90005043652166,0.0,9.697064261691523,5.007438529781616,2.9695135062529907,1.750371890355741,3.2415620641942824,1.9031831569366582,1.9245765030046116
2024-07-11,56.568266665996916,16.88919488364857,0.0,9.682534966067035,5.004079405581294,3.010049973149674,1.7812946722233702,3.2393875373355057,1.9019064505802863,1.9232854454173511
2024-07-12,56.56436324394388,16.888510887462495,0.0,9.681866834926673,5.002450314838798,3.0103236898919543,1.7883930780164405,3.239164007475095,1.901775211919116,1.9231527315255459
2024-07-15,56.53794398375974,16.881007804679992,0.0,9.674136792050433,5.00011384309499,3.0450074164826564,1.8009976023497343,3.2376511058567474,1.900886958410122,1.9222544933155818
2024-07-16,56.52280344050985,16.87680787760604,0.0,9.669301129889403,4.99877484074433,3.0477198106924694,1.823446200723861,3.2367840811094313,1.9003779115792854,1.9239847071453253
2024-07-17,56.52445599093754,16.878613132975545,0.0,9.66868496783612,4.9991195452448185,3.043920800494822,1.8235719415567275,3.2370072826088814,1.9005089574534482,1.9241173808921037
2024-07-18,56.52501386786683,16.879500271030707,0.0,9.65111639224719,4.999239802185471,3.060512219130442,1.822813954580945,3.2370851508393077,1.900554675382543,1.924163666736559
2024-07-19,56.52537646872254,16.87784446048466,0.0,9.608679761066142,4.9992718716801265,3.065824123184317,1.8611545213224445,3.2371059163334737,1.900566867201783,1.9241760100045098
2024-07-22,56.45457633769541,16.854461940374893,0.0,9.59312077154107,4.9930100981959455,3.070953639861996,1.9549259469074352,3.233051321081871,1.9242942071576712,1.9216057371837125
