date,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,MORGAN STANLEY HONG KONG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD
2024-11-29,44696639.0,22694826.0,15455110.0,12441439.0,0.0,2775933.0,1885224.0,2809917.0,0.0
2024-12-02,44911239.0,22670998.0,15352138.0,12337239.0,378958.0,2780933.0,1885424.0,2800917.0,0.0
2024-12-03,44820039.0,22658087.0,15343138.0,12337439.0,353358.0,2776333.0,1879224.0,0.0,0.0
2024-12-04,44810439.0,22685159.0,15405284.0,12336239.0,343958.0,2758533.0,1877224.0,2798517.0,0.0
2024-12-05,44955839.0,22318318.0,15617684.0,12322639.0,347358.0,2752933.0,1845224.0,2798317.0,0.0
2024-12-06,45158239.0,22735182.0,15591361.0,12290439.0,344758.0,2749133.0,1861424.0,0.0,0.0
2024-12-09,45429039.0,22717571.0,15481077.0,12276239.0,348558.0,2729933.0,1869024.0,2791917.0,0.0
2024-12-10,45475439.0,22354337.0,15654630.0,12298239.0,339558.0,2682333.0,1863224.0,2793717.0,0.0
2024-12-11,45560039.0,22630444.0,15669970.0,12341639.0,356158.0,2672131.0,1815024.0,2776717.0,0.0
2024-12-12,45459039.0,23139371.0,15577533.0,12398039.0,358558.0,2668331.0,1800224.0,2771717.0,128400.0
2024-12-13,45320439.0,22898542.0,15757933.0,12466439.0,370758.0,2661179.0,1768624.0,2764069.0,0.0
2024-12-16,45478839.0,22796463.0,15710133.0,12458639.0,387558.0,2675979.0,1774424.0,2761869.0,0.0
2024-12-17,45465439.0,22832442.0,15725533.0,12463239.0,391958.0,2686579.0,1783024.0,2762069.0,0.0
2024-12-18,45539239.0,22824027.0,15704533.0,12441839.0,397158.0,0.0,1774024.0,2763269.0,0.0
2024-12-19,45687639.0,22720901.0,15527333.0,12413239.0,395958.0,2690179.0,1777224.0,2765469.0,135000.0
2024-12-20,45782639.0,22671481.0,15490466.0,12408239.0,392558.0,2691779.0,1771446.0,0.0,0.0
2024-12-23,45976839.0,22559972.0,15436991.0,12332839.0,0.0,2697379.0,1762646.0,2765069.0,128400.0
2024-12-27,46042039.0,22669797.0,15222191.0,12322239.0,392656.0,2696779.0,1788646.0,0.0,0.0
