date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA INTERNATIONAL CAPITAL CORPORATION,GOLDMAN SACHS (ASIA) SECURITIES LTD,CITIC SECURITIES BROKERAGE (HK) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),CMB INTERNATIONAL SECURITIES LTD,CHIEF SECURITIES LTD,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,TOTAL_CCASS_PCT
2024-09-04,51.235213947660306,20.810329497123455,2.913387434566865,2.2491998123789214,0.5359532916585155,0.07312982366965727,0.0020463426358225158,0.03807274325069786,0.9925838806179107,0.39501548145038934,79.24493225501254
2024-09-05,51.235213947660306,20.810329497123455,2.913387434566865,2.2491998123789214,0.5377303786843614,0.07312982366965727,0.0020463426358225158,0.036888018566800615,0.9925838806179107,0.3947462258404127,79.24525536174451
2024-09-09,51.235213947660306,20.810329497123455,2.913387434566865,2.2491998123789214,0.5360340683415085,0.07312982366965727,0.0020463426358225158,0.036888018566800615,0.9925838806179107,0.39687334515922823,79.24568617072048
2024-09-10,50.824453469628374,20.814129226802876,2.913919386004938,2.2496104907049532,0.5361319420709437,0.4932586222107396,0.0023968124796219605,0.036221491967320635,0.9967508257951461,0.5205836310022949,79.3874558986672
2024-09-11,50.8278755169978,20.815530657242462,2.914169446894875,2.24976195861334,0.5361680402240331,0.4935611565775382,0.002396973858747184,0.03441946731998766,0.996817937752256,0.5205917499857585,79.3912929054668
2024-09-12,50.8278755169978,20.815530657242462,2.9141155823137797,2.24976195861334,0.5542126748910063,0.4932918336720609,0.002181515534365415,0.02229993657351313,1.0018542760846798,0.5207533437290449,79.40187729565206
2024-09-13,50.8278755169978,20.815530657242462,2.9141155823137797,2.24976195861334,0.5625347526702521,0.4941267346790404,0.0022892446965562994,0.020549337687911253,1.0001306094896256,0.5354853066586484,79.42239970104941
2024-09-16,50.8278755169978,20.815530657242462,2.9141155823137797,2.24976195861334,0.5610804089806752,0.4932918336720609,0.0022892446965562994,0.02049547310681581,1.0010463073682483,0.5354853066586484,79.4209722896504
2024-09-17,50.8278755169978,20.815530657242462,2.9141155823137797,2.24976195861334,0.5610804089806752,0.4932918336720609,0.002181515534365415,0.020468540816268088,1.000884713624962,0.5569234099346344,79.44211413773036
2024-09-19,50.8278755169978,20.815530657242462,2.9141155823137797,2.24976195861334,0.5612150704334138,0.4932918336720609,0.0022892446965562994,0.020468540816268088,1.002231328152348,0.5544187069136963,79.44119843985173
2024-09-20,50.8278755169978,20.815530657242462,2.9141155823137797,2.24976195861334,0.5613227995956047,0.4932918336720609,0.002181515534365415,0.020468540816268088,1.0012079011115345,0.553583805906717,79.43934011180393
2024-09-23,50.8278755169978,20.815530657242462,2.9141155823137797,2.24976195861334,0.561672919372725,0.4938304794830154,0.0019121926288882033,0.020468540816268088,0.9998612865841484,0.5581353630092819,79.44316449706172
2024-09-24,50.8278755169978,20.815530657242462,2.9141155823137797,2.24976195861334,0.5615651902105341,0.4938304794830154,0.0019121926288882033,0.02181515534365415,1.0010463073682483,0.5780921903051432,79.46554523050688
2024-09-25,50.8278755169978,20.815530657242462,2.9141155823137797,2.24976195861334,0.5612689350145093,0.4938304794830154,0.0019121926288882033,0.020468540816268088,1.0023929218956344,0.5900770595988791,79.47723384460458
2024-09-26,50.8278755169978,20.815530657242462,2.9141155823137797,2.24976195861334,0.561484393338891,0.493965140935754,0.002046854081626809,0.020468540816268088,1.0035510103891863,0.5859833514356255,79.47478300616474
