date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CHINA INDUSTRIAL SECURITIES,CMB INTERNATIONAL SECURITIES LTD,CMB WING LUNG BANK LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),HANG SENG SECURITIES LTD,ICBC (ASIA) SECURITIES LTD
2024-11-08,2.993155385605239,2.9152877628917837,0.0,0.0,0.0,1.1749387335855894,2.3460972984409896,0.0,0.0,0.0
2024-11-11,0.0,2.9056549418153748,0.0,0.0,0.7444030065158409,1.1558514770082602,0.0,0.0,0.0,0.0
2024-11-12,0.0,2.9054765562398854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-13,3.001004350926758,0.0,1.4061120793805821,0.0,0.0,1.1515702231965226,0.0,0.0,0.0,0.0
2024-11-14,3.0036801345590938,2.9099361956271124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-15,0.0,2.91029296677809,0.0,0.0,0.0,1.1524621510739679,0.0,0.0,0.0,0.0
2024-11-18,3.0175942094472403,2.9473971664798144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-20,0.0,2.948645865508238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-21,0.0,2.9495377933856832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-22,0.0,2.9498945645366614,0.0,0.0,0.0,0.0,0.0,0.0,1.5417355106773423,0.0
2024-11-25,0.0,2.950251335687639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6580939241707984
2024-11-27,0.0,2.951143263565085,1.4064688505315603,0.0,0.0,0.0,0.0,0.0,1.5461951500645685,0.0
2024-11-28,3.0265134882216933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-29,0.0,2.9475755520553033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-02,3.0354327669961463,2.948110708781771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-03,3.041319490987285,2.9482890943572597,0.0,0.0,0.0,1.1410454742426681,0.0,0.0,0.0,0.0
2024-12-04,3.04417366019511,2.949181022234705,1.405933693805093,0.0,0.0,1.1474673549602743,0.0,0.0,0.0,0.0
2024-12-05,0.0,2.949359407810194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-06,0.0,2.950429721263128,0.0,0.0,0.7461868622707315,1.1447915713279384,0.0,0.0,0.0,0.0
2024-12-09,0.0,2.9506081068386174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-10,0.0,2.9381211165543832,0.0,0.0,0.0,1.1472889693847852,0.0,0.0,0.0,0.0
2024-12-11,0.0,2.9388346588563397,0.0,0.0,0.7481491036011111,0.0,0.0,0.0,0.0,0.0
2024-12-12,3.037216622751037,2.951856805867041,0.0,0.0,0.0,0.0,0.0,0.0,1.561893080707606,1.6589858520482434
2024-12-13,0.0,2.95203519144253,0.0,0.0,0.7488626459030673,1.1615598154239097,0.0,0.0,0.0,0.0
2024-12-16,0.0,0.0,0.0,0.0,0.7499329593560017,0.0,0.0,0.0,1.5674230335477668,0.0
2024-12-17,3.0397140208078834,2.9563164452542674,0.0,0.0,0.0,1.1571001760366835,0.0,33.3607643076258,0.0,0.0
2024-12-18,3.050417155337227,0.0,0.0,0.0,0.0,0.0,0.0,33.36932681524927,0.0,0.0
2024-12-19,3.0459575159500005,2.95774352985818,0.0,0.0,0.0,0.0,0.0,33.38163541995802,0.0,0.0
2024-12-20,3.0484549140068475,2.9570299875562234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-23,0.0,2.96148962694345,0.0,0.0,0.0,1.1565650193102164,0.0,0.0,0.0,0.0
2024-12-27,3.0475131273610527,0.0,0.0,0.0,0.0,1.1501431385926102,0.0,0.0,0.0,0.0
2024-12-30,3.051080838870834,2.961668012518939,1.4041498380502024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-02,0.0,2.964700567302253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6580939241707984
2025-01-03,3.0494753686914327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-07,3.056610791710995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-08,3.0575027195884403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
