date,ABN AMRO CLEARING HONG KONG LTD,BNP PARIBAS,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CHINA MERCHANTS SECURITIES (HK) CO LTD,BOOM SECURITIES (H.K.) LTD,HANG SENG BANK LTD,INTERACTIVE BROKERS HONG KONG LTD,UBS SECURITIES HONG KONG LTD,IFAST SECURITIES (HK) LTD,LONG BRIDGE HK LTD
2025-03-19,1.338432122370937,4.588910133843212,0.0,17.01720841300191,53.53728489483748,19.120458891013385,4.2065009560229445,0.0,0.0,0.19120458891013384
2025-03-21,68.60630144762986,12.82997445359069,0.0,7.067839909168322,7.947771785410161,2.8384899233607723,0.6244677831393698,0.05676979846721544,0.0,0.02838489923360772
2025-03-24,62.95770650014193,18.478569401078627,0.0,7.067839909168322,7.947771785410161,2.8384899233607723,0.6244677831393698,0.05676979846721544,0.0,0.02838489923360772
2025-03-25,62.92198581560283,18.52482269503546,0.0,7.0638297872340425,7.9432624113475185,2.8368794326241136,0.624113475177305,0.05673758865248227,0.0,0.028368794326241134
2025-03-26,58.111999999999995,20.896,0.0,7.968,8.959999999999999,3.2,0.7040000000000001,0.064,0.064,0.032
2025-03-28,60.672000000000004,20.896,0.0,5.408,8.959999999999999,3.2,0.7040000000000001,0.064,0.064,0.032
2025-03-31,48.074766355140184,24.411214953271028,0.0,12.299065420560748,10.46728971962617,3.7383177570093453,0.822429906542056,0.07476635514018691,0.07476635514018691,0.037383177570093455
2025-04-01,26.766355140186914,24.411214953271028,21.30841121495327,12.299065420560748,10.46728971962617,3.7383177570093453,0.822429906542056,0.07476635514018691,0.07476635514018691,0.037383177570093455
2025-04-02,29.757009345794394,24.411214953271028,21.30841121495327,9.30841121495327,10.46728971962617,3.7383177570093453,0.822429906542056,0.07476635514018691,0.07476635514018691,0.037383177570093455
2025-04-03,26.766355140186914,24.411214953271028,21.30841121495327,12.299065420560748,10.46728971962617,3.7383177570093453,0.822429906542056,0.07476635514018691,0.07476635514018691,0.037383177570093455
2025-04-08,20.785046728971963,24.411214953271028,21.30841121495327,18.2803738317757,10.46728971962617,3.7383177570093453,0.822429906542056,0.07476635514018691,0.07476635514018691,0.037383177570093455
2025-04-09,24.921559838637382,9.367996414164052,25.549081129538326,21.918422232182877,12.550425818018827,4.482294935006723,0.9861048857014791,0.08964589870013448,0.08964589870013448,0.04482294935006724
2025-04-11,22.311827956989248,24.462365591397848,21.889400921658986,15.706605222734254,10.75268817204301,3.840245775729647,0.8448540706605223,0.07680491551459294,0.07680491551459294,0.03840245775729647
2025-04-14,22.933333333333334,24.266666666666666,21.714285714285715,15.58095238095238,10.666666666666668,3.8095238095238098,0.8380952380952381,0.0761904761904762,0.0761904761904762,0.0380952380952381
2025-04-22,25.98095238095238,24.266666666666666,21.714285714285715,12.533333333333333,10.666666666666668,3.8095238095238098,0.8380952380952381,0.0761904761904762,0.0761904761904762,0.0380952380952381
