date,THE HONGKONG AND SHANGHAI BANKING,GAOYU SECURITIES LIMITED,BANK OF CHINA (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,ONE CHINA SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB WING LUNG BANK LTD,FUTU SECURITIES INTERNATIONAL,LONG BRIDGE HK LTD,INTERACTIVE BROKERS HONG KONG LTD,TOTAL_CCASS_PCT
2024-05-31,22.072669826224327,14.49550891446626,1.1639810426540285,1.1773414579101784,1.0616113744075828,0.0,0.0,0.22730760550665766,0.0,0.2513202437373053,40.44974046490634
2024-06-03,22.07447528774543,14.49550891446626,1.1639810426540285,1.1773414579101784,1.0616113744075828,0.0,0.0,0.22730760550665766,0.0,0.2513202437373053,40.45154592642744
2024-06-04,22.07447528774543,14.49550891446626,1.1666892349356803,1.1773414579101784,1.0616113744075828,0.0,0.0,0.22586323628977656,0.0,0.24933423606409388,40.450823741819
2024-06-17,22.07808621078763,14.49550891446626,1.1648837734145792,1.1773414579101784,1.0616113744075828,0.0,0.0,0.22586323628977656,0.0,0.24662604378244188,40.44992101105846
2024-06-18,22.080794403069284,14.49550891446626,1.1648837734145792,1.1773414579101784,1.0616113744075828,0.0,0.0,0.22586323628977656,0.0,0.24662604378244188,40.4526292033401
2024-06-19,22.080794403069284,14.490092529902956,1.1648837734145792,1.1773414579101784,1.0616113744075828,0.0,0.0,0.22676596705032723,0.0,0.24843150530354324,40.44992101105846
2024-06-20,22.083502595350936,14.490092529902956,1.1648837734145792,1.1773414579101784,1.0616113744075828,0.0,0.0,0.22676596705032723,0.0,0.24843150530354324,40.4526292033401
2024-06-27,22.083502595350936,14.490092529902956,1.1648837734145792,1.1773414579101784,1.0616113744075828,0.0,0.0,0.22676596705032723,0.0,0.24752877454299252,40.45172647257955
2024-07-08,22.091627172195892,14.490092529902956,1.1648837734145792,1.1773414579101784,1.0616113744075828,0.0,0.0,0.22676596705032723,0.0,0.24752877454299252,40.459851049424515
2024-07-09,22.091627172195892,14.490092529902956,1.1648837734145792,1.1773414579101784,1.0616113744075828,0.0,0.0,0.23272399006996164,0.0,0.24752877454299252,40.465809072444145
2024-07-10,22.091627172195892,14.490092529902956,1.164703227262469,1.1773414579101784,1.0616113744075828,0.0,0.0,0.23200180546152108,0.0,0.24843150530354324,40.465809072444145
2024-07-11,22.096140825998646,14.490092529902956,1.164703227262469,1.1773414579101784,1.0616113744075828,0.0,0.0,0.23507109004739335,0.0,0.25059805912886485,40.475558564658094
2024-07-15,22.096140825998646,14.490092529902956,1.164703227262469,1.1773414579101784,1.0616113744075828,0.0,0.0,0.23705709772060482,0.0,0.25059805912886485,40.477544572331304
2024-07-18,22.096140825998646,14.490092529902956,1.163439404197698,1.1773414579101784,1.0616113744075828,0.0,0.0,0.23705709772060482,0.0,0.25059805912886485,40.47628074926653
2024-07-19,22.096140825998646,14.488106522229746,1.163439404197698,1.1773414579101784,1.0616113744075828,0.0,0.0,0.2395847438501467,0.0,0.25059805912886485,40.47682238772286
2024-07-22,22.22162040171519,14.488106522229746,1.163439404197698,1.1773414579101784,1.0616113744075828,0.0,0.0,0.23687655156849471,0.0,0.25059805912886485,40.59959377115776
2024-07-23,22.22432859399684,14.488106522229746,1.163439404197698,1.1773414579101784,1.0616113744075828,0.0,0.0,0.23434890543895281,0.0,0.24788986684721281,40.597066125028206
2024-07-30,22.227939517039044,14.488106522229746,1.163439404197698,1.1773414579101784,1.0616113744075828,0.0,0.0,0.23434890543895281,0.0,0.24427894380501017,40.597066125028206
2024-07-31,22.229744978560145,14.488106522229746,1.163439404197698,1.1773414579101784,1.0616113744075828,0.0,0.0,0.23344617467840217,0.0,0.24427894380501017,40.597968855788764
2024-08-01,22.231550440081246,14.488106522229746,1.163439404197698,1.1773414579101784,1.0616113744075828,0.0,0.0,0.2298352516361995,0.0,0.24319566689234937,40.595080117354996
2024-08-02,22.23516136312345,14.488106522229746,1.163439404197698,1.1773414579101784,1.0616113744075828,0.0,0.0,0.22730760550665766,0.0,0.24319566689234937,40.59616339426766
