date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FB SECURITIES (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,EVERBRIGHT SECURITIES INVESTMENT,THE BANK OF EAST ASIA LTD,DBS BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,GOLDMAN SACHS (ASIA) SECURITIES LTD
2024-10-17,41.03861089681512,17.445541286857583,14.191717336976623,4.324041345053761,4.369922703158559,3.8750898349366283,3.684029294413355,4.768264359003403,3.3723141724559236,2.9304687703290386
2024-10-18,41.065877726711946,17.450524173393255,14.200518903283118,4.3219584915319995,4.372632887099856,3.877493128302467,3.686314093873485,4.733672144481398,3.4314281983731223,2.859580252949348
2024-10-21,41.023187076593494,17.434755924094766,14.189578345642694,4.316871706216342,4.369264063575339,3.874505777110622,3.683474033443341,4.8699052780129914,3.3848483255511685,2.8536094697592436
2024-10-22,41.03974314611238,17.41190427742775,14.195854114678388,4.290883301068187,4.370629476550196,3.875085342458383,3.6851031609423948,4.887879161762747,3.267327642974323,2.975590376025254
2024-10-23,41.089852555220915,17.39288393117871,14.212166127109969,4.310857272179894,4.375651630326882,3.879538081953237,3.689564668809335,4.9796691007340605,3.211610212266811,2.8582064202201924
2024-10-24,41.06145959116551,17.377134097798372,14.202345563226121,4.293412711765397,4.37245788271966,3.876857332851877,3.6870151907628816,5.053832771491532,3.219137440194195,2.85634741802445
2024-10-25,41.04278337095227,17.36009623765302,14.195768155482638,4.315295984971955,4.36901534860366,3.875061877916073,3.685307655753393,5.129571221149161,3.8271440325013506,2.1999561150164775
2024-10-28,41.01748537787715,17.31716219954519,14.187774066002781,4.385975783721031,4.366729437351973,3.87303440791633,3.6833794670051185,5.124960512143936,3.1868466717416104,2.856652076694876
2024-10-29,40.99423692680627,17.29909835353412,14.180059806712848,4.3945025503536534,4.364049778470949,3.871160116169967,3.681596955669918,5.185696357302146,3.511797967338965,2.5178011876411666
2024-10-30,40.98046674163231,17.24826603439384,14.17534015145846,4.386924255353523,4.362597259176381,3.8698716490244194,3.680371582247436,5.277573629208844,3.412360544515204,2.606228152989582
