date,EMPEROR SECURITIES LTD,THEIA SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,LONG BRIDGE HK LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,YUET SHEUNG INTERNATIONAL SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CMB INTERNATIONAL SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA)
2024-10-17,53.74888991151055,0.0,11.720565624703855,11.73418988544333,9.224595807035316,7.259709648365444,0.0,2.625098408376584,0.1640686505235365,3.522882064041376
2024-10-18,53.0738645627556,0.0,11.433393531235557,11.617927275715292,10.135228837136722,7.226858823001837,0.0,2.5921301373751207,0.16200813358594504,3.758588699193925
2024-10-21,53.08212030858406,0.0,11.372951218114755,11.619734467549389,10.15236059235239,7.259093375532863,0.0,2.5925333484045936,0.1620333342752871,3.759173355186661
2024-10-22,53.06561138452391,0.0,11.15170907552837,11.61612064593095,10.398008931609766,7.256835744892159,0.0,2.5917270517472,0.1619829407342,3.75800422503344
2024-10-31,53.08212030858406,0.0,11.015181616034923,11.41751686637383,10.401243793799232,7.570197377341414,0.0,2.5925333484045936,0.1620333342752871,3.759173355186661
2024-11-01,53.0738645627556,0.0,11.013468448980786,11.431293905824283,10.399626111148985,7.569020001135353,0.0,2.5921301373751207,0.16200813358594504,3.758588699193925
2024-11-04,52.974995543373396,0.0,10.527237685803815,11.441046656546868,10.38025309499458,8.175872328061534,0.0,2.587301369639726,0.16170633560248288,3.7515869859776028
2024-11-06,52.82738076040984,0.0,10.513384097500639,11.409166189134666,10.444211834829744,8.32337632884406,0.0,2.5800918564302724,0.16125574102689202,3.7411331918238955
2024-11-07,52.82465491117073,0.0,10.915315176787802,11.408577485577386,10.443672922120593,7.925633205719975,0.0,2.5799587258203043,0.16124742036376902,3.7409401524394412
2024-11-08,52.80013492078432,0.0,10.941193672442145,11.418754453198192,10.438825209247128,7.921954308993868,0.0,2.578761168292275,0.16117257301826718,3.7392036940237983
2024-11-11,52.771557019957314,0.0,10.935271787049821,11.412574089590768,10.634209732080286,7.770756747993714,0.0,2.5773654222201374,0.1610853388887586,3.737179862219199
2024-11-12,52.79196664836889,0.0,11.063262437826017,11.40151777871,10.638322558787303,7.20910079359411,0.0,2.578362229468566,0.5788423205156931,3.738625232729421
2024-11-13,52.60073715533672,0.24662616688216488,11.208157365991433,11.067349238837147,10.615201266219845,7.159865907297848,0.0,2.569022571689217,0.8079575987962587,3.7250827289493653
2024-11-14,51.040757821263874,0.7179359341892061,10.6855291038265,10.290415056711954,13.217001121774896,7.037267854917113,0.0,2.492833104823632,0.9036520004985665,3.614608001994266
2024-11-15,51.033124797487595,0.732783330425463,10.609157299170011,10.288876149647317,13.21502455073403,7.066124971959821,0.0,2.4924603075696017,0.9483811470302336,3.6140674459759228
2024-11-18,50.755444280561726,1.4278454654751427,10.224216358250393,10.158525551245026,13.40464297666117,6.9086897782625405,0.0,2.478898377561012,1.0473345645195276,3.5944026474634674
2024-11-19,50.46272905396246,1.4196108393202627,10.66803041319055,10.085152004337699,13.312548521854858,6.86884619650273,0.0,2.464602151597678,1.1448076994171215,3.573673119816634
2024-11-20,49.96766439300575,2.3720913206349983,11.141751979793296,9.422473856966798,13.16730321037668,6.801459373055288,0.0,2.44042316937757,1.1482191011921468,3.5386135955974765
2024-11-21,49.93841538517823,2.546310410848648,11.36937354422507,9.080377068572334,13.130327678930746,6.812112047414056,0.0,2.4389946464067513,1.1475469811343764,3.5365422372897894
2024-11-22,49.799948923129314,3.4732272069464547,10.958420995026085,8.74873827968235,13.093920636271875,6.793223801821742,0.0,2.432231937637573,1.173551909910129,3.5267363095744813
2024-11-25,49.417727629276534,4.822301333494237,10.410909310324021,8.377481445724975,13.138236891329273,6.741084897121824,0.0,2.413564230978097,1.1790261268328004,3.499668134918241
2024-11-26,49.22584988219455,5.495984997836226,10.448622397461174,8.034812713372121,13.101649276337934,6.613934702120498,0.0,2.404192912439294,1.188873395201231,3.486079723036976
2024-11-27,49.09130142898245,5.610434449026566,10.491991943991561,7.9265368754195835,13.108995876090917,6.581471180588856,0.0,2.397621559413062,1.3150954253380647,3.47655126114894
2024-11-28,48.52585675688486,5.759112670047874,11.736265819784803,7.536616580556476,12.958003507607716,6.4345641560411435,0.0,2.3700052140114707,1.2430677347490164,3.4365075603166324
