date,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,ADVENT SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,GAOYU SECURITIES LIMITED,INNOVAX SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,VALUABLE CAPITAL LTD
2025-02-24,90835000.0,46675000.0,0.0,112930000.0,34100000.0,0.0,0.0,0.0,43880100.0,68950000.0
2025-03-04,90625000.0,0.0,0.0,112280000.0,34060000.0,0.0,0.0,0.0,44070100.0,68910000.0
2025-03-05,89705000.0,46385000.0,0.0,111120000.0,33525000.0,0.0,0.0,0.0,45700100.0,68550000.0
2025-03-06,88320000.0,46230000.0,0.0,112145000.0,33460000.0,0.0,0.0,0.0,45185100.0,68080000.0
2025-03-07,88380000.0,46245000.0,0.0,111745000.0,33450000.0,0.0,0.0,0.0,0.0,68335000.0
2025-03-18,86270000.0,42615000.0,0.0,111495000.0,33370000.0,0.0,0.0,56505000.0,45495100.0,64035000.0
2025-03-19,86470000.0,44165000.0,0.0,111765000.0,33360000.0,0.0,0.0,57360000.0,45740100.0,63990000.0
2025-03-25,87445000.0,44435000.0,0.0,110870000.0,33335000.0,0.0,0.0,56385000.0,46020100.0,0.0
2025-03-26,87045000.0,0.0,0.0,111270000.0,33315000.0,0.0,0.0,56395000.0,46015100.0,64745000.0
2025-03-27,0.0,0.0,0.0,111770000.0,33310000.0,0.0,0.0,56400000.0,46010100.0,64835000.0
2025-04-07,87470000.0,0.0,0.0,110870000.0,32850000.0,0.0,0.0,0.0,46340100.0,65510000.0
2025-04-09,88225000.0,43835000.0,0.0,110770000.0,0.0,0.0,0.0,0.0,46840100.0,66010000.0
2025-04-10,89615000.0,42835000.0,0.0,110370000.0,32845000.0,0.0,0.0,0.0,46835100.0,0.0
2025-04-14,90425000.0,43060000.0,0.0,0.0,32870000.0,0.0,0.0,0.0,46590100.0,65890000.0
