date,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,EMPEROR SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,PLANETREE SECURITIES LTD,VALUABLE CAPITAL LTD
2024-09-26,19.562829525483306,23.879613356766257,16.492750439367313,14.586994727592268,9.342047451669595,6.420254833040421,5.975395430579964,3.7401142355008785
2024-09-27,19.57512213866169,23.834879508151726,16.484602294560027,14.579788110007136,9.39781522753472,6.417082944502388,5.972443322171598,3.738266454410715
2024-09-30,2.9658333333333333,3.618333333333333,2.5025,2.2133333333333334,1.4916666666666667,0.9741666666666666,0.9066666666666667,0.5608333333333333
2024-10-02,19.466024729182624,23.75533428165007,16.42958748221906,14.531130320604005,9.79319400372032,6.373782689572163,5.9525112156691105,3.698435277382646
2024-10-03,19.40568051223116,23.761834400481586,16.434083073386965,14.535106441197396,9.752093252339519,6.457615060471735,5.954139987960379,3.6994472719312643
2024-10-04,19.560463590640715,23.671550404548437,16.417012901815,14.520008746993222,9.741963699978132,6.418106275967636,5.947955390334572,3.7229389897222833
2024-10-07,19.508196721311474,23.693989071038253,16.40983606557377,14.513661202185792,9.737704918032787,6.453551912568306,5.945355191256831,3.7377049180327866
2024-10-08,18.62328048174134,23.954477653168333,16.590243632948457,14.67322247389647,9.844759958013368,6.524501408761947,6.010717639909397,3.7787967515606877
2024-10-09,18.665489265412,23.93068050113141,16.5737623489155,14.642088415475468,9.890170539212981,6.518019758264805,6.004746398807882,3.7750427727799547
2024-10-10,18.676527402174514,23.93068050113141,16.5737623489155,14.642088415475468,9.890170539212981,6.518019758264805,6.004746398807882,3.76400463601744
2024-10-14,18.749655134359653,23.92539866468024,16.57010428736964,14.638856701429123,9.832809137560007,6.516581139987861,6.003421067152238,3.763173867461237
2024-10-15,18.796577422025944,23.902842947833285,16.57742202594535,14.64532155672095,9.859232680099366,6.519459011868617,6.00607231576042,3.693072039746067
2024-10-16,18.86064082060332,23.879115424915902,16.56096619423151,14.63078365411129,9.849445761870623,6.512987371091381,6.00011029614515,3.7059504770308274
2024-10-17,18.869589192169837,23.87648194099807,16.559139784946236,14.629170113041083,9.84835952577888,6.512269092914254,5.999448580093741,3.705541770057899
2024-10-18,19.270233196159122,23.758573388203015,16.477366255144034,14.556927297668038,9.799725651577504,6.480109739368999,5.969821673525377,3.6872427983539096
2024-10-21,19.296802150183755,23.750754209862322,16.471943393121606,14.55213647084636,9.796500466238824,6.4779770720201855,5.967856946958477,3.6860292907684715
2024-10-22,19.314505072662463,23.745544282972304,16.468330134357007,14.5489443378119,9.794351521798738,6.476556073485056,5.966547847545929,3.685220729366603
2024-10-23,19.313445931125248,23.744242158368063,16.46742706733933,14.548146523360387,9.793814432989691,6.481684579951744,5.966220662425971,3.68501864443957
2024-10-24,19.353070175438596,23.739035087719298,16.463815789473685,14.544956140350877,9.769736842105264,6.480263157894736,5.964912280701754,3.684210526315789
