date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,ORIENT SECURITIES (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,SHANGHAI COMMERCIAL BANK LTD,TOTAL_CCASS_PCT
2024-05-21,12.145606861290718,9.246720374801033,4.062060280377957,4.575983906627033,3.884538202350756,1.90676882785923,2.165049106043132,1.5960172317201853,1.216644855499336,1.180198175839908,41.979587822409286
2024-05-22,12.171400085338249,9.238573986403344,4.053092437579974,4.599812746061673,3.8755703595527735,1.9025838345535049,2.165049106043132,1.5960172317201853,1.218694648138875,1.1765256306940675,41.99732006608578
2024-05-23,12.140311563638575,9.252580902773525,4.073163323842126,4.614417518618387,3.795713854637403,1.9049752592996336,2.1678675709224975,1.5960172317201853,1.2133139424600856,1.1765256306940675,41.934886798606485
2024-05-24,12.146375533530545,9.25044570210734,4.073163323842126,4.612880174138733,3.799984255969776,1.911039229191603,2.1678675709224975,1.5960172317201853,1.212459862193611,1.1765256306940675,41.94675851431048
2024-05-27,12.150048078676384,9.254972327519654,4.072309243575651,4.611855277818964,3.8040838412488536,1.9115516773514876,2.1678675709224975,1.5960172317201853,1.2150221029930346,1.1765256306940675,41.96025298252078
2024-05-28,12.165848563606163,9.25411824725318,4.077092093067908,4.6074994684599435,3.8083542425812267,1.8922494633291629,2.1678675709224975,1.5960172317201853,1.2192925043254073,1.1765256306940675,41.964865015959745
2024-05-29,12.17806191141675,9.25283712685347,4.081704126506872,4.607542172473266,3.8100624031141757,1.8819150921048209,2.168977875268914,1.5960172317201853,1.2192925043254073,1.1807960320264401,41.977206475810306
2024-05-30,12.17498722245744,9.26052384925174,4.084932549914145,4.607542172473266,3.8098915870608803,1.8811464198649936,2.168977875268914,1.5960172317201853,1.219804952485292,1.1807960320264401,41.9846198925233
2024-05-31,12.1848091455219,9.26522129071735,4.043168024883539,4.608737884846331,3.81125811548724,1.8782425469589803,2.189390393637656,1.5960172317201853,1.2302247317362816,1.1807960320264401,41.9878653975359
2024-06-03,12.188652506721034,9.257107528185841,4.050000667015336,4.609164924979569,3.803827617168911,1.8773030586658583,2.19195263443708,1.5960172317201853,1.2302247317362816,1.185066433358813,41.98931733398891
2024-06-04,12.201805342824743,9.259584360958616,4.054271068347709,4.6083108447130945,3.814503620499843,1.882342132238058,2.196103464532146,1.5960172317201853,1.251576738398145,1.1864329617851723,42.05094776601771
2024-06-05,12.19787657359896,9.256595080025956,4.054271068347709,4.59840351362199,3.818688613805568,1.8900288546363293,2.196103464532146,1.5960172317201853,1.2541389791975688,1.1864329617851723,42.04855634127158
2024-06-06,12.193435356213293,9.258047016478963,4.102612011430168,4.596439129009098,3.8160409649794973,1.8942992559687017,2.196103464532146,1.5960172317201853,1.2541389791975688,1.1828458246659792,42.0899792341956
2024-06-07,12.20086585453162,9.265306698743997,4.105772108416124,4.585079861464987,3.8194572860453953,1.8951533362351762,2.1984948892782747,1.5960172317201853,1.2558471397305178,1.1828458246659792,42.10484023083226
2024-06-11,12.199926366238497,9.264623434530819,4.111323630148209,4.58867985249219,3.821592486711582,1.924021249242016,2.1991781534914545,1.5960172317201853,1.2596905009296535,1.1828458246659792,42.14789873017059
2024-06-12,12.202659423091216,9.270089548236255,4.111323630148209,4.513606197069078,3.821592486711582,1.9261564499082025,2.1991781534914545,1.5960172317201853,1.2596905009296535,1.1828458246659792,42.083159445971816
2024-06-13,12.211790138996017,9.232937056644612,4.119437392679717,4.5146310933888465,3.827998088710141,1.9265834900414398,2.2230924009527415,1.5966150879067176,1.2756618019127273,1.1828458246659792,42.11159237589894
2024-06-14,12.222893182460187,9.228325023205649,4.119351984653069,4.5103862717604555,3.8306457375362117,1.932305827826819,2.2296688190045955,1.5972129440932497,1.2846296447107102,1.1828458246659792,42.13826525991692
2024-06-17,12.285668082046064,9.228068799125706,4.119351984653069,4.509788415573923,3.825094215804128,1.9046336271930437,2.233512180203731,1.5972129440932497,1.283860972470883,1.1828458246659792,42.17003704582978
2024-06-18,12.293696436550926,9.232595424538022,4.119351984653069,4.509788415573923,3.825094215804128,1.9017297542870304,2.2314623875641924,1.5972129440932497,1.283860972470883,1.1828458246659792,42.1776383602014
2024-06-19,12.294977556950638,9.248481317494448,4.120206064919544,4.740845312304081,3.820823814471755,1.8983988412477795,2.235732788896565,1.5972129440932497,1.2825798520711713,1.1828458246659792,42.42210431711521
2024-06-20,12.29583163721711,9.22156070749517,4.125928402704923,4.740691577856116,3.820396774338518,1.9189821756698162,2.2343662604702055,1.5972129440932497,1.2825798520711713,1.1828458246659792,42.420396156582264
2024-06-21,12.28985307535179,9.221646115521818,4.125501362571686,4.740691577856116,3.8243255435643007,1.9264126739881446,2.234195444416911,1.5972129440932497,1.2830068922044084,1.1827604166393315,42.425606046207754
2024-06-24,12.28985307535179,9.202941757686025,4.1233661619054995,4.750940541053811,3.8194572860453953,1.9317933796669344,2.234195444416911,1.5972129440932497,1.2787364908720356,1.1827604166393315,42.41125749773098
2024-06-25,12.309667737534,9.201233597153076,4.125501362571686,4.750940541053811,3.8194572860453953,1.935807556919365,2.2384658457492836,1.5972129440932497,1.2587510126365313,1.1827604166393315,42.419798300395726
2024-06-26,12.322991389691001,9.201233597153076,4.125074322438449,4.75392132388782,3.8151868847130226,1.9331599080932935,2.2384658457492836,1.5972129440932497,1.2587510126365313,1.1827604166393315,42.42875764509506
2024-06-27,12.31368191478643,9.17996699851786,4.137287670249035,4.750761226901864,3.8151868847130226,1.9395655100918527,2.2400031902289377,1.5984940644929617,1.2587510126365313,1.1827604166393315,42.416458889257825
2024-06-28,12.31265701846666,9.17996699851786,4.137287670249035,4.74841250616906,3.8145842883810115,1.9423839749712186,2.243419511294836,1.5984940644929617,1.2608862133027177,1.1827604166393315,42.42085266248469
2024-07-02,12.315731707425968,9.188507801182606,4.141558071581407,4.748327098142411,3.8124490877148256,1.952547530142266,2.237440949429514,1.5984940644929617,1.2608862133027177,1.1827604166393315,42.43870294005401
2024-07-03,12.321283229158054,9.200635740966543,4.141558071581407,4.74841250616906,3.8096306228354595,1.926668898068087,2.2318894276974297,1.5984940644929617,1.2638754942353785,1.1827604166393315,42.42520847184371
2024-07-04,12.325553630490425,9.198500540300358,4.134810837476258,4.724555482085625,3.829701509097611,1.979194834456272,2.2074627320762574,1.6002022250259107,1.250978882211613,1.1841269450656908,42.43508761828602
2024-07-05,12.314275030827483,9.2088349115247,4.136946038142445,4.720870083031774,3.829701509097611,1.9288040987342734,2.218224143433837,1.6002022250259107,1.2652420226617378,1.1798565437333182,42.40295660621309
2024-07-08,12.279343147928675,9.196279931607524,4.136946038142445,4.722407427511429,3.8352530308296955,1.9381989816654934,2.218224143433837,1.6002022250259107,1.2653274306883855,1.1798565437333182,42.37203890056671
2024-07-09,12.287456910460183,9.198842172406946,4.136518998009207,4.715147745246395,3.8349968067497535,1.933245316119941,2.218224143433837,1.6002022250259107,1.263192230022199,1.1798565437333182,42.367683091207695
2024-07-10,12.28617579006047,9.197988092140474,4.135664917742734,4.715147745246395,3.8349968067497535,1.9294873629474532,2.218224143433837,1.6002022250259107,1.263192230022199,1.1798565437333182,42.36093585710255
2024-07-11,12.286602830193708,9.202514717552788,4.138739606702042,4.7149769291931,3.8349968067497535,1.9281208345210938,2.218224143433837,1.6002022250259107,1.2644733504219108,1.1798565437333182,42.36870798752746
2024-07-12,12.2851508937407,9.208322463364816,4.134469205369669,4.71062111983408,3.8324345659503294,1.9289749147875686,2.218224143433837,1.6002022250259107,1.2644733504219108,1.1798565437333182,42.36272942566214
2024-07-15,12.284894669660758,9.207639199151636,4.134469205369669,4.710834639900699,3.8251748836852957,1.9403341823316798,2.2126726217017523,1.6002022250259107,1.2672918153012767,1.1797369724960118,42.36325041462469
2024-07-16,12.298730769977647,9.207553791124989,4.134469205369669,4.704001997768902,3.8217585626193977,1.9291457308408633,2.213526701968227,1.6002022250259107,1.2736974172998359,1.1793099323627745,42.362396334358216
2024-07-17,12.289335887046427,9.207639199151636,4.134469205369669,4.703895237735593,3.8211607064328654,1.9370032692924293,2.213526701968227,1.6002022250259107,1.2736974172998359,1.1793099323627745,42.360239781685365
2024-07-18,12.286944462300298,9.207212159018399,4.138312566568804,4.704066053788888,3.8211607064328654,1.954853546861747,2.2109644611688033,1.6002022250259107,1.2736974172998359,1.1793099323627745,42.37672353082832
2024-07-19,12.285236301767348,9.205931038618687,4.138312566568804,4.704066053788888,3.8209044823529235,1.9496436572362525,2.2109644611688033,1.6002022250259107,1.2708789524204698,1.1758936112968763,42.36203335024496
2024-07-22,12.283784365314341,9.28858465640676,4.138312566568804,4.70340414158237,3.8204774422196857,1.955365995021632,2.2109644611688033,1.6002022250259107,1.2708789524204698,1.1758936112968763,42.44786841702565
2024-07-23,12.288994254939837,9.284326212198119,4.1634225264031555,4.703733816565229,3.8162070408873134,1.9540848746219202,2.2207863842332602,1.6002022250259107,1.2717330326869443,1.1758936112968763,42.479383978858564
2024-07-24,12.275158154622948,9.280739075078925,4.167692927735529,4.703733816565229,3.818940097740032,1.9585260920075878,2.2177971033005996,1.6002022250259107,1.2644733504219108,1.1758936112968763,42.46315645379555
2024-07-25,12.268837960651037,9.279372546652565,4.167692927735529,4.705271161044884,3.8232104990724047,1.9621132291267809,2.224288113325806,1.6002022250259107,1.2650712066084429,1.1758936112968763,42.471953480540236
2024-07-26,12.272681321850172,9.279372546652565,4.171109248801427,4.7095415623772565,3.8232104990724047,1.9457148880104695,2.228558514658179,1.6002022250259107,1.2650712066084429,1.1733313704974526,42.468793383554285
2024-07-29,12.277378763315783,9.279104365448894,4.177941890933223,4.7095415623772565,3.8232104990724047,1.9441775435308153,2.232828915990552,1.6002022250259107,1.2654982467416802,1.1733313704974526,42.48321538293397
2024-07-30,12.259101445613227,9.295338296113908,4.180504131732646,4.708183574753562,3.8232104990724047,1.9538286505419777,2.2333413641504363,1.6044726263582831,1.2654982467416802,1.1733313704974526,42.49681020557558
2024-07-31,12.251841763348194,9.294911255980672,4.180674947785942,4.708183574753562,3.8232104990724047,1.9534016104087404,2.234195444416911,1.6044726263582831,1.262081925675782,1.1733313704974526,42.48630501829794
2024-08-01,12.250475234921835,9.29431339979414,4.184859941091667,4.706646230273908,3.8243208034188214,1.9555368110749267,2.2349641166567378,1.6044726263582831,1.2608008052760702,1.1733313704974526,42.48972133936384
2024-08-02,12.251243907161662,9.295679928220498,4.185201573198257,4.6775968252104425,3.8260289639517704,1.955365995021632,2.237953397589399,1.6044726263582831,1.2608008052760702,1.1776017718298255,42.47194579381784
2024-08-05,12.248510850308943,9.295679928220498,4.180931171865884,4.6775968252104425,3.8260289639517704,1.961771597020191,2.237953397589399,1.6044726263582831,1.2543097952508637,1.1776017718298255,42.4648569276061
2024-08-06,12.247656770042468,9.29559452019385,4.182810148452129,4.676571928890673,3.8239791713122315,1.961771597020191,2.237953397589399,1.6044726263582831,1.2543097952508637,1.1776017718298255,42.46272172693991
