date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,VALUABLE CAPITAL LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,TOTAL_CCASS_PCT
2024-07-29,0.0,0.4027546855971967,7.854030530366549e-05,0.00015708061060733098,0.4784675399099302,0.01295538044045023,0.2283166675177556,0.019242374799398047,0.02159858395850801,0.07524161248091155,1.2388124656200614
2024-07-30,0.0,0.404089870787359,7.854030530366549e-05,0.00015708061060733098,0.4772894353303752,0.01366224318818322,0.2283166675177556,0.019399455410005376,0.02144150334790068,0.07272832271119424,1.2371631192086843
2024-07-31,0.0,0.4033044677343224,7.854030530366549e-05,0.00015708061060733098,0.4756400889189982,0.012876840135146565,0.2283166675177556,0.01955653602061271,0.02159858395850801,0.07280686301649791,1.2343356682177524
2024-08-01,0.0,0.38186296438642164,7.854030530366549e-05,0.00015708061060733098,0.48569324799786745,0.014369105935916211,0.22839520782305928,0.020027777852434703,0.02144150334790068,0.07312102423771258,1.2251464524972233
2024-08-02,0.0,0.3460485851679502,7.854030530366549e-05,0.00015708061060733098,0.5136535966859723,0.012641219219235568,0.24457451071561434,0.004319716791701602,0.02144150334790068,0.07312102423771258,1.2160357770819983
2024-08-05,0.0,0.3462842060838612,7.854030530366549e-05,0.00015708061060733098,0.515381483402653,0.012641219219235568,0.24457451071561434,0.004319716791701602,0.021991285485026338,0.07312102423771258,1.2185490668517156
2024-08-06,0.0,0.3163603497631646,7.854030530366549e-05,0.00015708061060733098,0.5454624203339569,0.012798299829842898,0.24457451071561434,0.004319716791701602,0.02356209159109965,0.07469183034378589,1.222004840285077
2024-08-07,0.0,0.32939804044357307,7.854030530366549e-05,0.00015708061060733098,0.5380796316354123,0.0003927015265183275,0.24441743010500702,0.004790958623523595,0.02356209159109965,0.07477037064908955,1.2156468454901346
2024-08-08,0.0,0.3286126373905364,7.854030530366549e-05,0.00015708061060733098,0.53674444644525,0.0003927015265183275,0.24433888979970333,0.004790958623523595,0.022776688538062993,0.07477037064908955,1.2126623138885952
2024-08-09,0.0,0.34180740868155224,7.854030530366549e-05,0.00015708061060733098,0.5262200455345588,0.0003927015265183275,0.24433888979970333,0.004790958623523595,0.022776688538062993,0.07461329003848222,1.2151756036583126
2024-08-12,0.0,0.3248427027359605,7.854030530366549e-05,0.00015708061060733098,0.5528452090325015,0.0003927015265183275,0.24433888979970333,0.004869498928827261,0.022776688538062993,0.07461329003848222,1.224914601515967
