date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,GOLDMAN SACHS (ASIA) SECURITIES LTD,HSBC BROKING SECURITIES (HONG KONG) LTD
2024-04-30,15.466074200343435,20.016369334758547,3.4500425697685833,5.5154432928975865,8.88417216908338,5.749076788471026,3.27565653179739,1.8265254302121496,0.07562557032877565,2.524516133083628
2024-05-02,15.458646688971859,20.021095932904093,3.4709746472702987,5.5064402488108275,8.891374604352787,5.7504272450840395,3.268003944323645,1.8359786265032467,0.11006221396062885,0.0
2024-05-03,15.475752472736701,20.31015261802783,3.184618875372594,5.513192531875897,8.915907899489206,5.740974048792943,3.2596761285433926,1.8490330404290471,0.1375214984252438,0.0
2024-05-06,15.465849124241265,20.51106432479184,3.230759476317234,5.611100636319401,8.842983242386458,5.744350190325477,3.258550748032548,1.8445315183856676,0.13256982417752633,0.0
2024-05-07,15.484080288516951,20.51016402038316,3.272173479116325,5.66826996627032,8.832179589482347,5.74164927709945,3.2544993781935068,1.844756594487837,0.13279490027969532,0.0
2024-05-08,15.564432456991275,20.632950236551608,3.287028501859478,5.77157989716588,8.83375512219753,5.743674962018971,3.2671036399149687,1.850158420939892,0.13977225944693356,0.0
2024-05-09,15.452794710315466,20.662435205935743,3.6165399154348568,5.959518442476974,8.823626697599925,5.719141666882552,3.2371685183264955,1.8904470432281388,0.1564278910074377,2.551525265343905
2024-05-10,15.44941856878293,20.74706382035128,3.616764991537026,6.046397817914198,8.863915319888173,5.739173439975591,3.244370953595902,1.9005754678257425,0.006977359167238228,2.5717821145391127
2024-05-13,15.453469938621971,20.745038135431756,3.738496050938503,6.132601965044916,8.870217450748903,5.747051103551505,3.255174606500013,1.8920225759433216,0.0,2.578534397604182
2024-05-14,15.450093797089437,20.756517016642377,3.7677559442204704,6.102666843456443,8.887998462820253,5.7461507991428284,3.25810059582821,1.8922476520454905,0.0,0.0
2024-05-16,15.578072068782717,20.758542701561897,3.7832861952701293,6.097715169208725,8.897676735213517,5.731295776399676,3.2664284116084623,1.8920225759433216,0.0,0.0
2024-05-17,15.512124770847208,20.761018538685754,3.7895883261308603,6.12517445367334,8.928962313415006,5.719141666882552,3.2515733888653093,1.8922476520454905,0.0,2.587537441690941
