date,UBS SECURITIES HONG KONG LTD,PHILLIP SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,GF SECURITIES (HONG KONG) BROKERAGE LTD,UOB KAY HIAN (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,LONG BRIDGE HK LTD
2024-08-14,68.10732318614787,0.6093627165127821,5.706185882548811,3.13478552666854,0.0,5.86355223838459,6.317970317989115,10.080634530215566,0.17760153782822896,0.002584063704510033
2024-08-15,68.02806076787455,0.6086535480965695,5.815923798906723,3.1311373039813435,0.0,5.8567283124344245,6.3106175461790395,10.068902818657758,0.1773948474648616,0.0025810564047277183
2024-08-16,68.0283706329795,0.608656320489218,5.8154947941941355,3.1311515661869445,0.0,5.856754989598419,6.310646290790399,10.068948682108715,0.17739565549132022,0.002581068161336752
2024-08-19,68.02790583638063,0.6086521619097164,5.816593792698972,3.1311301729272647,0.0,5.856714973943563,6.310147681070037,10.068879887088958,0.17739444345439268,0.0025810505264633643
2024-08-20,68.02806541583027,0.6086535896822727,5.816379690244468,3.1311375179134675,0.0,5.8567287125900895,6.3101624833762635,10.068896674196885,0.1773948595852041,0.0025810565810760627
2024-08-21,67.9268906704664,0.6077483695856187,5.858668731212338,3.1264807334064013,0.0,5.848018292375441,6.3639971923356535,10.0884877636466,0.17713102906705425,0.0025772179044833378
2024-08-22,61.67684548403246,0.7066917133838205,5.387124997442952,2.838809007740307,8.705779986856914,5.309934210833189,5.8098227806423886,9.40181877123275,0.1608329632397901,0.0023400845954312443
2024-08-23,61.64095286735617,0.706280456702683,5.410198202866635,2.8371569731277657,8.700713689748426,5.327480510156728,5.806441775333407,9.387061038545506,0.18137576337099545,0.0023387227916827754
2024-08-26,61.60192574557016,0.7058332849424066,5.449463104687217,2.8353606661992443,8.695204952504769,5.324107489121023,5.802765506558053,9.381117749914774,0.2018842584408472,0.002337242061503099
2024-08-27,51.116767121036155,17.703897264046596,4.469039909663122,2.352758767264269,7.2152089605547545,4.417900241833502,4.763747488997285,7.78437371159449,0.17436711092986015,0.0019394240799677548
2024-08-28,50.99615987196683,17.679198566755755,4.60139387837583,2.347207560123732,7.252817677411569,4.407476445008312,4.773848548506498,7.766006902581315,0.1739557011564756,0.001934848113680414
2024-08-29,50.98928273009518,17.676814419458662,4.617673037595888,2.3468910249290484,7.251839590899524,4.406882070041954,4.769790688232866,7.764959609385526,0.1739322421736965,0.001934587187661449
2024-08-30,51.015669707134414,17.685962178972797,4.527664089313433,2.348105542103495,7.255592421191142,4.409162633520604,4.772259057086741,7.809626530151709,0.17402225218825026,0.0019355883374122986
2024-09-02,50.978752981638706,17.67316399726438,4.596751215631324,2.3464063706875278,7.250342020377833,4.405972009001863,4.768805683277943,7.803975210851331,0.17389632359119256,0.0019341876778946419
2024-09-03,50.97852094104388,17.678203589958187,4.593658271037829,2.3463956905218093,7.25030901891003,4.405951954286791,4.768897812512131,7.802233010790076,0.17389553206523312,0.0019341788740296383
2024-09-04,50.979739025469165,17.67862599421909,4.590013249569867,2.3464517554682494,7.25048225831226,4.413908139631179,4.769011760897529,7.795933904205711,0.17389968713751308,0.0019342250894379845
2024-09-05,50.96408237566556,17.67319662048177,4.588603586997713,2.3457311246035437,7.248255525421987,4.412552561604918,4.7709595156417475,7.820838778612771,0.17384627991035745,0.0019336310596244632
2024-09-09,50.8210099434249,17.680239121231732,4.653476140183132,2.3391459092570606,7.227907360612898,4.417179173359187,4.7846182566400515,7.890759081645202,0.18118470280423835,0.004480310841594431
2024-09-10,50.66859451703578,17.64926690085574,4.584220600050891,2.332130662579699,7.206230408826713,4.426492600308294,4.805891241906995,8.11814700674873,0.18573022674387635,0.023295834943280164
