date,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-06-21,54.16803995335344,14.551046976508108,7.926584341774795,9.560281337479939,3.680949013275937,3.6071352685517333,2.2794438485238673,1.0495432971056515,1.6593534496853506,1.517622513741177
2024-06-24,54.22388799813008,14.542353953180253,8.082176709300548,9.429703506974988,3.7309894161172243,3.4655153060519654,2.274189227178314,1.0488429554381486,1.692281574655392,1.5100593529730777
2024-06-25,54.07800366598872,14.493763020629446,8.211248633203464,9.567699095542457,3.727188404530235,3.4555022420176136,2.231455924582051,1.0428653158590102,1.6892030291732467,1.5030706684737607
2024-06-26,53.872947591422445,14.464044647576216,8.418792998420276,9.32441748490793,3.8133679860024987,3.6049399729351284,2.2263167913015627,1.0422638164949083,1.7329385109470974,1.4999701999919302
2024-06-27,54.10494337368663,14.447362532937442,8.35606705897067,9.158232457978393,3.7711746890360045,3.5966844987395037,2.329930022799276,1.0302737430533693,1.6956953138652457,1.5096363089334632
2024-06-28,54.38212188177091,14.410571524058103,8.49145591743219,8.779246862472208,3.7729345333484288,3.625760461281776,2.3124626116278084,1.0321924464476095,1.672041064336607,1.5212126972243656
2024-07-02,54.60655090638096,14.477375413595588,8.746345394583575,8.227396947027616,3.8779357521801687,3.5278661304344565,2.29928172171622,1.0355756501841502,1.6775878317506023,1.5240842521466575
2024-07-03,54.527867696870445,14.49531766084541,9.033834956140801,8.045044361397164,3.9511948320651054,3.4492748891161504,2.294331865204352,1.0326441016186811,1.6463060704068913,1.524183566335
2024-07-04,54.38551695287283,14.459683193618849,9.169772524539104,8.074491789071379,3.9612263839788273,3.4335018347443325,2.2890924828506867,1.030785214737672,1.675440408793001,1.5204892147933255
2024-07-05,54.28304613588716,14.406545203957933,9.20840379367864,8.09631053044457,3.996059253414233,3.5673945295962004,2.2435338338839816,1.0223564049120615,1.66109629869198,1.5152540155332375
2024-07-08,54.24262027128807,14.38537988028918,9.339474809648436,7.9436576385407935,4.078330283817157,3.5978771609628404,2.221480460052234,1.0201720002896613,1.658200447127842,1.5128070479837892
2024-07-09,54.19978754387274,14.40347504313418,9.408533089174332,7.7952672494334285,4.112178915885718,3.6087213190040526,2.2594894025453724,1.022692586061168,1.6752160044979936,1.5146388463910212
2024-07-10,54.03931622285164,14.411318388002273,9.586084959324499,7.7862879425707865,4.107603987758274,3.6170896767206777,2.2533045892632693,1.0236067531792787,1.6599275905060555,1.5154598898232485
2024-07-11,53.92055286477048,14.441760070605453,9.75102406000093,7.468669579544973,4.049202997111564,3.983123238983789,2.1990599738634686,1.0286326679333084,1.6394073257993076,1.5185672213867287
2024-07-12,53.76424506066241,14.424724411133077,9.912486293027017,7.815704053893331,4.02554807950146,3.6855012535242495,2.1976557580415133,1.0263047463260027,1.6310206987765905,1.5168096451143471
2024-07-15,53.79406452601992,14.424988174117557,10.071845079720418,7.695066616843649,4.040765528100768,3.6802228539280897,2.16372868094329,1.0217728962998593,1.5905245251535374,1.5170211188729017
2024-07-16,53.55226051522005,14.394521917194025,10.229076590781814,7.5604163568745815,4.137747698747832,3.863626336112027,2.167617664394729,1.004861675307,1.5756573598696997,1.5142138854982385
2024-07-17,53.536994854131116,14.395014915091735,10.386841253556916,7.432825647528558,4.143543489512962,3.863308469269961,2.1461918884540623,1.0044309114982222,1.5761033924607655,1.5147451784957042
2024-07-18,53.535419736058884,14.423787449067795,10.545789839400854,7.358672814767974,4.1650572224058156,3.6904577669337786,2.1498556902556127,1.0070799451592827,1.6021651604575138,1.5217143754924811
2024-07-19,53.564781355259996,14.439597737814571,10.53034635830013,7.28813046546458,4.175116491433132,3.6341381789908653,2.1378638332812274,0.9905814621522272,1.714040064618159,1.5254040526851091
2024-07-22,54.98663253373276,13.979519446073457,10.21061672005352,7.294543455062058,4.040770611339613,3.5147747299248513,2.0445689782302554,0.9558386317395923,1.4944167880816546,1.4783181057622325
2024-07-23,55.01704722124078,13.982908519318999,10.291890684998807,7.140541439485036,4.105584934189581,3.451872991719602,2.049358333387394,0.9587361412119985,1.5239418575816612,1.4781178768661438
