date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,THE CORE SECURITIES COMPANY LTD
2024-06-13,10.648498272046078,12.797089158940562,4.049886289283198,1.6559120987310298,0.8170654274756001,0.5276990468198215,0.46926036070249033,2.4169240311225604,0.0
2024-06-14,10.673720462580885,12.827786352961795,4.048371075598085,1.659300154176004,0.7942995771383998,0.528273133992442,0.46964622257261235,2.424255406654879,0.0
2024-06-17,10.595174043848237,12.902732586333551,4.043025477007126,1.6564767746385256,0.8150489698099329,0.5284425367646908,0.4687050960601197,2.416914619857436,0.0
2024-06-18,10.59810094730209,12.910224329823599,4.0458300340143545,1.6507923705030694,0.8109268356852146,0.5285554719461899,0.46911919172561645,0.0,2.9409782831848004
2024-06-19,10.614551838740464,12.910986642298719,4.042799606644127,1.6538039753430462,0.7778556500362186,0.0,0.4704367688431063,0.0,0.0
2024-06-20,10.661485817918479,12.924912585416726,4.045030076478735,1.648477199282337,0.7303946400112082,0.0,0.4709073320993527,0.0,0.0
2024-06-21,10.737208857113647,12.899694818176528,3.986661410173934,1.655667405837782,0.7530110394582245,0.5198688742358816,0.46662520646751066,0.0,2.8708455354738387
2024-06-24,10.73607009403353,12.901370023368763,3.9909058907452764,1.6669232789271955,0.7519287439688578,0.5191159730258874,0.4656840799550178,0.0,2.8590249864769297
2024-06-25,10.793017659304468,12.882298847494308,3.9886001307896692,1.6731441251747727,0.6806574214030828,0.5190877392305125,0.44755798332440705,0.0,2.833435756602251
2024-06-26,10.850708714520275,12.882070153751773,3.9922705241883913,1.675816924470252,0.6736836739455113,0.5181372014528949,0.44873439146502303,0.0,2.8235539282210773
2024-06-27,10.833175527592534,12.88586007021758,3.9956209345728655,1.667120915494819,0.658239787875505,0.5185795309137665,0.45071075714125786,0.0,0.0
2024-06-28,10.869766526398253,12.884999880585163,3.996750286387856,1.6639210853523434,0.6173599814397053,0.0,0.45175540757012483,2.4169380539075966,2.8094746755941853
