date,BNP PARIBAS,HUATAI FINANCIAL HOLDINGS (HONG KONG),THE HONGKONG AND SHANGHAI BANKING,YUE XIU SECURITIES CO LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CITIC SECURITIES BROKERAGE (HK) LTD,BANK OF CHINA (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-08-14,36.27391595006852,26.467878121420064,11.046902736656246,7.325915171674434,5.173865838687102,3.3906668183920137,2.6497503798927466,2.7214126427854692,2.283823374119652,2.665868966303749
2024-08-15,36.26697877177708,26.462958553222666,11.06099929546925,7.324553508335571,5.172969164726749,3.3926036743938783,2.6492578724223637,2.7209068154944402,2.2833988812763546,2.6653734628816426
2024-08-16,36.26287811571734,26.459966423880076,11.059326261249291,7.323725331416895,5.170824697687478,3.4055088856080116,2.6489583245770163,2.7205991664043085,2.2831407005903306,2.6650720928692455
2024-08-19,36.26179072190971,26.457774344832018,11.05818263208534,7.3231185965255685,5.170493784948831,3.4117244121572265,2.648738871311299,2.7203737780445767,2.282951553528942,2.6648513046564886
2024-08-20,36.25829698705545,26.447334719043138,11.053656951681406,7.32022906331091,5.168486103157221,3.439151484439883,2.647693740217936,2.7193003814739303,2.282050753650525,2.6637998159696075
2024-08-21,36.25454826725351,26.44358190483243,11.056959092072102,7.319190340129681,5.167882590627524,3.4464564820297605,2.647318038741797,2.7189145191848496,2.2817269360489094,2.6634218290794336
2024-08-22,36.256900835046515,26.440680000865346,11.054122342981122,7.318387136253582,5.167088199029834,3.4525717280185524,2.6470275235329876,2.718616147018107,2.2814765406043227,2.663129546649631
2024-08-23,36.25601798403093,26.4400361736034,11.05547650150279,7.3182089344391175,5.166994847576767,3.453299320838731,2.646963068742765,2.7185174825533727,2.281420986934966,2.6630646997771534
2024-08-26,36.25411216841241,26.439830155501532,11.055552689579523,7.318151911691349,5.166987053120219,3.455480117906398,2.646942443872832,2.7184963001386455,2.281403210332158,2.6630439494449307
2024-08-27,36.25303027597076,26.440225026350518,11.057341137525421,7.318261206071888,5.167064220505652,3.454038254766335,2.6469819751558954,2.718536900056863,2.28143728239757,2.6630837211990994
2024-08-28,36.24943704339714,26.43914345168199,11.061174254764047,7.31796184228318,5.172014853737977,3.4506504220380485,2.6468736966276483,2.7184256944735656,2.281343956990165,2.662974784006237
2024-08-29,36.25240074198267,26.43407145559195,11.06423367311468,7.316764632006237,5.173700605210383,3.4508974018572856,2.646440671085882,2.7179809631059157,2.2809707317001977,2.662539124344795
2024-08-30,36.24675711174633,26.431068613287973,11.065411035138426,7.317166809836633,5.183336653926549,3.4533290961019834,2.646140042254813,2.7176722074822823,2.280711619311144,2.6584068109138728
2024-09-02,36.24198164093147,26.429455939623015,11.064735886614187,7.315487089723099,5.195060987940538,3.453248211278246,2.6459785898208468,2.717506390561933,2.2805724632437276,2.6559728002629424
2024-09-03,36.2350192322434,26.427526136736248,11.07204098529498,7.314952933888182,5.2012694267967206,3.449913119746348,2.6457853880715323,2.717307966058255,2.2804059423992165,2.655778868765115
2024-09-04,36.232232561540364,26.425493715768926,11.079301874874819,7.314390374091973,5.200999219035146,3.4490961600857553,2.6455819127379003,2.7170989902480973,2.2802305667387266,2.6555746248782865
2024-09-05,36.226961380894934,26.424276128066833,11.082652701864161,7.314053354399413,5.206632676185437,3.447412179624553,2.6454600142395606,2.716973796510887,2.2801255022609968,2.655452265953226
2024-09-09,36.21700800849321,26.422269925504228,11.089922677148946,7.313498051672802,5.2127589403607235,3.446988214755762,2.645259163755176,2.717091972517548,2.2799523889615623,2.655250656830046
2024-09-10,36.21899625447425,26.420075454517722,11.093056979777515,7.312890637573653,5.212326000712218,3.445955742300731,2.6450394648230624,2.716866307594808,2.27976303015998,2.6550301280660626
2024-09-11,36.2161456678117,26.418232723379077,11.096338348521009,7.3123805825848045,5.213844011937192,3.4513925085257835,2.6448549802407544,2.7166768132781414,2.279604022653296,2.6505303410682357
2024-09-12,36.215476735914116,26.41656163137237,11.09563644682637,7.311918036097706,5.216595875106627,3.4511741898178903,2.6446876792686322,2.7181268987734915,2.27945982572307,2.650362681099726
2024-09-13,36.21597014984015,26.416921541017686,11.099031521496707,7.312277168818112,5.219229631708649,3.454659747522902,2.644723711535734,2.718163931605459,2.2794908819819746,2.639531714472624
2024-09-16,36.21550653168792,26.417032943609748,11.102322244162146,7.31230800536465,5.2259016715860325,3.4546743161413525,2.644734864579297,2.7181753943531963,2.2795004948050446,2.629843533710616
2024-09-17,36.214063988625114,26.416595908058927,11.10213857063879,7.311927523642911,5.227761533836448,3.4546171630350258,2.6446911108708173,2.7189413915065193,2.2794627834255543,2.6298000263598933
2024-09-19,36.21402874661682,26.416570200535674,11.102127766503143,7.3119204079817,5.2278537622042816,3.4546138011464853,2.6446885371683435,2.718938745546786,2.279460565147972,2.6297974671487987
2024-09-20,36.21507875175123,26.415490529738683,11.103133689224576,7.311621562716229,5.227737406588851,3.454472607736151,2.644580446187606,2.7188276198881534,2.279367401388014,2.6296899847805077
2024-09-24,36.21274121279787,26.413785515136656,11.102417026210233,7.311149626693883,5.234633022688011,3.453471190920366,2.644409749063057,2.718652130404546,2.2792202773094976,2.629520248775878
