date,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA GALAXY INTERNATIONAL SECURITIES,VALUABLE CAPITAL LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,MERRILL LYNCH FAR EAST LTD,HANTEC SECURITIES CO LTD
2025-04-03,0.0,0.6425281028427782,0.3869182440383145,0.14042306707220925,0.05628543902232276,0.07662029420370038,0.036697987751690545,0.00894378155388919,0.0
2025-04-07,0.0,0.0,0.3814494349352994,0.13660629405239666,0.06604771900529655,0.07986739960861555,0.031115245125696023,0.006437244048340626,0.0
2025-04-08,0.0,0.0,0.3883993798370477,0.14344230543116546,0.06396273553477205,0.07371498936772364,0.03105827836420628,0.0014811357987332416,0.0
2025-04-09,0.0,0.0,0.39141861819600393,0.1424738704858399,0.06379183525030283,0.07052485072429819,0.0292353419965346,0.005696676148974005,0.0
2025-04-10,0.0,0.6538644883792364,0.3818482022657276,0.1177502959992927,0.0617410318366722,0.07069575100876742,0.029178375235044858,0.004785207965138165,0.005297908818545825
2025-04-11,0.0,0.0,0.37974043209060726,0.1510188847093009,0.06470330343413869,0.07103755157770585,0.0278111729592911,0.0037598062583228437,0.0
2025-04-14,0.0,0.6704987827342405,0.365327841433703,0.14720211168948832,0.06538690457201556,0.06961338254046234,0.030032876657390958,0.0032471054049151835,0.0
2025-04-15,0.0,0.0,0.33268588710008196,0.17329288845178925,0.0654438713335053,0.07246172061494935,0.028152973528229538,0.004728241203648425,0.0
2025-04-16,0.0,0.68155033446325,0.3194695984344622,0.16742531201834604,0.07011571544327888,0.07502522488198765,0.027526339151842393,0.007405678993666207,0.0
2025-04-17,0.0,0.664460306016328,0.3260777427672721,0.1722105199834842,0.07040214432004929,0.07946863227818737,0.02262719766372475,0.013672022757537613,0.0050130750110971255
2025-04-22,0.0,0.673233187285748,0.3243687399225799,0.16941914867048694,0.07136374325399611,0.07502522488198765,0.029178375235044858,0.007754315573983417,0.0
2025-04-23,0.0,0.0,0.33507849108265103,0.17397648958966613,0.06526829977459392,0.07200598652303143,0.027640272674821876,0.002969107608845252,0.0
2025-04-24,0.0,0.678701996388763,0.3327998206230614,0.16919128162452798,0.07102194268505767,0.06910068168705469,0.02410833346245799,0.0038805757926810933,0.0
2025-04-25,0.0,0.6725495861478711,0.33183138567773585,0.17653999385670444,0.06954080688632443,0.06306220496914225,0.028039040005250055,0.004621143692047714,0.0
2025-04-28,0.0,0.680240098948986,0.3224888367934185,0.17750842880203002,0.06874327222546807,0.060441733940614195,0.02507676840778357,0.012596490300611322,0.0
2025-04-29,1.4592605623211814,0.6911777171550161,0.3119499859178166,0.17665392737968394,0.07112755906085964,0.057764296150596424,0.02217146357180683,0.019147667871931427,0.0
2025-04-30,1.459146628798202,0.6926018861922597,0.31981139900340066,0.17921743164672224,0.07697952660165468,0.05457415750717098,0.015221518670058545,0.007029356567264985,0.0
2025-05-02,1.4594884293671402,0.6951084236978082,0.32009623281084937,0.17112815151517913,0.08801353256812541,0.05354875580035565,0.014480950770691923,0.004426431301275782,0.0
