date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,BRIGHT SMART SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,DEUTSCHE BANK AG,HANG SENG SECURITIES LTD,UBS SECURITIES HONG KONG LTD
2024-06-14,19.94750742960769,3.080127379442911,2.792942231528504,1.1390348394584457,1.0459718282595665,1.2548965687754448,1.1375873431571897,0.0,1.676113722326889,51.155267497229616
2024-06-17,19.948954925908946,3.0849041172370564,2.7513773752379347,1.1351265994450541,1.0422083378763003,1.240566355393009,1.157997041004901,0.0,0.0,51.15541224685975
2024-06-18,19.97819435119432,3.094457592825347,2.7397974048278857,1.14120608391033,1.0465564720156437,1.1492293387837476,1.1603130350869109,0.0,1.6866804453260584,51.156429909134346
2024-06-19,19.973128114139925,3.09995807877012,2.741679150019518,1.1410613342802043,1.0465570510141642,0.0,1.166247769922061,0.0,1.6885621905176915,51.15672027689237
2024-06-20,19.987892576412737,3.10227407285213,2.729520181088967,1.1427983298417117,1.0494520436166765,1.1508215847151293,1.1701560099354524,0.0,0.0,51.15758877467314
2024-06-21,19.99469580902864,3.099089580989366,2.713308222514898,1.1616157817580413,1.0456885532334106,1.1616778069745501,1.1805779833044965,0.0,1.6858119475453046,51.156430777632124
2024-06-24,19.96429838670226,3.1063270624956467,2.7065051346486246,1.1776829907019843,0.0,1.158782814372038,1.1911447063036662,0.0,1.6916019327503293,51.15729927541288
2024-06-25,19.834313218849463,3.082298623894795,2.584227595100753,1.4574840257347934,1.054084031780696,1.192798977451557,1.2011324307823337,0.0,1.6955101727637207,51.15498328133087
2024-06-26,19.85284117150554,3.0584149349240692,2.7035012903242577,1.4667480020628327,1.0220943635229356,1.1689152884808307,1.2687305080509947,0.0,1.673073980094251,51.156141278371884
2024-06-27,19.8735403686135,3.0433609733910054,2.7941149930317817,1.426652354518038,1.037293074686125,1.143005104688346,1.1377320927873154,0.0,1.6571515207804335,51.145140306482325
2024-06-28,19.835615965520592,3.007318315489728,2.8822708470197727,1.4149276344778634,1.0336743339329848,1.131135635018046,1.1422193313212092,0.0,1.6520852837260371,51.1444165583317
2024-07-02,19.83344472106871,3.021938028132415,2.905284373588999,1.4127563900259794,1.037003575425874,1.131859383168674,1.1323763564726677,0.0,1.6567172718900565,0.0
2024-07-03,19.834168469219335,3.0216485288721633,2.918457096554135,1.4094271485330903,1.039898568028386,0.0,1.1335343535136724,0.0,0.0,51.14340504791638
2024-07-04,19.84502469147876,3.021938028132415,2.938524027277709,0.0,1.0380168228367532,1.1308461357577948,1.1306393609111602,0.0,0.0,0.0
2024-07-05,19.844735192218504,3.0335179985424636,2.954442867850773,1.4029134151774376,1.0343980820836127,1.1218716586900066,1.12702062015802,0.0,1.660336012643197,0.0
2024-07-08,19.84328769591725,3.0213590296119124,2.9689178308633344,1.3948074358904032,1.0396090687681347,0.0,1.1332448542534213,0.0,0.0,0.0
2024-07-09,19.81129802765949,3.0152795451466368,2.988314281300166,1.3933599395891472,1.0375825739463762,1.1233191549912627,1.0922807089278728,0.0,1.6444135533293798,51.143549797546505
2024-07-10,19.815785266193384,3.008042063640356,2.986577285738659,1.402768665547312,0.0,1.1217269090598811,1.0998076896944047,0.0,0.0,0.0
2024-07-11,19.834457968479587,3.0152795451466368,2.981800547944514,1.394083687739775,1.0508995399179326,1.118397667566992,1.1012551859956607,0.0,0.0,0.0
2024-07-12,19.85052517742353,3.008042063640356,2.9687730812332087,1.3933599395891472,1.0530707843698168,0.0,1.1018341845161632,0.0,1.6458610496306356,0.0
2024-07-15,19.870790125641115,3.0051470710378436,2.962693596767933,0.0,0.0,1.1126076823619675,1.1031369311872938,0.0,1.634570578480838,0.0
2024-07-16,19.921886745075458,3.0005150828738243,2.960377602685923,0.0,0.0,1.105370200855687,1.0869249726132253,0.0,1.629649091056567,0.0
2024-07-17,19.965601133373394,2.9970410917508095,2.9606671019461746,0.0,1.0539392821505706,0.0,1.079542741476819,0.0,1.6253066021527989,0.0
2024-07-18,20.003959785356678,3.00065983250395,2.9540086189603962,0.0,0.0,1.106817697156943,1.0749107533127993,0.0,0.0,51.144852544217635
2024-07-19,20.015105506876353,0.0,2.951113626357884,0.0,0.0,0.0,1.0769372481345578,0.0,0.0,0.0
2024-07-22,23.478987243348268,2.9992123362026937,2.9512583759880093,1.3932151899590215,0.0,1.1104364379100833,1.074331754792297,0.0,1.626609348823929,0.0
2024-07-23,23.53196560797424,3.001383580654578,2.9456131404131107,1.392346692178268,1.040332816918763,1.1085546927184502,0.0,0.0,0.0,0.0
2024-07-24,23.569455762176776,2.9832898768888763,2.938520408536956,1.3914781943975143,1.0388853206175068,0.0,0.0,0.0,1.6200956154682766,0.0
2024-07-25,23.588562713353355,2.968814913876315,2.9311381774005496,0.0,0.0,0.0,1.0741870051621714,0.0,1.619950865838151,0.0
2024-07-26,23.59362895040775,2.9675121672051845,2.9308486781402983,1.3965444314519107,0.0,1.10493595196531,1.0655020273546347,0.0,1.6208193636189048,0.0
2024-07-29,23.607090666009434,2.9667884190545566,2.9340331700030617,1.401610668506307,1.030634591700347,1.1034884556640538,1.0657915266148859,0.0,1.6251618525226732,51.147747536820155
2024-07-30,23.61172265417345,2.971854656108953,2.932730423331931,1.4011764196159302,1.0303450924400956,0.0,1.0650677784642577,0.0,0.0,51.146444790149026
2024-07-31,23.618670636419484,2.9734469020403345,0.0,0.0,0.0,1.1005934630615415,1.0721605103404128,0.0,0.0,51.144852544217635
2024-08-01,23.625184369775134,2.973736401300586,2.932006675181303,0.0,0.0,1.1010277119519185,1.06202803623162,0.0,0.0,0.0
2024-08-02,23.628079362377647,0.0,2.9318619255511775,1.4014659188761813,0.0,0.0,0.0,0.0,1.6258856006733011,0.0
2024-08-05,23.63271135054167,0.0,0.0,0.0,0.0,0.0,1.0605805399303638,0.0,1.6276225962348085,0.0
2024-08-06,23.633869347582674,0.0,2.931717175921052,0.0,1.0296213442894675,0.0,1.0631860332726248,0.0,1.624003855481668,0.0
2024-08-07,0.0,2.9809738828068664,2.9254929418256506,1.4042161618485682,1.0245551072350711,1.0868422481996085,1.0602910406701125,0.0,1.631241336987949,0.0
