date,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,FUTU SECURITIES INTERNATIONAL,HANG SENG BANK LTD,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,GF SECURITIES (HONG KONG) BROKERAGE LTD
2024-06-28,45.41446048933283,21.19226876684443,23.12115941024247,2.3968139120778345,1.9925248563700224,1.3096543052528418,1.1492311491474432,1.3784704533215084,1.4134801259353333,0.6319365314752882
2024-07-02,45.40721325329877,21.220234345875774,23.109976303917318,2.3925637756477625,1.9921652697403411,1.309001490572623,1.1490237499000382,1.3784530527632555,1.4092686282113278,0.6321001300727874
2024-07-03,45.37323275325098,21.259191971054562,23.094753131869727,2.3906079172438788,1.9868930395671145,1.3074434491113165,1.1486509529926776,1.4030768325235659,1.40425490508357,0.6318950473026063
2024-07-04,45.36647493884735,21.256865467314924,23.08997005904162,2.3907484478848513,1.9972248706335443,1.3075195668399318,1.148474020370727,1.4070250703326836,1.4036917129978206,0.6320058457365554
2024-07-05,45.3571745447931,21.252085183219823,23.08541673587924,2.394834938013392,2.0143474103347896,1.308080992707219,1.1482157493616898,1.404604678472127,1.4033760481515436,0.6318637190670786
2024-07-08,45.34738519743358,21.246987248653728,23.079543449824026,2.39345893049869,2.017618798872641,1.3073888358166157,1.1479328230374228,1.4249002124264725,1.4029840191368907,0.6318004842999313
2024-07-09,45.33992494248184,21.24883084194399,23.081215247092263,2.3927165231896326,2.021695108212618,1.307952882856657,1.148042420535598,1.424643261660619,1.4031179673396,0.6318608046871833
2024-07-10,45.34114423487446,21.246972140233666,23.077151831961835,2.3918252617389646,2.0325250716768863,1.307850903718211,1.1478920448416485,1.4282473700330405,1.3946131001679776,0.6317780407533038
2024-07-11,45.34563344106217,21.248517745377605,23.07458665505061,2.3918777420670416,2.043060816548901,1.307364617570264,1.1478506757879188,1.4148364215879954,1.3945397262174708,0.6317321587300225
2024-07-12,45.36826849724115,21.250580959783978,23.07276273096064,2.3943382082659883,2.0476759963924516,1.3072988618290644,1.1478335287907904,1.3850920526879715,1.3944264423551334,0.6317227216928363
2024-07-15,45.3838627860638,21.255827878824416,23.07695684792265,2.395437997442298,2.048181582107706,1.3071361517197182,1.1481169370236695,1.3603271974986428,1.3947476174848605,0.6294050039122381
2024-07-16,45.387228720434635,21.25613746902279,23.07729296278438,2.3962820511151204,2.043587618218246,1.3066696915660547,1.1481336592963711,1.3615029594954915,1.393704458942826,0.6294604091240847
2024-07-17,45.38992741971474,21.256553464778786,23.075761852148453,2.3960768299483357,2.043452032179504,1.3056583001104687,1.1480574839988589,1.3626840871882795,1.3924098836586152,0.6294186462739594
2024-07-18,45.38943526862277,21.25576771095055,23.0742913815893,2.3966989754907884,2.043332051179556,1.3090028193840162,1.1479900759644353,1.361679433918625,1.3923281285072593,0.6294741543927013
2024-07-19,45.326279409686734,21.40730888479531,23.042399240505038,2.393124091204562,2.041347435828446,1.2934595654627135,1.1468750742561393,1.355994680517943,1.3729165875892502,0.6202950301538647
2024-07-22,45.393682480574384,21.533871605024952,22.9417987975376,2.371803525175313,2.0369400598728418,1.2742827949555253,1.144398910944769,1.340537471657857,1.347438621218896,0.6152457330378688
2024-07-23,45.32038086486667,21.749973425679332,22.867382115367725,2.3585634604226224,2.0346031027965377,1.2580897300768497,1.143085955700905,1.326731248589909,1.3297345506648386,0.611455545834613
2024-07-24,45.28880865172804,22.030669552469842,22.75181394578199,2.3529835139220556,2.000775019422771,1.24766336038755,1.1424330423534488,1.2864781911558894,1.2890167494657914,0.60935797331262
