date,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,MINERVA HOLDING FINANCIAL SECURITIES LTD
2024-07-08,73.40937853629667,0.0,6.251362651465876,6.014775418659307,4.39506282482972,2.9591603118729304,2.922762276056535,2.62797458397955,1.419523396839413
2024-07-09,73.40804258201511,0.0,6.251248884875473,6.014665957645833,4.394982840458301,2.95910645904149,2.922709085621545,2.629746626964412,1.4194975633778364
2024-07-12,73.4067066763579,0.0,6.198359891406773,6.014556500616378,4.431299570045653,2.959052608170115,2.9226558971225125,2.647897125424158,1.419471730856513
2024-07-15,73.4067066763579,0.0,6.302090517892441,6.014556500616378,4.52229134766466,2.959052608170115,2.9226558971225125,2.4531747213194826,1.419471730856513
2024-07-16,73.68351406579512,0.0,6.396435009930015,6.080157746011907,4.535125134917701,2.9555565007519764,2.9192027922556423,2.0122141189805984,1.4177946313570366
2024-07-17,73.64870781827808,0.0,6.393413494153996,6.077285631697959,4.532982855332259,2.954160369847797,2.9178238339333102,2.058501096091606,1.417124900664995
2024-07-18,73.70765916354173,0.0,6.380430301006182,6.06494440376973,4.523777664396256,2.948161315554434,2.906459156724328,2.054320869464628,1.4142471255427174
2024-07-19,73.72855689810326,0.0,6.40276214326628,6.051777159995962,4.5139563570074515,2.941760736069786,2.9001491143418616,2.0498608543553436,1.411176736860045
2024-07-25,73.73789536500006,0.0,6.4035731178036706,6.052543678737857,4.514528095202079,2.9294673291110884,2.9005164475386502,2.0501204899502445,1.4113554766563614
2024-07-29,73.74857079569627,0.0,6.404500197437403,6.053419937956518,4.515181687653666,2.90998483116116,2.900936370865261,2.055846373069466,1.411559806160264
2024-07-31,73.74590164824406,0.0,6.404268402363951,5.819759022888519,4.695980927983739,2.9098795114442595,2.917118017691633,2.095583751145946,1.411508718237887
