date,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,HAITONG INTERNATIONAL SECURITIES CO LTD,VALUABLE CAPITAL LTD,BRIGHT SMART SECURITIES INTERNATIONAL,MERRILL LYNCH FAR EAST LTD,PHILLIP SECURITIES (HONG KONG) LTD,HANTEC SECURITIES CO LTD,TOTAL_CCASS_PCT
2024-09-02,89.80428094267535,7.951934328913413,1.176877914509369,0.5831000199379036,0.24823306493486366,0.015081121905133622,0.07342414825346077,0.00044032472715718605,0.018933963267759,0.003302435453678895,99.87560826457809
2024-09-03,89.80428094267535,7.951934328913413,1.176877914509369,0.583980669392218,0.24823306493486366,0.015191203086922919,0.07342414825346077,0.0007705682725250755,0.018933963267759,0.003302435453678895,99.87692923875957
2024-09-04,89.80428094267535,7.951934328913413,1.1777585639636834,0.5843109129375859,0.24823306493486366,0.015191203086922919,0.07342414825346077,0.0024217859993645235,0.01926420681312689,0.003302435453678895,99.88012159303146
2024-09-05,89.80428094267535,7.951934328913413,1.177978726327262,0.5865125365733718,0.24823306493486366,0.0157416089958694,0.07342414825346077,0.00044032472715718605,0.019154125631337594,0.003302435453678895,99.88100224248578
2024-09-09,89.80428094267535,7.951934328913413,1.1780888075090514,0.586952861300529,0.24823306493486366,0.016071852541237292,0.07342414825346077,0.00044032472715718605,0.019154125631337594,0.003302435453678895,99.8818828919401
2024-09-10,89.80428094267535,7.951934328913413,1.1780888075090514,0.5871730236641076,0.24823306493486366,0.016071852541237292,0.07342414825346077,0.00044032472715718605,0.019154125631337594,0.003302435453678895,99.88210305430366
2024-09-11,89.80428094267535,7.951934328913413,1.1785291322362084,0.5887141602091578,0.24823306493486366,0.01420047245081925,0.07342414825346077,0.00044032472715718605,0.019154125631337594,0.003302435453678895,99.88221313548546
2024-09-12,89.80428094267535,7.951934328913413,1.1796299440541014,0.5914661897538902,0.24823306493486366,0.013980310087240657,0.07397455416240727,0.0014310553632608546,0.019154125631337594,0.003302435453678895,99.88738695102954
2024-09-13,89.80428094267535,7.951934328913413,1.1796299440541014,0.5967500864797765,0.24823306493486366,0.013980310087240657,0.07386447298061796,0.00044032472715718605,0.019154125631337594,0.003302435453678895,99.89157003593753
2024-09-16,89.80428094267535,7.951934328913413,1.1799601875994694,0.6023642267510305,0.24823306493486366,0.01387022890545136,0.07386447298061796,0.0005504059089464825,0.019154125631337594,0.003302435453678895,99.89751441975416
