date,CHINA INTERNATIONAL CAPITAL CORPORATION,ADVENT SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,EVERBRIGHT SECURITIES INVESTMENT,BRADBURY SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,YUANTA SECURITIES (HONG KONG) CO LTD,KOALA SECURITIES LTD,UOB KAY HIAN (HONG KONG) LTD
2024-11-26,50.440963619062586,0.6240024722478749,8.348554868306504,12.779002789386732,8.176512394687986,3.1148123406373087,6.276944868753414,5.586228212189279,4.65297843472832
2024-11-27,50.442772114152724,0.6239862485411357,8.34781782212301,12.77867054263629,8.176299810050681,3.1147313573011695,6.276781671783374,5.586082973456544,4.652857459955069
2024-11-28,50.45186956394067,0.6239830039010211,8.33893465543074,12.778604095359361,8.176257294449714,3.1147151611392636,6.276749033407689,5.5860539266162625,4.652833265755281
2024-11-29,50.45106776318305,0.6232343951362488,8.372556624615367,12.763273269090803,8.166448024268648,3.110978355721776,6.2692186530747165,5.595971775176768,4.647251139732629
2024-12-02,50.4480646663169,0.6230305407535844,8.390585721104458,12.759098516841325,8.163776852341135,3.1084032062430915,6.267168047863765,5.594141382983174,4.645731065552561
2024-12-03,50.46375796600103,0.6228397503952261,8.387497242740329,12.75519130392137,8.161276862678779,3.107451321346849,6.265248855850645,5.592428291618703,4.644308405447069
2024-12-04,50.47275516423765,0.6227266248840073,8.385973833367647,12.752874596395824,8.159794541396776,3.1068869193171267,6.2641109074790435,5.591412546703511,4.643464866218414
2024-12-05,50.47995056999497,0.6226361540581662,8.384755504251997,12.751021836211052,8.158609072008838,3.1064355452885346,6.263200846363437,5.59060021639595,4.64279025542706
2024-12-06,50.48637831956053,0.6225618583999406,8.383236197150946,12.749500328739638,8.157635551233888,3.106064871867037,6.262453493954736,5.589933121624394,4.64223625746889
2024-12-09,50.488171331217025,0.622532791012094,8.383363561519726,12.748905055087864,8.157254671561805,3.1059198498245055,6.262161100255822,5.589672127874311,4.642019511646848
2024-12-10,50.49176705603416,0.6224875804701626,8.382754731888104,12.7479791843307,8.156662262760698,3.10569428689572,6.261706319879444,5.589266186035153,4.641682391705846
2024-12-11,50.48605554660652,0.6221487106053,8.427444766435897,12.741039437869892,8.15222193796478,3.1040036086616087,6.25829757143048,5.569632868345332,4.639155552080187
2024-12-12,50.5363249185712,0.6215235777890394,8.41845896353079,12.72823728666374,8.144030614295716,3.100884716852483,6.252009256242913,5.564036521007188,4.634494145046938
2024-12-13,50.5535582348738,0.6213916228612845,8.409939907991703,12.725534969822302,8.142301564892364,3.1002263717254253,6.250681899632138,5.562855227065343,4.633510201135644
2024-12-16,50.5636354181762,0.6213690995706824,8.401350155518122,12.725073713326967,8.142006434707842,3.10011399927473,6.25045533409809,5.562653592861974,4.633342252465389
2024-12-17,50.56356538175344,0.6212918892543231,8.406519136268583,12.723492516309316,8.140994722195813,3.0997287841380268,6.249678662657445,5.561962386549978,4.632766520873069
2024-12-18,50.58124395314134,0.6210957327025574,8.401794680135346,12.719475408631615,8.13842441751251,3.0987501264085093,6.247705491210475,5.560206343405578,4.631303846852069
2024-12-19,50.58176755514102,0.6211021621009316,8.400846482745866,12.719607076859566,8.13850866406254,3.0987822037485646,6.247770165600287,5.5602639010086055,4.631351788732613
2024-12-20,50.60706010159751,0.6210314460390559,8.38022400215079,12.718158876263969,8.137582047931762,3.0984293895298562,6.247058820947869,5.559630832907958,4.630824482631227
2024-12-27,50.61707202485983,0.6209511064216516,8.375517681245372,12.71651359400858,8.136529331145042,3.0980285617886896,6.246250671346464,5.5589116123002515,4.630225416884115
2025-01-02,50.61759587572923,0.6209575328261023,8.375604361925298,12.716645200923704,8.136613538464694,3.0970256949701858,6.246315315619901,5.558969143100918,4.63027333643997
2025-01-03,50.625875309500245,0.6209575328261023,8.365255069711528,12.716645200923704,8.138683396907448,3.0970256949701858,6.246315315619901,5.558969143100918,4.63027333643997
2025-01-06,50.66779641573238,0.6207230552098024,8.338819180241435,12.711843312716514,8.135610176949811,3.09585623785889,6.243956666197938,5.556870040078805,4.628524915014427
2025-01-07,50.67394786828716,0.6206716865130645,8.336060185424508,12.710791328552833,8.134936904564565,3.0956000364839094,6.243439939916001,5.556410174492203,4.628141875765751
2025-01-16,50.67394786828716,0.6206716865130645,6.598179463187927,12.710791328552833,8.134936904564565,4.83348075872049,6.243439939916001,5.556410174492203,4.628141875765751
2025-01-22,50.67368577060375,0.6206684762518152,6.598145335837982,12.710725585323784,8.135412052470667,4.833455758811011,6.243407647363051,5.556381435420233,4.628117937917702
2025-01-23,50.672113241438055,0.6206492153816753,6.604147071305515,12.710331140230712,8.135159590615308,4.830202518707888,6.243213899060169,5.55620900723132,4.627974316029359
2025-01-24,50.67678911298501,0.6206684762518152,6.5609052272628725,12.710725585323784,8.135412052470667,4.867592525004861,6.243407647363051,5.556381435420233,4.628117937917702
2025-01-27,50.61391573462264,0.6198541439396285,6.580190594653064,12.694048800612604,8.12473819168868,4.960899331996826,6.235216142912712,5.549091326264018,4.622045733309829
2025-02-03,50.629345616051125,0.6200431092825609,6.555328060820178,12.697918638877399,8.127215054921166,4.95879476648728,6.237116976791493,5.550782991885169,4.623454784883629
2025-02-04,50.6775291530449,0.6192176347832345,6.5724015699181555,12.681013672312991,8.116395147921247,4.939292666787601,6.228813391223687,5.548037267307869,4.617299496700319
2025-02-05,50.73281835448776,0.6192815464589785,6.517344591904877,12.682322525272602,8.11723287021106,4.939802468921118,6.229456289421941,5.543965288559211,4.61777606476245
2025-02-06,50.733080171657306,0.6192847423890865,6.517378226005432,12.68187190439426,8.117274760864952,4.9398279617902805,6.229488437815553,5.543993899335174,4.617799895747956
2025-02-07,50.733603814103446,0.6192911343482632,6.517445495248007,12.682002800574882,8.117358543469859,4.9388467964273985,6.229552735598237,5.54405112177302,4.617847558456882
2025-02-10,50.737493413823664,0.6193071148234985,6.512452781806383,12.682330052848407,8.117568007549007,4.938974240717401,6.229713485862042,5.544194183035714,4.617966719533887
2025-02-11,50.735398694264674,0.6192815464589785,6.516312455994111,12.681806457317219,8.11723287021106,4.938770333010353,6.229456289421941,5.543965288559211,4.61777606476245
2025-02-14,50.7698083924292,0.6191473471746529,6.512320580231212,12.657904088899851,8.115473853091764,4.937700093717858,6.228106356454363,5.542763902568777,4.616775385432329
2025-02-17,50.80053066998165,0.6193646513637875,6.51615464252021,12.608668405515033,8.118322167750845,4.943562192301964,6.230292255510232,5.5447092647203045,4.618395750335975
2025-02-18,50.80515928196028,0.6193518645420657,6.512407230226132,12.608408098772154,8.118154564485126,4.9434601321532545,6.230163630739396,5.544594793852923,4.61830040326867
