date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,ROCTEC SECURITIES CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG BANK LTD
2024-08-23,40.48294942318378,10.0411621428497,11.857378083932858,10.932171945080706,7.427795390581046,5.605931956862502,2.9851856112640953,1.9542202032050604,6.500575014612672,2.212630228427574
2024-08-26,40.40204847470712,10.017647824176617,11.852893129320195,10.999553251677394,7.410641909221457,5.592964393760639,2.970460923069567,1.9501792159082532,6.595555983990307,2.2080548941684444
2024-08-27,40.22500056379435,10.071549232954679,11.72184834898572,11.173750369488666,7.43355186495281,5.5845716827549765,2.9434665524466235,1.9473152741864648,6.6941338621142865,2.204812248321425
2024-08-28,40.14065840087983,9.97434941445017,12.154269250876483,10.876542854341016,7.412443849832753,5.572144665672038,2.927685342243068,1.9450826851801335,6.794539096438286,2.202284440086221
2024-08-29,40.14142805960461,10.115795697931945,12.136283457662973,10.740495120524542,7.411584218991764,5.572115708427009,2.9369355799585013,1.9457182409383107,6.7966398794437515,2.203004036516597
2024-08-30,40.14441187574171,10.136295753782418,12.166265418764844,10.680294013812237,7.411506160872553,5.5724002119254825,2.9436109016040874,1.9457134126083149,6.79650368116045,2.2029985697279084
2024-09-02,40.851938552212296,10.067446301373804,11.957392452107717,10.50191502805676,7.359880632460268,5.514306520767164,2.967852864765239,1.9245221595239965,6.67574032930514,2.179005159427615
2024-09-03,40.59494766630861,10.32987448026764,12.23224074731425,10.38912346880402,7.34590615001425,5.509107864497134,2.937751581065522,1.923057683654375,6.5606433247741345,2.177347033300061
2024-09-04,40.51059911840987,10.42716430010054,12.220262334163307,10.450291457039103,7.338168874053238,5.49971265908862,2.906670044332053,1.9206004616169392,6.551965862789184,2.1745648884071413
2024-09-05,40.48266718370693,10.580692762459112,12.219101299616861,10.417937987664839,7.327876509911245,5.493101064809386,2.848938845030287,1.9182915717145306,6.53944208521461,2.171950689872195
2024-09-09,40.48129029424438,10.69066148217696,12.09033827065503,10.259479193961504,7.351311079730281,5.50532911448977,2.9793496231761427,1.9205257193039547,6.547234959477256,2.1744802627847157
2024-09-10,40.52194926278515,10.808431307384092,11.784687293510176,10.524987873622981,7.35017533045513,5.506435732973249,2.85621624433973,1.9204597869770703,6.552251555843845,2.1744056121085764
