date,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,HANG SENG SECURITIES LTD,THE BANK OF EAST ASIA LTD
2024-06-11,30.52347409101115,37.29448503257688,4.150964219960278,2.4719032478857135,1.3741916158388603,1.5428396936973852,5.339693310026915,0.0,0.0
2024-06-12,30.527232290425633,37.29290263282341,4.157755352235576,2.4686065817326566,1.3895034433199953,1.5437627602202413,5.338572443534876,0.5719084793652319,0.0
2024-06-13,30.59675897959361,37.28743023294266,4.16032675183496,2.475496613992546,1.3508566919410303,1.546070426527381,5.3400889099652815,0.5694689464119697,0.0
2024-06-14,30.649175971427212,0.0,4.148063153745587,2.480309746576009,1.3057431343029053,1.548141721871347,5.342660309564666,0.5697986130272754,0.0
2024-06-17,30.658898631112457,37.281070172733536,4.178392482353712,2.475958147253974,1.2982926687969965,1.5484713884866526,5.343319642795278,0.5684799465660526,0.0
2024-06-18,30.67965483681204,0.0,4.175161749523717,2.4805734798682537,1.2974355355972018,1.547680188609919,5.343253709472216,0.5685458798891138,0.6577090291311256
2024-06-19,30.666504435527496,0.0,4.165931084295157,2.4883536119894685,1.296116869135979,1.5497900549478754,5.344176775995072,0.5678865466585024,0.0
2024-06-20,30.678042767063197,0.0,4.16606295094128,2.4842657459596778,1.2993156902376133,1.550119721563181,5.345363575810173,0.5709194795193149,0.657906829100309
2024-06-21,30.66562640146429,37.279520607774955,4.173974949708616,2.4888810785739577,1.286826797983341,1.5526911211625658,5.347077842209762,0.0,0.6572474958696976
2024-06-24,30.669603301711373,0.0,4.1791836822304465,2.4880239453741626,1.2604534687588844,1.5536801210084827,5.345033909194867,0.0,0.0
2024-06-25,30.76443328820384,37.29676909475436,4.17133761678617,2.494155744418849,1.2265734329039477,1.554273520916033,5.346088842363845,0.5710513461654372,0.0
2024-06-26,30.79347836754538,37.29901082773844,4.172524416601271,2.4907272116196695,1.2047815465657177,1.5563174539309284,5.353473374546693,0.5743480123184942,0.0
2024-06-27,30.79430543514986,37.295480493888455,4.157887218881697,2.4934964111882376,1.2036606800736782,1.556053720638684,5.354000841131183,0.5750073455491056,0.0
2024-06-28,30.836700561878178,37.2957442271807,4.105997693632579,2.493364544542115,1.2118266540014468,1.556006314579403,5.35386897448506,0.5748095455799221,0.0
2024-07-02,30.943582500492994,37.31077702483864,4.0676904329340555,2.500221610140474,1.1601299177889592,1.5608194471628662,5.3561766407922,0.5692711464427863,0.0
2024-07-03,30.975782225609716,37.291326694535606,4.079492497762001,2.503188609678225,1.1371289461724339,1.5658963130385741,5.356901907345873,0.5699304796733977,0.0
2024-07-04,31.035392015522707,37.289348694843774,4.071580498994663,2.5065512091543436,1.1281121686438844,1.5678743127304082,5.358879907037706,0.5732271458264547,0.0
2024-07-05,31.04018793950885,37.28939260643693,4.083778163760974,2.5146610078908638,1.1182266536506815,1.5680061793765305,5.358352440453218,0.0,0.0
2024-07-08,31.013392966683423,37.207599088446756,4.091030829297701,2.5165071409365756,1.1084648295715411,1.5703797790067315,5.36019857349893,0.5756007454566558,0.0
2024-07-09,31.006136608880603,37.207595857713926,4.08760229649852,2.519803807089633,1.0875429334311026,1.573874245128972,0.0,0.5761282120411451,0.0
2024-07-10,30.987205965029936,37.21748579023977,1.9743733590658785,2.5238257397963624,1.0822230373265915,1.575522578205501,5.362242506513825,0.5763260120103284,0.0
2024-07-11,30.89652812955724,0.0,4.093800028866268,2.532067405179005,1.0941770125308687,1.5765115780514178,5.366396305866677,0.5791611449019576,0.0
2024-07-12,30.931428483586547,37.217551591696186,4.098679094772793,2.5469683361908233,1.076711736785234,1.5800060441736583,5.366066639251371,0.5857544772080716,0.0
2024-07-15,30.969010477731395,0.0,4.10547022704809,2.546440869606334,1.0564435695429466,1.5887408248794754,5.365671039313004,0.5831830776086872,0.6577749624541868
2024-07-16,30.927716437498205,0.0,4.134810555810298,2.5490782025287797,1.0465259450214128,1.5931583575245718,5.370747905188712,0.5828983775197091,0.0
2024-07-17,30.922937590242732,0.0,4.135140222425604,2.556660534680811,1.0176325123229133,1.616960287149644,5.376220371002787,0.5825687109044033,0.0
2024-07-18,30.931858764452848,0.0,4.134414955871931,2.562001133848763,1.0070502139716002,1.6214437531178012,5.381165370232373,0.0,0.0
2024-07-19,30.934114145634794,37.255247452689964,4.158942152050676,2.5640450668636587,1.0149345866765744,1.6264546856704483,5.38446203638543,0.5832280441350148,0.0
2024-07-22,31.042384903766575,37.25511558604384,4.158744352081492,2.5713636657234455,1.0050445882174033,1.6134658210274033,5.391780635245216,0.6102607065900828,0.0
2024-07-23,31.1444164574704,37.25511538824387,4.170348616940254,2.588440396396281,0.952100261665953,1.6293557518851383,5.3970553010901074,0.6186342386188477,0.0
2024-07-24,31.107823463171464,0.0,4.178919948938201,2.594374395471784,0.9474849290516729,1.6360809508373746,5.398835500812758,0.619689171787826,0.0
2024-07-25,31.15054476204896,37.25343422037246,4.1732496831549435,2.598132594886269,0.9427044993964481,1.636542484098803,5.400483833889287,0.6264143707400625,0.6586320956539816
2024-07-26,31.123425726940685,37.25346679143405,4.150898286637217,2.6045940605462605,0.9451772627445331,1.645905015973485,5.405494766441934,0.6357769026147444,0.0
2024-07-29,31.087338111563014,37.25214812497283,4.13725008876356,2.6086819265760517,0.9367883023181718,1.6463006159118516,5.407538699456829,0.6364362358453559,0.0
2024-07-30,30.97531212101629,37.252147861239536,4.144898354238652,2.6487034536741643,0.9460371651438964,1.6575092808322458,5.414329831732126,0.0,0.0
2024-07-31,30.982144329751854,0.0,4.146085154053754,2.647186987243758,0.9469335946042358,1.6588279472934686,5.416703431362327,0.6374911690143341,0.0
2024-08-01,30.964474199171466,0.0,4.151557619867829,2.640725521583766,0.9521139098638266,1.6609378136314252,5.418747364377223,0.6373593023682119,0.0
2024-08-02,30.91358705823285,37.26441145932891,4.172260683309027,2.646791387305391,0.9783230651138609,1.67102561205978,5.422769297083953,0.6372274357220896,0.0
2024-08-05,30.906109823797777,37.26686991514589,4.221512875635699,2.651208919950488,1.005158389133007,1.6753772113818148,5.426197829883132,0.6418427683363694,0.6599507621152044
2024-08-06,30.882603407326663,37.26126808815197,4.245446671906894,2.6572088523490516,1.0262821071753354,1.667860812552845,5.4299560292976174,0.6431614347975924,0.6602804287305101
2024-08-07,30.866216602946338,37.25652088889157,4.273798000823184,2.629516856663372,1.00557587893463,1.6809156105189509,5.434505428588836,0.6397988353214742,0.0
2024-08-08,30.796498839008134,37.22478467503596,4.308017395491917,2.630967389770717,0.9787669282447086,1.6798606773499727,5.43648342828067,0.6388098354755569,0.0
2024-08-09,30.794903648189997,37.25214700410634,4.292588997895609,2.6400002550300936,0.9758868288267516,1.6820364770109903,5.4393185611723,0.0,0.0
2024-08-12,32.21393849504243,37.249839337799195,4.28685279878929,2.6463957873670245,0.9776670285494026,1.6862562096869034,0.0,0.6396669686753519,0.0
2024-08-13,32.224150907451374,37.25214700410634,4.280852866390726,2.647582587182125,0.9356647984932098,1.6912012089164892,5.438922961233932,0.6407878351673912,0.0
2024-08-14,32.200912575871826,37.13399448918077,4.2847429324513335,2.6414507881374387,0.941218494161296,1.68895947593241,5.43991196107985,0.6480405007041168,0.0
2024-08-15,32.20340749281645,37.12278529679379,4.279270466637259,2.6460001874286574,0.9410871549817581,1.6897620163407103,5.440373494341277,0.6468537008890163,0.0
2024-08-16,32.20057367859129,37.122785164927144,4.279468266606442,2.6477803871513084,0.9585589581263761,1.6953004154778462,5.443010827263723,0.6424361682439198,0.0
2024-08-19,32.19398034628517,37.12278463746056,4.305116329277226,2.6544396527804834,0.9114509174656518,1.6929301125137983,5.444659160340252,0.6449416345202431,0.6589617622692873
2024-08-20,32.14992686461523,37.12278450559391,4.30241306303172,2.6529891196731383,0.945010978903773,1.6945784455903268,5.443076760586784,0.6403263019059633,0.0
