date,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,THE CORE SECURITIES COMPANY LTD,MERRILL LYNCH FAR EAST LTD,UBS SECURITIES HONG KONG LTD,BNP PARIBAS
2024-07-23,44.85966800609747,13.0241896122044,8.1455563626659,9.863020174805886,8.41264355055702,5.940284985153888,3.6665493313768103,2.6620560928899644,2.4631251422634506,0.9629067419852099
2024-07-24,45.03173559077627,13.020038669526517,8.042491037613749,9.866236794678988,8.344802351474838,5.941737292856934,3.660376522777532,2.6726565769266224,2.462676237408903,0.9572489259596447
2024-07-25,45.19706340841662,13.08234529065651,7.902901987570968,9.871773023509618,8.372057823728753,5.917513993579848,3.668537138859116,2.679296886959385,2.4671865344921216,0.8413239122270597
2024-07-26,45.204279601397765,13.195263320928486,7.9014804374620775,9.792874580173926,8.340001221885679,5.906225113703562,3.6694426711839867,2.6787371626069025,2.467389811163882,0.8443060794937386
2024-07-29,45.14892063086282,13.207903263805193,7.949265714848782,9.727687621358408,8.292205175255447,5.9245669269013135,3.6760366255709465,2.7385208146966273,2.4751374418379304,0.859755784862537
2024-07-30,45.26043450593085,13.20795861649973,7.923486659003022,9.735044459881491,8.273391280375916,5.910254086821499,3.672989652296282,2.718552277635456,2.4706898793291225,0.8271985822266292
2024-07-31,45.22678270564304,13.210491018064321,7.98919013019157,9.750716964983894,8.279285606553596,5.907460930665368,3.6728708592554544,2.66247575556851,2.467978107334284,0.8327479217399638
2024-08-01,45.22627781677869,13.207993621141787,8.005839987069962,9.751121731039245,8.271170380055294,5.915695971625118,3.673665945529201,2.687681873227718,2.4482291890530568,0.8123234844799295
2024-08-02,45.06833784944659,13.209781621469782,8.077274483099666,9.784868180405379,8.347111767887855,5.936283438810283,3.66663020764287,2.665413764666009,2.4408236925055156,0.8034749940660465
2024-08-05,45.19156978812914,13.173463552793493,8.140113881597602,9.768190608872791,8.33040208639919,5.926926869339917,3.6588928700359813,2.556692540421645,2.4486280531555624,0.8051197492546767
2024-08-06,45.30831358955698,13.191538219431184,7.982191392027994,9.72666761062051,8.35319341500999,5.938795118836153,3.6662349154932246,2.578716801882429,2.439803806850042,0.8145451302914944
2024-08-07,45.44661502983894,13.148782024623642,7.979621531673989,9.690052382243243,8.31230970169856,5.938277201005064,3.6649655981004017,2.588858063643324,2.4253196671082806,0.8051988000645559
2024-08-08,45.482480755231926,13.141325730113726,8.05771937393779,9.64234309518743,8.307639694274908,5.95079209069699,3.658490713277878,2.5461672237626725,2.399887974004435,0.8131533495122457
2024-08-09,45.43972432588162,13.151625761496888,8.019350063315008,9.672996140473687,8.326276080112477,5.963459830763665,3.657343664377567,2.549344507983348,2.3970606582570513,0.8228189673386869
2024-08-12,50.18510137393418,11.992930495655294,7.34301901406122,8.816267520825228,7.613538413118613,5.436070890013292,3.3376868599383824,2.3257630362088406,2.2041790967892325,0.7454432994557159
2024-08-13,50.19508897610312,12.006791320016957,7.340297573755753,8.8081337675961,7.631361413746193,5.434387771201708,3.335550108473486,2.3146884708357813,2.1924476450506223,0.7412529532202771
2024-08-14,50.16977918103124,11.981625327704156,7.354792666718711,8.826856479412125,7.6440502201499,5.429821062259839,3.3357423236159263,2.3220355376676225,2.175571255151253,0.7597259462892253
2024-08-15,50.10499488070589,11.983893267927998,7.365532782670203,8.77626169967164,7.665704912895478,5.4581785942717564,3.337743714472981,2.3628086815253866,2.189836567428428,0.7550448984302423
2024-08-16,50.09091588809553,11.987211616978612,7.366821752283653,8.755393289168538,7.674465179819688,5.466850069741511,3.3406596418063956,2.3659798784488606,2.1973037281283347,0.7543989555288743
2024-08-19,50.169835921883276,11.961368268959808,7.385625279074079,8.681380381438016,7.672102798374358,5.457730551906886,3.3333329647446863,2.3938416831367944,2.195329093544131,0.7494530569379626
2024-08-20,50.12833334582788,11.973149098406461,7.416357692345951,8.659117041481991,7.644093946385552,5.534948417018837,3.3326467171716128,2.3713495124255908,2.1984046338571623,0.7415995950789599
2024-08-21,50.205807128656666,11.960585201049403,7.385360699673791,8.666528385858966,7.63575978890339,5.531111164308428,3.3315021950618187,2.3671851265647486,2.178523013602652,0.7376372963201361
2024-08-22,50.2474335256386,11.96142624943414,7.396937136331538,8.651995217583403,7.627032671000656,5.528584202747173,3.3317390106894424,2.3674429661599343,2.1534687565517574,0.733940263863357
2024-08-23,50.21888986501604,11.965118462502842,7.443876175011203,8.632756432081495,7.625203403221743,5.51521540812039,3.3310100894582786,2.366901117782728,2.1504941222874647,0.7505349245178204
2024-08-26,50.20221249957494,11.961889329031656,7.418720085896482,8.62727584820804,7.6246933833269805,5.535981170252618,3.3289338638544876,2.374029948901214,2.1624572931848407,0.7638065777687431
2024-08-27,50.21662623703031,11.959566455249327,7.394740230744744,8.610212355499629,7.641730754655194,5.56159680252587,3.3288353308619025,2.3674132568870245,2.167465576853131,0.7518129996928578
2024-08-28,50.22906203008177,11.980885717414147,7.404855989279985,8.575433175078938,7.673028480449287,5.507169582983804,3.3287991183601777,2.3899053489371513,2.1438055517620906,0.76705500565264
2024-08-29,50.15496073266663,12.205532581322801,7.261077732534608,8.586604370969086,7.667581056474557,5.450265364154856,3.3329415127925,2.4439631448251347,2.1487512597393494,0.7483222445204781
2024-08-30,51.29012970067299,9.897244517290007,7.732026793927335,8.761990874616142,7.870842313178987,5.52081382065477,3.414666692362403,2.5469664668713956,2.200062161523826,0.7652566589021468
2024-09-02,51.69334357351729,9.806171659356952,7.830425934908855,8.667887038027619,7.761153159124719,5.4282379537589005,3.3645033581666524,2.5203222262662384,2.1656451039573716,0.7623099929154018
2024-09-03,51.621072006192705,9.757929352564712,7.975108762897484,8.658871862794634,7.758098315463445,5.407145444662446,3.335502486794,2.4676204681855265,2.177217642743489,0.8414336577015626
2024-09-04,51.69690475775972,9.747538253016899,7.997955860020663,8.636028828076201,7.7841224321717135,5.423218896649124,3.3303956240700123,2.4172205845659698,2.152209328460456,0.8144054352092435
2024-09-05,51.67294917531019,9.74925938727446,7.863473302093771,8.672014817048785,7.822716150869378,5.469560969310783,3.330616499092439,2.416182991422317,2.141758161707948,0.8614685458699312
2024-09-09,51.66895740395685,9.761458406562106,7.8086883696308025,8.690343041303054,7.827183106836548,5.462008927539303,3.32657510314016,2.4916311088913847,2.138579947038931,0.8245745851008577
2024-09-10,51.628158170779784,9.46332230057378,8.178858672215092,8.653945811861682,7.836223767220493,5.479234246751343,3.3151247069742595,2.5896845573860587,2.140437801296806,0.7150099649406964
2024-09-11,51.581506638780475,9.689078157704238,8.014048522322277,8.533787371150005,7.787583371075094,5.4763361014189895,3.3107948685909543,2.586300217518805,2.124559965666525,0.8960047857726426
2024-09-12,51.678919560639294,9.701114976853423,8.102416828032776,8.454970166591764,7.760546870718035,5.440318217077408,3.306387967296413,2.5802496310488654,2.131405240699108,0.8436705410429176
2024-09-13,51.91285365591571,9.807761099241079,7.996356588846669,8.429225378972733,7.691332730414335,5.4266392925068905,3.3030717623269368,2.5925077103506764,2.1106270072144238,0.7296247742105436
2024-09-16,51.934905846714884,10.043239043742023,7.869761743271241,8.473978193664074,7.596772923309951,5.439596121241299,3.290041250183693,2.516310704325996,2.1087537108344656,0.7266404627123715
2024-09-17,51.935324193897955,9.9784710922449,7.970357347476555,8.49964455604063,7.477102954711635,5.437506253495146,3.284182195463945,2.551829670709686,2.1320868043744676,0.7334949315850714
2024-09-19,51.82433708649092,10.05772001542904,7.9539800693653895,8.49275446235573,7.471041767151386,5.419585329862769,3.2764919007897895,2.553800945439578,2.0981916528899327,0.8520967702254637
2024-09-20,51.82915872977014,9.99909049949972,8.056257204161922,8.493523971012836,7.471718700806175,5.410571573437463,3.273091355821341,2.5295021028908247,2.0899786368517024,0.8471072257478703
2024-09-23,51.94482184916074,10.11166940012423,7.931191196657027,8.518350972074474,7.352699618486207,5.417741063387852,3.2530458041965913,2.525130466292401,2.0975679718427513,0.8477816577777245
2024-09-24,52.158148447523814,10.0292310998753,8.026947582621,8.483388162206936,7.19379361681346,5.453255912267622,3.242345058318366,2.467333110424604,2.098602405477055,0.8469546044718418
2024-09-25,52.23829121112313,10.059590117824683,7.933129805731603,8.417838453378312,7.13933606678083,5.43033007895767,3.240726467594736,2.5313846186126,2.1111105497411233,0.8982626302553103
2024-09-26,52.39750683967691,10.126337782277627,8.061028353635882,8.315336843838656,6.970141826159853,5.384444483995872,3.228135083940336,2.5605495782385637,2.1009269717759076,0.8555922364603887
2024-09-27,52.79272037646429,10.293490227486913,7.816399241584629,8.191056714366804,6.77465694139931,5.400109523299468,3.214697975578671,2.5436309700860376,2.0865139277243707,0.8867241020095078
2024-09-30,52.7900965454777,10.254345295806285,7.921024764115553,8.1581612488004,6.844356775750493,5.352610259243596,3.1736728216009764,2.543042246040087,2.0473138427300457,0.915376200434864
2024-10-02,53.13537288548491,9.970618329191652,7.972606423544816,8.014018942860584,6.619263415676557,5.4627787040101214,3.1644555535476147,2.6391334309387413,2.076765987190787,0.9449863275542132
2024-10-03,53.1254283173475,9.886246871694638,7.880420267074618,7.942235696588608,6.54907158649596,5.756974401385982,3.0863920265860565,2.689294152841356,2.0850007085306412,0.998935971454637
2024-10-04,53.27185078776243,9.826091350737705,7.941035137247156,7.9331910804168295,6.541613505290085,5.938326317553548,3.0376407536864,2.518341928695337,2.041075421421178,0.9508337171893297
2024-10-07,53.385109985777035,9.818281330873385,7.8759490652707,7.915243654156134,6.52681427446077,6.051422229760424,3.0016871393777667,2.471199643328577,2.01458873852803,0.939703938467183
2024-10-08,53.54110831259554,9.779178057573336,7.684110573552852,7.8995933976904436,6.513909262086878,6.232522398870057,2.9749443211891644,2.511071600670207,1.9327199196285343,0.9308421561429794
2024-10-09,53.48909930148158,9.77345375302403,7.5762455269819045,7.90093783274519,6.515017866987726,6.31789643204874,2.96473959530199,2.597229434617991,1.9214458864468094,0.9439343703640366
2024-10-10,53.36524715098473,9.837042706324226,7.622690934445774,7.852180798948541,6.227236598249001,6.337987198738455,2.9526980715058913,2.745006448884808,1.9656605944442223,1.094249497474358
2024-10-14,53.7719097137318,9.722711723853353,7.763684393577483,7.837726506591268,6.044865164098506,6.336316417908533,2.92973310980267,2.6224829571185415,1.9439189316346972,1.0266510816831427
2024-10-15,53.85867852137736,9.762649429776198,7.8059432587856605,7.813043959739901,6.048802315495808,6.336649229205693,2.918528924301211,2.590460160206875,1.9362833492682758,0.9289608518430242
2024-10-16,53.89918975685799,9.72100929184887,7.850397209201956,7.800560731754867,6.067014837044231,6.340264497788373,2.917321889179342,2.5566705179308413,1.9216272052901624,0.9259440631033687
2024-10-17,53.911359176517514,9.674982152293216,8.021977684805993,7.759622342405965,5.8973585684598016,6.375279381907991,2.9109475399804277,2.5638579872668545,1.9337863700929756,0.9508287962692525
2024-10-18,54.03507850256618,9.691376890476162,7.955084150253803,7.7587043837778245,5.895512579934723,6.375113977873443,2.9018810541661666,2.5346098857068804,1.8945248165444522,0.9581137587003633
2024-10-21,53.93549730352872,9.679121731501022,8.027427815560289,7.7668761161569275,5.8539358707644995,6.377145535496622,2.895959098701661,2.50573466372487,1.9082787675185655,1.0500230970468163
2024-10-22,54.14281786482158,9.669935442588093,8.017148252934016,7.765922983719428,5.825266244788501,6.368999603771646,2.875929027924021,2.492318706392237,1.9000271313092603,0.9416347417512171
2024-10-23,54.10052889190585,9.681696956249327,7.9581290920137935,7.7489206405898665,5.88981285287544,6.386397286409354,2.8760385728766433,2.5498230182807844,1.8881106999878956,0.9205419888110389
2024-10-24,54.12261108094811,9.673088960630274,7.955048018755155,7.756219554468405,5.898855994414495,6.372181659413198,2.8730980876653036,2.5236708280936484,1.8915414385633034,0.9336843770481077
2024-10-25,54.124387744271196,9.689027084095233,7.930566596404839,7.7850497041404925,5.926888238474784,6.400385779669021,2.8622291416601464,2.479592677123362,1.8854587848331839,0.9164142493277398
2024-10-28,54.0931458787969,9.669947336648777,8.064073495664353,7.742951820118277,5.902987992724841,6.395238463516985,2.8582602612671226,2.478048934324211,1.8796986774064457,0.9156471395320883
2024-10-29,53.999539159269936,9.778637771018428,8.022778538868414,7.716533368745146,5.898933103566565,6.436399770854371,2.862323598077801,2.479061780342689,1.8830945552292149,0.9226983540274294
2024-10-30,54.038879594921376,9.771895658779533,8.037221230415414,7.7087677189932675,5.90167469695957,6.427273767857746,2.860595340136129,2.4426007833864527,1.8814040982784535,0.9296871102720644
2024-10-31,54.024752234507744,9.732125352991442,8.019841063564982,7.715985149025249,5.982154702788137,6.410643618732928,2.8525619847899386,2.4531684779864618,1.8844647839941313,0.9243026316189815
2024-11-01,54.0053831192568,9.746254615299716,8.011786939093168,7.701235519890612,5.966436229015942,6.4172101261407475,2.8542935280159107,2.466884789148377,1.8951715891946421,0.9353435449440813
2024-11-04,54.0248411385004,9.673151039132799,8.143703680807603,7.683675832247971,5.9401430127048895,6.399991433291323,2.8343084527519853,2.4585028139140257,1.8825454039739207,0.9591371926750836
2024-11-05,54.034797845612474,9.71348071698587,8.095977163894338,7.670453198208738,5.928931664102776,6.402080526347814,2.8276398179185818,2.444128142714759,1.9306999737387391,0.9518109504759118
2024-11-06,54.19507550708151,9.708296811323203,8.207317246412833,7.653366024195273,5.916018661546741,6.360379410435731,2.821209005318525,2.2735520333147288,1.921649052164062,0.9431362482073917
2024-11-07,54.15309546534986,9.72576696311347,8.17790090359668,7.674828234272998,5.942595482879296,6.408108489495404,2.820792229571639,2.2487499093978967,1.9116778296202113,0.9364844927025464
2024-11-08,54.17141898201777,9.62714976657431,8.215993840333367,7.683811610222353,6.000649851648813,6.3749451617920005,2.8202106628030505,2.2600128561003685,1.9075391346470512,0.9382681338609181
2024-11-11,54.15850132739786,9.626936394850064,8.225719225852917,7.702514394695662,6.058154093194975,6.363463122031209,2.7953807523379695,2.26118395896509,1.8976352968543435,0.9105114338199108
2024-11-12,54.16546085169877,9.632921654070458,8.195010026133001,7.706315055433835,6.066482122145245,6.363803296443327,2.792932684106024,2.263822717273536,1.9034015239852087,0.9098500687105961
2024-11-13,54.20167432210857,9.630752359537352,8.177014516162332,7.705727096549262,6.074864769246411,6.3351113616712755,2.7942612288074815,2.259412577109798,1.8773626428121977,0.9438191259953183
2024-11-14,54.287004382442596,9.712654208754213,8.057987022236086,7.633976081163271,6.057744865497986,6.350622417389923,2.7893505930881157,2.2735840941516567,1.863046612148061,0.9740297231280944
2024-11-15,54.2452638154712,9.6299950749947,8.163874085212717,7.634600848759495,6.044800222858211,6.3550428032763975,2.790650573742844,2.3050530380968657,1.8628323725114577,0.967887165076115
2024-11-18,54.399088163053655,9.59040681849399,8.15633465277623,7.661393246116022,6.044055574364628,6.290736922732925,2.7784000597839276,2.2393458265528006,1.8869158802891552,0.9533228558366672
2024-11-19,54.350768502157464,9.592862407234469,8.181004737121246,7.678310753473992,6.059756144589441,6.271124123131969,2.778550881708504,2.239905247179704,1.85916195409645,0.9885552493067572
