date,SUCCESS SECURITIES LTD,GET NICE SECURITIES LTD,SHANGHAI COMMERCIAL BANK LTD,HANG SENG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,DBS BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.
2024-09-26,0.0,31.266945310324257,34.602872873447396,10.466560006571298,6.620070189404642,3.853541680820174,3.683835385268525,2.6008834146926603,2.779748110086545,4.125543029384501
2024-09-27,0.0,31.26261822623127,34.59808412484096,10.465111522081903,6.633291531790637,3.8530083828358888,3.683325573218177,2.6005234741503487,2.7793628206752286,4.124674344175586
2024-09-30,0.0,31.26475927562828,34.6004536067128,10.465828234948107,6.63374581891181,3.8532722596876305,3.683577829185366,2.6007015734117718,2.7795531679151244,4.118108233599114
2024-10-02,0.0,34.082567954377744,31.628714558540988,10.416974736091285,6.718366354651208,3.8444731721354257,3.7247691030097356,2.7174848525275825,2.766578475949726,4.100070792716306
2024-10-03,0.0,33.97061126400612,31.677245577049952,10.382756363323754,6.749469966418975,3.829185977783055,3.712533733253277,2.8113579679932514,2.785258367186606,4.081580782985011
2024-10-04,0.0,33.953660632896046,31.63339015683772,10.377575583041269,6.7856661582559905,3.8420379938825673,3.7165863360713014,2.809955158621837,2.7838685809751795,4.097259399418088
2024-10-07,0.0,33.9419354865559,31.624237176939808,10.37399191665305,6.783322878408166,3.8407112309685547,3.7418665797676063,2.808984802706452,2.7829072334828844,4.102042694517576
2024-10-08,0.0,33.92811623125601,31.500429570846123,10.369768208113154,6.847238294616707,3.839147508444395,3.858945917938729,2.8078411414047126,2.7935754647993494,4.054937662580822
2024-10-09,0.0,34.26013388723841,31.208612502706245,10.375250696043393,6.774113711496127,3.8411772625772787,3.8497335780444675,2.809325644708821,2.8245712123943907,4.057081504790871
2024-10-10,0.0,34.533559018158385,30.980584004149648,10.379356268472026,6.847667405953057,3.842697248158807,3.733135079950034,2.8104373180792166,2.8138767316138207,4.058686925465009
2024-10-14,0.0,34.57561092312856,30.874350996578283,10.386932523479459,6.876307375942832,3.845502167222703,3.735860025757011,2.8124887545318655,2.816521719068466,4.076425514290822
2024-10-15,0.0,34.583473620684885,30.873708221530173,10.388406668538659,6.8713720390415745,3.8436834352434155,3.736384910256759,2.8128879114910714,2.8169214483982663,4.0731617448152
2024-10-16,0.0,34.59052794017264,30.85901663052214,10.390525690485742,6.872773658040704,3.844467467849838,3.7371470561642313,2.8134616829470143,2.818087287526348,4.073992586291345
2024-10-18,0.0,34.589096396261596,30.857739516815336,10.390095674100607,6.871602394673376,3.8443083629063035,3.736992392722201,2.813345246622361,2.8232916437685756,4.073528372129638
2024-10-22,0.0,34.59422197303449,30.862312163383475,10.391635327881824,6.87262066139024,3.83070999416515,3.736895719164437,2.813762141498279,2.8237100125489167,4.074132006933182
2024-10-24,0.0,34.59739291918331,30.86514103838966,10.392587837120173,6.873250613699485,3.824260455522678,3.7372382473212604,2.81402005417032,2.8239688370542524,4.072139997538868
2024-10-25,0.0,34.59647226203118,30.871711530145955,10.39231128419193,6.873067712422771,3.8194279175412458,3.737138797194205,2.8139451714271275,2.823893689568045,4.072031635477543
2024-10-28,0.0,34.93838095780067,31.159233671343788,10.489099555535663,6.007226821560863,3.8549999684115024,3.7719444524580386,2.8401527090335854,2.8501938822006045,4.088767981655287
2024-10-30,0.0,34.916082368361444,31.20316965071554,10.482405137587145,6.003392852129821,3.8525396065049886,3.7695370987562593,2.838340049217438,2.848374813844857,4.086158422882505
2024-10-31,0.0,34.91569508615302,31.209719542652657,10.480498480392995,6.002300887831495,3.845577035457813,3.768851453149777,2.837823780154828,2.8478567195469195,4.091677014660493
2024-11-01,0.0,34.87448845415618,31.232584591917934,10.459197435611694,5.990101536794736,3.8675187333993186,3.7722017881076964,2.8784779517738825,2.842068605209869,4.083360903028688
2024-11-04,0.0,34.864424874185445,31.255105920303333,10.456179270342794,5.994322806694855,3.866402700282072,3.7711132601882045,2.8776473218680207,2.8412484817913293,4.073555364343946
2024-11-05,0.0,34.86328525465898,31.25705908574111,10.455837487390353,5.994126869221541,3.866276318503789,3.770986423384609,2.877585387619447,2.8411556094074863,4.073687564072684
2024-11-06,0.0,34.85509396893661,31.272615727470505,10.453380841331315,5.992718522145718,3.865367919488172,3.770100413158564,2.8769092859862146,2.8404880671145447,4.073325254368358
2024-11-07,0.0,34.856130731429694,31.27354592938234,10.453691776461543,5.992896775166667,3.8654828946044195,3.7672383585014657,2.8769948594649835,2.8405722598269327,4.073446415161947
2024-11-08,0.0,34.855197735707605,31.272708828879374,10.453411961992671,5.992736363011421,3.8653794270384907,3.7671375206517443,2.8795945555991054,2.840496226093093,4.073337381026494
2024-11-11,0.0,34.84760293578147,31.280761980058053,10.45113420781096,5.991430571145533,3.8645371772366226,3.7661025876210217,2.8858060814410273,2.8398772939988977,4.072747164906422
2024-11-12,0.0,34.847124329677555,31.289252644535985,10.450990669197017,5.991348283269153,3.864484100671063,3.756422607227767,2.8875505035554565,2.8398382903804924,4.072988571485508
2024-11-13,0.0,34.842462260501605,31.285958478910338,10.4495924694203,5.990546722718861,3.8639670854925297,3.755920049200788,2.8993536107102895,2.839458358813313,4.072740964231976
2024-11-14,0.0,34.845673774467286,31.288842181325904,10.450555633616343,5.991098885890289,3.864323236678552,3.75626624143031,2.8996208511407344,2.8397200785536154,4.063899116896963
2024-11-15,0.0,34.85323871091159,31.31734476541641,10.452824431450116,5.992399543257301,3.865162174673406,3.757081720435486,2.9186888394134094,2.8694812798710716,3.9737785345712076
2024-11-18,0.0,34.77938806236502,31.25098633483078,10.430675905460642,6.2114758143799715,3.856972269118146,3.7491208269300644,2.9130979490485385,2.8426275916564396,3.9656552462103924
2024-11-19,0.0,34.76906982712356,31.241714894288116,10.427581366605414,6.239597364103173,3.8558279951843666,3.7480085500098506,2.912233700664818,2.841784250188154,3.964182051832547
2024-11-20,0.0,34.71325411532714,31.230956401669246,10.410841693120158,6.2956334775333,3.849638132033415,3.7419837748668847,3.0745896141742137,2.837222258409692,3.8458805328659493
