date,CMB WING LUNG BANK LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,ENLIGHTEN SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA CITIC BANK INTERNATIONAL LTD,CITIBANK N.A.,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,THE HONGKONG AND SHANGHAI BANKING,TOTAL_CCASS_PCT
2024-09-05,6.38611111111111,3.0800925925925924,1.5162037037037037,0.0,0.6171296296296296,0.6111111111111112,0.4476851851851852,0.19722222222222224,0.3282407407407407,13.183796296296297
2024-09-09,6.38611111111111,3.0800925925925924,1.5175925925925926,0.0,0.6171296296296296,0.6111111111111112,0.44861111111111107,0.19722222222222224,0.3277777777777778,13.185648148148148
2024-09-12,6.38611111111111,3.0800925925925924,1.5175925925925926,0.0,0.6162037037037037,0.6111111111111112,0.44861111111111107,0.19722222222222224,0.3277777777777778,13.184722222222224
2024-09-13,6.38611111111111,3.0800925925925924,1.6083333333333334,0.0,0.6162037037037037,0.6111111111111112,0.44861111111111107,0.19722222222222224,0.3277777777777778,13.275462962962964
2024-09-24,6.38611111111111,3.0708333333333333,1.6106481481481483,0.0,0.6157407407407407,0.6199074074074074,0.44861111111111107,0.19722222222222224,0.3277777777777778,13.27685185185185
2024-09-30,6.38611111111111,3.0708333333333333,1.6125,0.0,0.6138888888888889,0.6199074074074074,0.44861111111111107,0.19722222222222224,0.3277777777777778,13.27685185185185
2024-10-03,6.38611111111111,3.0708333333333333,1.613888888888889,0.0,0.6064814814814814,0.6324074074074074,0.44861111111111107,0.19722222222222224,0.32314814814814813,13.278703703703703
2024-10-04,6.39861111111111,3.0708333333333333,1.6027777777777776,0.0,0.6064814814814814,0.6324074074074074,0.44675925925925924,0.19722222222222224,0.32314814814814813,13.27824074074074
2024-10-08,6.38611111111111,3.0689814814814818,1.601388888888889,0.0,0.5912037037037037,0.6324074074074074,0.44675925925925924,0.19722222222222224,0.32314814814814813,13.247222222222222
2024-10-09,6.38611111111111,3.0689814814814818,1.6027777777777776,0.0,0.5912037037037037,0.6342592592592592,0.44675925925925924,0.19722222222222224,0.32314814814814813,13.250462962962963
2024-10-22,6.38611111111111,3.0689814814814818,1.5990740740740739,0.0,0.5912037037037037,0.5884259259259259,0.44675925925925924,0.19722222222222224,0.3259259259259259,13.203703703703704
2024-10-23,6.38611111111111,3.041666666666667,1.6046296296296294,0.0,0.5912037037037037,0.5884259259259259,0.44675925925925924,0.19722222222222224,0.3259259259259259,13.181944444444444
2024-10-24,6.38611111111111,3.041666666666667,1.6041666666666665,0.0,0.5912037037037037,0.5884259259259259,0.4472222222222222,0.19722222222222224,0.3259259259259259,13.181944444444444
2024-10-28,6.38611111111111,3.041666666666667,1.6050925925925927,0.0,0.5912037037037037,0.5884259259259259,0.4472222222222222,0.19722222222222224,0.3259259259259259,13.18287037037037
2024-11-07,6.38611111111111,3.041666666666667,1.5152777777777777,0.0,0.5912037037037037,0.5902777777777778,0.4472222222222222,0.19722222222222224,0.32314814814814813,13.092129629629628
2024-11-11,6.38611111111111,3.041666666666667,1.5162037037037037,0.0,0.5912037037037037,0.5902777777777778,0.4472222222222222,0.19722222222222224,0.32314814814814813,13.093055555555555
2024-11-18,6.38611111111111,3.041666666666667,1.5162037037037037,0.0,0.5912037037037037,0.5902777777777778,0.4472222222222222,0.19722222222222224,0.32546296296296295,13.095370370370372
2024-11-20,6.38611111111111,3.041666666666667,1.5157407407407408,0.0,0.5912037037037037,0.5902777777777778,0.4472222222222222,0.19722222222222224,0.32546296296296295,13.094907407407408
2024-11-28,6.38611111111111,3.041666666666667,1.5189814814814815,0.0,0.5912037037037037,0.5902777777777778,0.4472222222222222,0.19722222222222224,0.32546296296296295,13.098148148148148
2024-12-11,6.38611111111111,3.041666666666667,1.5162037037037037,0.0,0.5912037037037037,0.5949074074074074,0.4476851851851852,0.19722222222222224,0.32546296296296295,13.100462962962963
2024-12-13,6.38611111111111,3.041666666666667,1.5157407407407408,0.0,0.5912037037037037,0.5949074074074074,0.4476851851851852,0.19722222222222224,0.32546296296296295,13.100000000000001
2024-12-18,6.38611111111111,3.041666666666667,1.5212962962962964,0.7240740740740741,0.5912037037037037,0.6101851851851853,0.4476851851851852,0.19722222222222224,0.32546296296296295,13.844907407407408
2024-12-27,6.3865740740740735,3.041666666666667,1.5226851851851853,0.7240740740740741,0.5912037037037037,0.6171296296296296,0.4476851851851852,0.19722222222222224,0.325,13.853240740740741
2024-12-30,6.390740740740741,3.041666666666667,1.5185185185185186,0.7240740740740741,0.5912037037037037,0.6166666666666667,0.4476851851851852,0.19722222222222224,0.325,13.852777777777778
2025-01-02,6.390740740740741,3.041666666666667,1.5189814814814815,0.7240740740740741,0.5912037037037037,0.6166666666666667,0.4476851851851852,0.36666666666666664,0.325,14.022685185185185
2025-01-07,6.390740740740741,3.064814814814815,1.5171296296296295,0.7240740740740741,0.5912037037037037,0.6166666666666667,0.44305555555555554,0.36666666666666664,0.325,14.039351851851853
2025-01-09,6.390740740740741,3.064814814814815,1.5162037037037037,0.7240740740740741,0.5912037037037037,0.6166666666666667,0.44305555555555554,0.36666666666666664,0.325,14.038425925925926
2025-01-14,6.390740740740741,3.064814814814815,1.5157407407407408,0.7240740740740741,0.5912037037037037,0.6162037037037037,0.44305555555555554,0.36666666666666664,0.325,14.0375
2025-01-15,6.390740740740741,3.129166666666667,1.5157407407407408,0.7240740740740741,0.5912037037037037,0.5638888888888889,0.44305555555555554,0.36666666666666664,0.325,14.049537037037037
2025-01-17,6.390740740740741,3.129166666666667,1.5162037037037037,0.7240740740740741,0.5912037037037037,0.5638888888888889,0.4425925925925926,0.36666666666666664,0.325,14.049537037037037
2025-01-27,6.391203703703703,3.129166666666667,1.5157407407407408,0.7240740740740741,0.5912037037037037,0.5638888888888889,0.4425925925925926,0.36666666666666664,0.325,14.049537037037037
2025-02-19,6.391203703703703,3.147222222222222,1.5152777777777777,0.7240740740740741,0.5912037037037037,0.5638888888888889,0.4425925925925926,0.36666666666666664,0.325,14.06712962962963
2025-02-20,6.391203703703703,3.158333333333333,1.5152777777777777,0.7240740740740741,0.5912037037037037,0.5638888888888889,0.4425925925925926,0.36666666666666664,0.325,14.07824074074074
2025-02-21,6.391203703703703,3.1675925925925927,1.5152777777777777,0.7240740740740741,0.5912037037037037,0.5638888888888889,0.4425925925925926,0.36666666666666664,0.325,14.0875
2025-02-28,6.391203703703703,3.1675925925925927,1.5152777777777777,0.7240740740740741,0.5912037037037037,0.5638888888888889,0.44305555555555554,0.36666666666666664,0.325,14.087962962962964
2025-03-06,6.391203703703703,3.1921296296296293,1.5152777777777777,0.7240740740740741,0.5912037037037037,0.5638888888888889,0.44305555555555554,0.36666666666666664,0.325,14.1125
2025-03-10,6.391203703703703,3.199537037037037,1.5152777777777777,0.7240740740740741,0.5912037037037037,0.5638888888888889,0.44305555555555554,0.36666666666666664,0.325,14.119907407407409
2025-03-11,6.390740740740741,3.199537037037037,1.5157407407407408,0.7240740740740741,0.5912037037037037,0.5638888888888889,0.44305555555555554,0.36666666666666664,0.325,14.119907407407409
2025-03-12,6.38611111111111,3.209259259259259,1.5152777777777777,0.7240740740740741,0.5912037037037037,0.5638888888888889,0.44305555555555554,0.36666666666666664,0.325,14.124537037037038
2025-03-13,6.38611111111111,3.2296296296296294,1.5101851851851853,0.7240740740740741,0.5912037037037037,0.5638888888888889,0.44212962962962965,0.36666666666666664,0.325,14.13888888888889
2025-04-02,6.38611111111111,3.241203703703704,1.5101851851851853,0.7240740740740741,0.5912037037037037,0.5638888888888889,0.44212962962962965,0.36666666666666664,0.325,14.150462962962962
