date,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,ICBC (ASIA) SECURITIES LTD
2024-07-11,3.7304946478651346,28.581104909130158,10.608442951289634,19.22825645994299,15.870329844675702,0.0,9.952824242099329,7.102939225766561,4.92560771923049,0.0
2024-07-12,3.7301336817500745,28.578339374964578,10.607416468530529,19.22639591605032,15.868794216870407,0.0,9.961537290173025,7.102251938792619,4.925131112868451,0.0
2024-07-16,3.7306751571220294,28.582487876938817,10.594440021425012,19.22918686692989,15.871097770036101,0.0,9.962983331406301,7.103282919137664,4.925846057004184,0.0
2024-07-17,3.729231572003396,28.571427880446254,10.590340501817685,19.221746131182226,15.864956447194455,0.0,9.968801906483787,7.129555560483795,4.923940000388401,0.0
2024-07-18,3.7288708502679166,28.5686642185896,10.589316117589629,19.219886846906224,15.863421859032673,0.0,9.9871832760094,7.119193114908395,4.923463716696159,0.0
2024-07-19,3.728690515567876,28.567282588144536,10.588803999787112,19.218957339645574,15.862654676274824,0.0,9.991536452870598,7.118848818308576,4.9232256094009035,0.0
2024-07-22,3.7288708502679166,28.5686642185896,10.589316117589629,19.219886846906224,15.863421859032673,0.0,10.00169250110772,7.104683889810078,4.923463716696159,0.0
2024-07-24,3.728690515567876,28.567282588144536,10.588803999787112,19.218957339645574,15.862654676274824,0.0,10.010881150746435,7.099504120432738,4.9232256094009035,0.0
2024-07-25,3.728690515567876,28.567282588144536,10.588803999787112,19.218957339645574,15.862654676274824,0.0,10.020553499684356,7.0898317714948185,4.9232256094009035,0.0
2024-07-31,0.486875,3.69125,1.3684375,2.4837499999999997,2.0500003125,0.0,1.295625,0.9112500000000001,0.63625,0.0
2024-08-01,3.7673799113195523,28.55277406473766,10.588803999787112,19.218957339645574,15.862654676274824,0.0,10.035062023091234,7.051142375743141,4.9232256094009035,0.0
2024-08-05,3.7675621171967664,28.55415499349128,10.579643300857414,19.219886846906224,15.863421859032673,0.0,10.04038376803657,7.051483397782908,4.923463716696159,0.0
2024-08-07,3.768291116984131,28.530655979425422,10.581690395895746,19.223605775218143,15.866491332289485,0.0,10.052001208078336,7.0528478158701695,4.924416376238569,0.0
2024-08-12,3.768108840590397,28.52927592015682,10.581178547870982,19.22267590822367,15.836701191460053,0.0,10.056352091896581,7.081529323009425,4.924178176792073,0.0
2024-08-13,3.768108840590397,28.52927592015682,10.581178547870982,19.22267590822367,15.831864081266742,0.0,10.061189202089892,7.081529323009425,4.924178176792073,0.0
2024-08-16,3.768108840590397,28.52927592015682,10.581178547870982,19.22267590822367,15.827026971073426,0.0,10.066026312283205,7.081529323009425,4.924178176792073,0.0
2024-08-21,3.4389139512434843,26.036860698888407,9.656770562702338,17.543317127396158,14.431080136164217,8.749585945269045,9.186623790163916,6.46286267602113,4.4939851121513055,0.0
2024-08-27,3.4716547012730574,25.922571808869684,9.66188887917915,17.552615499820774,14.438728949477067,8.754223432472264,9.23566155262336,6.466288145882642,4.496367030402,0.0
2024-08-28,27.375275740114702,19.500606058833984,7.268286889367752,13.204192959244548,10.861729588793887,6.5854832524465765,6.957619541182204,4.864352917044292,3.3824530529720556,0.0
2024-08-29,27.37254726203845,19.4986624445811,7.267562463370448,13.202876904884187,10.86064700641793,6.5848268810972455,6.966893022028721,4.863868089771124,3.3821159258107953,0.0
2024-09-02,27.406729914304446,19.506439227146835,7.270461034142733,13.208142696998044,10.864978631242565,6.517656725921784,6.97631895344713,4.865807978964554,3.383464837831909,0.0
2024-09-03,27.416110830891142,19.50838439215569,7.271186038139474,13.20945980140172,10.866062077381008,6.485066953330337,6.993634479655064,4.866293193067972,3.3838022339775926,0.0
2024-09-04,27.413377192964234,19.506439227146835,7.270461034142733,13.208142696998044,10.864978631242565,6.484420332622845,7.00290806808628,4.865807978964554,3.383464837831909,0.0
2024-09-12,27.434349025688952,19.441533711827343,7.276023095743767,13.218247214850617,10.873290577370478,6.489381055906783,7.011591627807021,4.869530428420056,3.3860532623849844,0.0
2024-09-13,27.429787202484455,19.438300945504565,7.274813228107996,13.216049265600539,10.871482550899042,6.488301992246264,7.027053874739289,4.868720715862906,3.3854902245549443,0.0
2024-09-16,27.397123162405467,19.43636180170651,7.274087500638665,13.21473084687454,10.870398023602993,6.487654726283902,7.066256429191846,4.868235017570289,3.3851524917257874,0.0
2024-09-17,27.367475733182474,19.431838637081093,7.272394699506396,13.21165555924042,10.867868301204005,6.486144941136905,7.111155319883054,4.867102098321081,3.384364710444577,0.0
2024-09-20,27.36019896368593,19.426671883229382,7.270461034142733,13.208142696998044,10.864978631242565,6.484420332622845,7.135853641282034,4.865807978964554,3.383464837831909,0.0
2024-09-24,27.356562029866204,19.424089536512145,7.269494587018019,13.206386966312964,10.86353437243849,6.483558372238699,7.1481978773374895,4.865161177323145,3.3830150809528425,0.0
2024-09-25,27.35474392551973,19.349693133904445,7.269011459800098,13.205509275997985,10.862812387013602,6.483127477974854,7.227474251458384,4.864837840981643,3.382790247349257,0.0
2024-09-26,27.35474392551973,19.349693133904445,7.269011459800098,13.205509275997985,10.862812387013602,6.483127477974854,7.230797228125721,4.861514864314306,3.382790247349257,0.0
2024-09-27,27.35474392551973,19.349693133904445,7.269011459800098,13.205509275997985,10.862812387013602,6.483127477974854,7.247412111462408,4.844899980977621,3.382790247349257,0.0
2024-09-30,5.1450000000000005,3.6393750000000002,1.3671875,2.47125,2.0643753125,1.2193749999999999,1.370625,0.9112500000000001,0.63625,0.0
