date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,ABN AMRO CLEARING HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,MERRILL LYNCH FAR EAST LTD,INTERACTIVE BROKERS HONG KONG LTD,CENTALINE SECURITIES LTD,CITIBANK N.A.
2024-07-30,22.64049747010631,31.293310610376995,28.480923513036693,5.322456881233291,4.4658269784143005,1.9716138283276987,2.394827796530583,2.214066194448455,0.0,1.2164767275256751
2024-07-31,22.602937715087034,31.24422015997299,28.43415593091305,5.382479200561493,4.4574417977536,1.967324312552202,2.486531142207829,2.210430549609598,0.0,1.2144791913422008
2024-08-01,22.653912800687674,31.286961558348825,28.474186264688967,5.399633837958857,4.387866900850321,1.9715305189376036,2.3942612927931646,2.2154578594473713,0.0,1.216188966287216
2024-08-02,22.691801287869872,31.273184342190614,28.4616476543683,5.411232437504427,4.2733582469689955,1.9705666270282987,2.4889352588164084,2.2136207278796394,0.0,1.2156534173734448
2024-08-05,22.71948773259438,31.311628534918036,28.49637393389782,5.401061835990392,4.264291288258917,1.9773798044136457,2.3961269502370772,2.216513274047306,0.0,1.217136645642426
2024-08-06,22.642626495216604,31.291600111317642,28.478059111039578,5.413203241874176,4.272278347322566,1.9755342274379348,2.4903704200429724,2.219877879035228,0.0,1.216450166713298
2024-08-07,22.57493069926845,31.31746907689552,28.501427618771807,5.443623827264707,4.34403788864181,1.9844408278133114,2.3965518909875265,2.2194946372813678,0.0,1.2180235330755005
2024-08-08,22.525034167094564,31.3093209754477,28.50246171124607,5.440840967291901,4.310247362620287,1.9839414116475311,2.4916663463837216,2.218828881454704,0.0,1.217658176813522
2024-08-09,22.561184700733193,31.359569452441306,28.53572712039265,5.476545380583884,4.236727688737215,1.9873174228307553,2.399678109098188,2.222389890398014,0.0,1.220860234784794
2024-08-12,22.548155418491234,31.34145902575928,28.519247487449483,5.473382627544936,4.198018762118661,1.987129046480866,2.4942239648789477,2.2211064407247028,0.0,1.2172772265518832
2024-08-13,22.56417360152316,31.363723961309205,28.539507527249107,5.475638914819912,4.223272992745451,1.9938206918527082,2.399996017926607,2.221724313715019,0.0,1.2181419788588288
2024-08-14,22.580014511638634,31.384933311675855,28.558807034386202,5.461473706131493,4.07828526671451,1.9966099610961259,2.497683746559819,2.2232267287166882,0.0,1.2189657330806747
2024-08-15,22.671990578403175,31.51277480266283,28.67513675335766,5.466454507695943,3.8031179142923346,2.0034889026406297,2.4114015967462206,2.2317039497566924,0.0,1.2239309944445118
2024-08-16,22.68550506323036,31.5047523062451,28.66783666051207,5.451080293497588,3.7173864239701615,2.0149363630878874,2.507219212265378,2.2276642700977884,0.0,1.2236194070936686
2024-08-19,22.70944675363239,31.566662805589274,28.723732694904985,5.455041964735698,3.6600926723309897,2.020024484258121,2.415488214782275,2.2235052114713794,0.0,1.2260051982948914
2024-08-20,22.659245517163438,31.496881911266705,28.661200407945604,5.469591153146715,3.752745924437572,2.0080393783183736,2.506554507478886,2.222446194650414,0.0,1.2232950055922918
2024-08-21,22.679207443850117,31.525111911199488,28.68596737245092,5.4744096532826765,3.771104525855648,2.006431203496254,2.412271813379165,2.2244040845531954,0.0,1.2210919919325331
2024-08-22,22.64429166382999,31.477059128138325,28.64180388354061,5.4144383832118965,3.8734911461961903,2.0038239133883313,2.504900319635397,2.220979502636723,0.0,1.2192120594225364
2024-08-23,22.69595862569524,31.53174980970452,28.688846312736178,5.516068305236143,3.699397080446111,2.008466080664786,2.412513910374269,2.2257853337113,0.0,1.2212145414314548
2024-08-26,22.675873482599012,31.5035295433583,28.66431081110599,5.516846637260551,3.6561233538676894,2.0075197286588473,2.506868687629318,2.2487576308299455,0.0,1.220170124690347
2024-08-27,22.718083121484145,31.56362024274266,28.71766753005031,5.518808497243718,3.589418286508974,2.0112565938722864,2.414937555679706,2.2437667817331284,0.0,1.222441390685067
2024-08-28,22.711940154753034,31.55508544392061,28.70990227647285,5.515964212789613,3.51949574132517,2.010809321732297,2.5108559391528056,2.2438360671621322,0.0,1.2221108426914906
2024-08-29,22.739323874947438,31.594291572490114,28.739393267794494,5.498442840272145,3.530313958736665,2.0102364263223285,2.4171954527467756,2.2472182685096223,0.0,1.2235843381804177
2024-08-30,22.806014151546204,31.66629737948164,28.806196113245957,5.445865495514381,3.2631875680766496,2.0105231851422114,2.5195740499203496,2.25598784162099,0.0,1.2263542154516165
2024-09-02,22.83613272947945,31.787588616126953,28.844238782904576,5.524960226579067,3.076241729304206,2.0131783663078417,2.4258668317200582,2.2638189273611586,0.0,1.2279737902166936
2024-09-03,22.81007491544129,31.772706550440443,28.828133979406427,5.56103835100553,3.023475749255645,2.00368856573283,2.5217049571157157,2.261484403271813,0.0,1.2176925283303004
2024-09-04,22.84910940248875,31.82477820679617,28.851772966377492,5.573649539849926,2.98111997986169,1.996286134494904,2.42869012420909,2.2749054655441707,0.0,1.2196881803778052
2024-09-05,22.8751098694941,31.860311463101976,28.899192709202197,5.5897177243123455,2.7482722077280832,2.0001138795692484,2.5287119313785777,2.2774941268112365,0.0,1.2210760884022325
2024-09-09,22.924470265231207,31.934355556033662,28.966355094387573,5.5539662655307955,2.6722851219676507,2.0047621899959776,2.437104534398222,2.2827870752801265,0.0,1.223913897174787
2024-09-10,22.901155552760148,31.904591009629367,28.9393568849245,5.548789668610022,2.672034454094927,1.9984135504573928,2.532226342019212,2.280659394271688,0.0,1.2227731432327387
2024-09-11,22.92283840584927,31.971101173449256,28.99880718225808,5.536153102443364,2.6182661499479827,2.0028723484943622,2.4399088155325535,2.284730614864683,0.0,1.2253222071604482
2024-09-12,22.94826762409274,32.03425498765312,29.05608970346329,5.540243650733359,2.5490205828583727,2.0081977515040204,2.346939327819268,2.290319416535628,0.0,1.226666955340204
2024-09-13,21.335545027278535,32.068870394341914,29.088374944171335,5.521925160933697,4.20240972291145,2.0103312326881206,2.2516492988471772,2.292864270795641,0.0,1.22802994803213
2024-09-16,21.315561740127002,32.01677580000717,29.054240176830653,5.5534395031572865,4.187328984351768,2.0070386989960878,2.347184912577044,2.291634869646054,0.0,1.2267953143069352
2024-09-17,21.855222069257596,32.78659924383161,29.75255864667574,5.646856393323257,1.7966405410758828,2.055277860807674,2.503749464973777,2.3468144485092206,0.0,1.2562813315452421
2024-09-19,21.8343390022823,32.75527104475262,29.724329637801695,5.6414607180979965,1.7902212666460062,2.053314004980262,2.6014113697245307,2.3445720241059584,0.0,1.2550809316086349
2024-09-20,21.87391401486269,32.83721150622712,29.798687907779488,5.643637129890398,1.6720271774052782,2.0587514812227923,2.507614471647737,2.3499356736705277,0.0,1.2582206372939686
2024-09-23,21.99027037760864,32.75702565702282,29.75255036642317,5.634899042418687,1.603039394338838,2.0505564363906976,2.603881189067553,2.354809938405591,0.0,1.2529675983240058
2024-09-24,22.916549309070692,32.65957476336665,29.66167984163559,5.574756217862531,1.0526988839085447,2.0319130256957174,2.4960849905357443,2.3576021952608213,0.0,1.2491407726637078
2024-09-25,22.81817221980532,32.44156589800368,29.4632321349433,5.577129182497294,1.5202102724977284,2.0185171201452374,2.5785606605304463,2.341828956811747,0.0,1.2407835547652466
