date,FUTU SECURITIES INTERNATIONAL,FOSUN INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,TIGER BROKERS (HK) GLOBAL LTD,LONG BRIDGE HK LTD,HAFOO SECURITIES LTD
2024-05-30,51.2504198601484,0.21069345628874164,6.229197838101927,0.0,0.24428226816085988,2.717640233289566,31.99487007236862,3.740572231213167,0.5587956884179669,3.0535283520107486
2024-05-31,50.28728752693321,0.20648790998324157,6.10485994733062,0.0,0.23940627244433804,2.6633947809432605,31.335288484558294,3.665908546803926,0.5596121618386402,4.937754369164472
2024-06-03,49.949467926996014,0.8887699898935854,6.063848760477974,0.0,0.23779799060697934,2.675227394328518,30.97318827655906,3.7393734022947505,0.5677427025741633,4.90458355626895
2024-06-04,51.375180548868556,0.20763119884448725,6.138661531054406,0.0,0.2407318247472316,2.7082330284063554,31.355320173326913,3.7855079441502166,0.6048387096774194,3.5838950409244106
2024-06-05,51.37705806218583,0.20768744544442103,6.1403244740089695,0.0,0.2407970381964302,2.7089666797098397,31.36381422508503,3.7865334256388645,0.5899527435812539,3.5848659061493544
2024-06-06,50.77185424519834,0.20642613534374438,6.1030335666846165,0.0,0.23933464967390655,2.6925148088314486,32.0738347394244,3.7635373661221805,0.586369891701071,3.563094597020284
2024-06-07,50.91831222615689,0.2070704039373387,6.122081507712622,0.0,0.2400816277534362,2.7009183122261566,31.87383710461557,3.7752835964227835,0.5881999879959185,3.574215233179281
2024-06-11,50.566386454420794,0.20568771239492042,6.081201931675908,0.0,0.23847850712454538,2.6530733917605676,32.281046920646276,3.7500745245334763,0.5842723424551363,3.639778214988374
2024-06-12,50.97615781947646,0.20135990895030204,5.95324948200893,0.0,0.23346076400035018,2.62643359500394,31.601832666997403,3.7470452622056207,1.0972655908016458,3.563194910555345
2024-06-13,50.937618478229176,0.20123071538977513,5.949429846306396,0.0,0.23331097436495668,2.595584589810143,31.58155676747645,3.744641138557555,1.3211233923415673,3.435504097523987
2024-06-14,50.92276742762179,0.20117204583224002,5.947695268083618,0.0,0.23324295168955364,2.5948278375462843,31.572349048077204,3.743549374617336,1.3207382139420976,3.4636578325898713
2024-06-17,51.04693770720642,0.2006630605478974,5.9326470075030535,0.0,0.23265282382364919,2.588262665038097,31.49246786482871,3.734077822369569,1.3173966149014134,3.45489443378119
2024-06-18,51.88590008867868,0.20396098137747562,6.030150753768844,0.0,0.23647650014779784,2.6308010641442507,32.01005025125628,4.073307715045817,1.3390481820869051,1.59030446349394
2024-06-19,52.30614180697179,0.204529286222433,6.046952810054542,0.0,0.23713540431586438,2.638131373013991,32.099241166706186,3.806023239269623,1.0671093194213896,1.5947355940241876
2024-06-20,52.3521923202179,0.20428101962874146,6.039612754241051,0.0,0.2368475589898452,2.6349290937620276,32.06027770376292,3.801403321787015,1.0776563934037955,1.592799834206709
2024-06-21,52.36617987064298,0.20193742866340836,5.970323977874681,0.0,0.23413035207351693,2.6047001668178758,31.692469782551434,3.757792150779947,1.597939652901753,1.5745266176944013
2024-06-24,52.07660292790827,0.20082074565615995,5.937309002008207,0.0,0.23283564713757676,2.5902965744055413,31.51721528566023,3.737012136558107,2.1420879536657065,1.5658197270002037
2024-06-25,21.415520723146457,0.3317626694874507,9.808635445715934,0.0,0.3846523704202327,4.2792576209250885,51.10587556495817,6.173670545244735,3.9138378690258677,2.5867871910760654
2024-06-26,20.733310610118323,0.33597896479524764,9.933291133076885,0.0,0.3895408287481132,4.333641719822759,51.75536835954618,6.252130301407216,3.64707600915421,2.619662073331061
2024-06-27,20.47312241561689,0.3317626694874507,9.808635445715934,0.0,0.4375420713530147,4.471583806135206,51.10587556495817,6.433310895278392,4.365804404269642,2.5723627271853062
2024-06-28,23.069621755018748,0.32746428740923544,9.681552845142614,0.0,0.4318731906411656,4.413649091167956,48.5453941436097,6.349959660196479,4.641450334583077,2.5390346922310285
2024-07-02,19.93611151444751,0.3339625381152897,9.873675039930303,0.0,0.44044334736943996,4.501234209379992,51.20274914089347,6.475969217366052,4.772276269299647,2.4635787231982964
2024-07-03,19.431078403622983,0.32550240588734786,9.623549391452023,0.0,0.42928578167751674,4.387206340220776,52.36814793848477,6.028870648174356,5.005189168789508,2.401169921690726
2024-07-04,24.030316540347748,0.34180413137167487,10.105513449249518,0.0,0.4507851587655422,4.6069252489225745,44.97448853222371,6.5983058403923325,5.875068113142121,3.0167929855847824
2024-07-05,22.748901074001903,0.3126840984275162,9.244573344813523,0.0,0.4123804776362895,4.200842887569674,48.16694611863869,6.036162595731183,6.2038337789459375,2.6736756242352837
2024-07-08,23.209453364604006,0.3112033195020747,9.200793793974382,0.0,0.41042756629983757,4.18094894461483,47.938841782428284,6.00757712430092,6.079740212881111,2.661013891394552
2024-07-09,21.531502121904584,0.3217833325560789,9.513594179918854,0.0,0.42438091684932144,4.323089119992538,48.63591848155575,6.211817376299958,6.2864338012404986,2.751480669682414
2024-07-10,21.56166814551908,0.322234156820623,9.526922897305374,0.0,0.4249754821837201,4.002241628917013,48.704058282351845,6.220520244711157,6.4820436183626775,2.755335543828515
2024-07-11,21.36111111111111,0.3194444444444445,9.444444444444445,0.0,0.4212962962962963,3.9212962962962963,48.65277777777778,6.166666666666667,6.981481481481482,2.7314814814814814
2024-07-12,20.51920007511032,0.32391324758238665,9.576565580696649,0.0,0.4271899352173505,3.976152473946108,49.333395925265236,6.252933996807812,6.820955778800113,2.7696929865740305
2024-07-15,21.284019539427774,0.3210048848569435,9.490579204466156,0.0,0.4233542684345197,3.940451267736683,48.89043963712491,6.19678995115143,6.708536869039311,2.7448243777622703
2024-07-16,21.32912567291628,0.3202153332095786,9.46723593837015,0.0,0.42231297568219794,3.9307592351958416,48.770187488397994,6.18154817152404,6.803415630220902,2.775199554483015
2024-07-17,20.62978084377493,0.32380684217936084,9.573419681824582,0.0,0.42704960345393966,3.9748463090712844,49.31718991975222,6.250879909897226,6.696700924491998,2.8063259655544606
2024-07-18,21.147136809787412,0.3209750197702005,9.489696236684189,0.0,0.4233148811462064,3.9400846629762296,48.885891054565754,6.196213425129088,6.8149044052658505,2.781783504675071
2024-07-19,21.15500953976453,0.32109451347200896,9.493229093955048,0.0,0.42347247428917123,3.9415514914607472,48.90409046488901,6.198520173111825,6.817441481688305,2.745590767369352
2024-07-22,21.246551643521766,0.3226258942348155,9.538504699116286,0.0,0.42549212138214804,3.9603497451723007,49.13732641324169,6.2280824800112216,6.3823818207322205,2.758685182587553
2024-07-23,19.8150277937512,0.33064979873490513,9.7757331799885,0.0,0.436074372244585,4.058846080122676,50.35940195514663,6.382978723404255,6.0139927161203754,2.82729538048687
2024-07-24,16.488480650504442,0.34633338352657733,10.239421773829243,0.0,0.4567585203031672,4.753300205792301,52.12066455855042,6.685740099382623,5.947899412739045,2.961401395372183
2024-07-25,16.341657546512785,0.34324942791762014,10.148243955825292,0.0,0.4526912745000497,4.710974032434584,51.65655158690677,6.974430404934832,6.342652472390807,3.029549298577256
2024-07-26,16.73944687045124,0.34633338352657733,10.239421773829243,0.0,0.4567585203031672,4.753300205792301,52.12066455855042,6.19886563268584,6.08844049590925,3.056768558951965
2024-07-29,16.484602837229996,0.3410607483564826,10.083535168800356,0.0,0.4498047550788394,4.680935198457812,51.327171172952404,6.499925856359052,7.122732440314369,3.0102318224506943
2024-07-30,17.256896889062805,0.33750733711602426,9.978477792995498,0.0,0.4451183721385248,4.6321659166503615,50.79240853062023,6.432205047935826,7.146351007630601,2.9788691058501273
2024-07-31,16.617473435655253,0.3394332939787485,10.035419126328216,0.0,0.4476584022038568,4.658598976780795,51.082251082251084,6.468909878000787,7.09366391184573,3.2565918929555293
2024-08-01,16.813812046301745,0.33843437316068276,10.005885815185403,0.0,0.44634098489307433,4.644889150480675,50.93192073768884,6.449872474004316,7.121836374337846,3.24700804394742
2024-08-02,17.546914296769202,0.3337202553685432,9.866511897852583,0.0,0.4401238150512672,4.580189591797253,50.222480170245696,6.746952988972723,7.16289417682337,3.1002128071193655
2024-08-06,17.529474552423462,0.33477269419242156,9.897627480471591,0.0,0.4415118140798603,4.594633933336568,50.38086458687109,6.768230556498957,6.942894570860219,3.109989811265829
2024-08-07,18.260386131608207,0.3689477408268472,10.310320428585868,0.0,0.45992115637319314,4.786212473466088,50.0,7.050439704841807,5.524107955119781,3.239664409178207
2024-08-08,18.538489190160735,0.3748780362553279,10.476043752888616,0.0,0.4673137164278745,4.86314384018898,48.96009859805885,7.163765213372361,5.813177219740153,3.3430904329071023
2024-08-09,22.283440465258646,0.37241097847158455,10.407101316192225,0.0,0.4642383430262218,4.8311396796245285,44.668911335578,7.213549637792062,6.43811855933068,3.321089684726048
2024-08-12,19.337748344370862,0.38675496688741723,10.80794701986755,0.0,0.4821192052980133,5.017218543046358,46.389403973509935,7.491390728476821,6.479470198675497,3.6079470198675496
2024-08-13,20.41158707079745,0.408231741415949,11.408119897103232,0.0,0.5088916228609774,5.295828207135667,43.37322447153562,7.907392909070573,6.878425232076949,3.8082988480035787
2024-08-14,20.134604598990467,0.4094223219293326,11.441390914189569,0.0,0.6393718452047112,5.311273135165451,43.4997195737521,7.930454290521592,6.814357823892317,3.819405496354459
2024-08-15,24.950005262603938,0.38417008735922537,10.735712030312598,0.0,0.5999368487527629,4.983685927797074,40.816756130933584,7.4413219661088315,6.504578465424691,3.5838332807072937
2024-08-16,20.600189299036803,0.40643616725126663,11.357942208117588,0.0,0.6347085351595122,5.272534936807528,43.18245086576471,7.87261288346974,6.881576749624186,3.7915483547686653
2024-08-19,18.672861913750545,0.3533226852524079,9.873675039930303,0.0,0.5517641934078699,4.5835148347127435,49.3006146846716,6.8438120129712985,6.524369585208848,3.2960650500943807
2024-08-20,19.072140141489,0.3513162327349728,9.817604312045814,0.0,0.5486308292025603,4.557485923287935,49.0206458443621,6.80494730256509,6.549882092497233,3.2773473218152946
2024-08-21,19.149445082280902,0.34921546115575963,9.758897818599312,0.0,0.5453501722158438,4.530233448143896,48.727516264829696,6.76425564485266,6.917336394948335,3.2577497129735935
2024-08-22,18.76776337973891,0.35165470398381427,9.827062960643577,0.0,0.5491594007418469,4.561876776337974,49.0678741750566,6.811503444289224,6.7826003179343894,3.2805048412736646
2024-08-23,18.87225596633029,0.34913195274762066,9.756564158974603,0.0,0.5452197618250514,4.529150126739681,48.71586398201732,6.762638098426516,7.212205270457697,3.2569706824812283
2024-08-26,18.786897733765,0.34755284707674733,9.71243572652828,0.0,0.5427537611883451,4.508665016187393,48.59074462007237,6.732051037897543,7.53665968386974,3.2422395734145875
2024-08-27,18.912395286099674,0.34549671068200105,9.654976572483315,0.0,0.539542808462303,4.4819915755596575,48.30327985233565,6.692223957593828,7.847034880969284,3.223058355814284
2024-08-28,18.6316634402002,0.3446810519854573,9.6321828226073,0.0,0.5382690400868785,4.471410359318193,48.18924406251476,6.676424760375845,8.300675197129232,3.215449265782143
2024-08-29,18.784191661950576,0.3442746651575174,9.62082625919638,0.0,0.5376344086021506,4.466138464440672,48.13242784380306,6.668553103188078,8.234295415959252,3.2116581777023203
2024-08-30,19.722859416693975,0.34174430036047004,9.550114695004916,0.0,0.5336828800149805,3.9651701699358646,47.81611347783343,6.619540283694583,8.262721782688075,3.1880529937736997
2024-09-02,27.720137134608446,0.32930350054132085,9.202453987730062,0.0,0.5142547816672681,3.8208228076506674,40.66221580656803,6.51840490797546,8.160411403825334,3.071995669433418
2024-09-03,26.82634177857769,0.3368867968064978,9.414370760071993,0.0,0.5260971895334349,3.9088098204808714,39.33730213669297,6.668512621717661,7.582260371959943,5.3994185241589365
2024-09-04,25.85654663690187,0.3542657478404348,9.900029117732698,0.0,0.5532369212850625,4.110453266039018,40.34747161021062,6.934873337862759,8.555760458118995,3.387362904008541
2024-09-05,24.478544518974548,0.33538546356703114,9.372415694201965,0.0,0.5237526417348158,3.8913902416613064,43.71037397776348,6.565285307360103,7.91601580446568,3.2068363502710646
2024-09-09,27.353045640206002,0.3240987391227136,9.057005860415558,0.0,0.5061267980820459,3.7604333155744984,41.35144734505417,6.388740898597052,8.160184691884211,3.098916711063754
2024-09-10,29.704857076458286,0.339298164071578,9.481756913781084,0.0,0.5298628863583547,3.936788287241459,38.178015338136184,6.6883569602602835,7.896816174761794,3.244248198930978
2024-09-11,28.163323509839337,0.3469911588554045,9.696739233767468,0.0,0.5418766042399468,4.026048103431886,38.568304971955506,6.840003802642837,8.451373704724784,3.3653389105428277
2024-09-12,31.419884739302084,0.3312610609429596,9.257158415392293,0.0,0.5173117938013341,3.8435358714888594,36.81989381494759,6.529926941053682,8.068248854199755,3.212778508871444
2024-09-13,32.99739289466516,0.2840577454375657,7.938052064282656,0.0,0.4435970271216779,3.2958480874742206,39.74862835129772,5.599439666913109,7.105334837931437,2.5876493248764545
