date,BOCOM INTERNATIONAL SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,DONGXING SECURITIES (HONG KONG) CO LTD,TIGER FAITH SECURITIES LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CGS INTERNATIONAL SECURITIES HK LTD,THE HONGKONG AND SHANGHAI BANKING,EVERBRIGHT SECURITIES INVESTMENT,BANK OF CHINA (HONG KONG) LTD
2024-12-23,74.4881299771601,0.0,9.110276781286416,7.202075081096241,5.526778017347389,1.701863151847918,0.0,1.228316183402435,0.0,0.7425608078595044
2024-12-27,74.48172645577888,0.0,9.109493598084265,7.201455940277629,5.526302896798461,1.7103135481893688,0.0,1.2282105887399604,0.0,0.7424969721314302
2024-12-30,74.47500394315473,0.0,9.10867140063226,7.200805956976025,5.525804108132348,1.7191849007940851,0.0,1.2280997338822546,0.0,0.742429956428303
2025-01-03,74.47474787143065,0.0,9.10864008175927,7.200781198027406,5.525785108439702,1.7191789896209637,0.0,1.2284393470336596,0.0,0.7424274036883384
2025-01-08,74.4828149767382,0.0,9.109626729728523,7.20156118670654,5.5263836615285085,1.7085332102734365,0.0,1.2285724115939256,0.0,0.7425078234308676
2025-01-09,74.48249482021212,0.0,9.109587572958624,7.201530231555172,5.526359906951089,1.7090416736697724,0.0,1.228481162813936,0.0,0.7425046318392851
2025-01-10,74.51619037881524,0.0,9.113708710987844,7.204788172693358,5.4763098641507,1.7171254132484528,0.0,1.2290369223801847,0.0,0.7428405377242263
2025-01-15,74.51305015124217,0.0,9.1133246451997,7.204484551770669,5.510480347207856,1.7980680258310777,0.0,1.1127948623058457,0.0,0.7477974164426846
2025-01-21,74.51292198431001,0.0,9.113308969732664,7.20447215962351,5.510470868849912,1.7982369390661093,0.0,1.1127929482316892,0.0,0.7477961301861088
2025-01-22,74.47455581879322,0.0,9.108616592745864,7.2007626289276745,5.507633567187333,1.8488003178103907,0.0,1.1122199791774523,0.0,0.7474110953580615
2025-01-24,74.47442778425189,0.0,9.108600933470896,7.200750249581059,5.507624098620117,1.8490550151454959,0.0,1.1121321085004148,0.0,0.7474098104301324
2025-02-03,74.45202851696958,0.0,9.105861389268318,7.1985845192186755,5.505967600571783,1.8787472047711342,0.0,1.1116257531408953,0.0,0.7471850160596172
2025-02-04,74.43156097460079,0.0,9.103358104838039,7.196605562612962,5.504453959810198,1.8842443572256191,0.0,1.1113201570724756,0.0,0.7684568838399208
2025-02-06,74.4321364704282,0.0,9.10342849090191,7.196661205896787,5.508792007946994,1.8791902497049817,0.0,1.1113287496655226,0.0,0.7684628254556065
2025-02-10,74.43897915828138,0.0,9.104265386395053,7.197322808647321,5.509298441672343,1.8702557347336148,0.0,1.1113449985657526,0.0,0.768533471704535
2025-02-11,74.43629309342964,0.0,9.103936867015396,7.197063099607226,5.511677080447682,1.8966499341880043,0.0,1.0858741854594214,0.0,0.7685057398526332
