date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,KAISA FINANCIAL GROUP CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,PUBLIC BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-07-11,4.282946823415125,4.300766267063858,2.2777340292945985,2.219600335790972,1.504335780018174,1.7205038895289553,1.7689249896281303,1.1414329443117732,1.0102076474165638,0.8504738603247927,21.07692656679294
2024-07-12,4.283553221889511,4.300766267063858,2.2777340292945985,2.219600335790972,1.5038370172729925,1.7205038895289553,1.7661961964933983,1.1429489404977355,1.0102076474165638,0.8504738603247927,21.07582140557338
2024-07-15,4.283553221889511,4.297734274691933,2.2786436270061756,2.219600335790972,1.5033822184172039,1.7205038895289553,1.765286598781821,1.1429489404977355,1.0102076474165638,0.8504738603247927,21.072334614345664
2024-07-16,4.2826436241779335,4.297127876217548,2.277127630820214,2.219600335790972,1.5030790191800114,1.7205038895289553,1.765286598781821,1.1429489404977355,1.0105108466537562,0.8504738603247927,21.06930262197374
2024-07-17,4.2817340264663555,4.297734274691933,2.277430830057406,2.219600335790972,1.4981368716137746,1.7289934681703436,1.765286598781821,1.1429489404977355,1.0105108466537562,0.8504738603247927,21.072850053048892
2024-07-18,4.284766018838281,4.297431075454741,2.277127630820214,2.219600335790972,1.4976062729486879,1.7274774719843813,1.765286598781821,1.1429489404977355,1.0105108466537562,0.8504738603247927,21.07322905209538
2024-07-19,4.284766018838281,4.297431075454741,2.2783404277689834,2.219600335790972,1.4951806790511484,1.729296667407536,1.767408993442168,1.1429489404977355,1.0099044481793713,0.8504738603247927,21.07535144675573
2024-07-22,4.353358782268326,4.300463067826666,2.277127630820214,2.219600335790972,1.4951618503785187,1.7289934681703436,1.767408993442168,1.1429489404977355,1.0099044481793713,0.8504738603247927,21.145441377699107
2024-07-23,4.353055583031133,4.300463067826666,2.277127630820214,2.219600335790972,1.4951618503785187,1.7289934681703436,1.767408993442168,1.1429489404977355,1.0099044481793713,0.8504738603247927,21.145138178461913
2024-07-24,4.353055583031133,4.291367090710891,2.2777340292945985,2.219600335790972,1.494949610912484,1.7289934681703436,1.7661961964933983,1.147496929055622,1.0099044481793713,0.8504738603247927,21.13977155196361
2024-07-25,4.353055583031133,4.292579887659661,2.2777340292945985,2.219600335790972,1.494437840920027,1.7289934681703436,1.7661961964933983,1.147496929055622,1.0099044481793713,0.8504738603247927,21.14047257891992
