date,HAO TIAN INTERNATIONAL SECURITIES LTD,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-11-01,65.35768626763247,10.456881241015731,8.680788097222782,8.525560706635952,2.678282717661728,2.6229976680014264,1.6778033018299072
2024-11-04,67.4735794292043,10.79541286250906,5.720304307450168,8.801567655900772,2.76498958277092,2.7079147320146246,1.7362314301501542
2024-11-05,67.48190164066689,10.796744371959544,5.708675821592139,8.802653243887278,2.76533061741284,2.708248727027386,1.7364455774539131
2024-11-07,67.48480102644588,10.797208258221346,5.7089210970377255,8.803031453259155,2.761152892559537,2.7083650879723833,1.7365201845039642
2024-11-08,67.26355666255836,10.761810339926894,5.6902047846623915,8.774171308981705,2.752100639222209,2.6994858958883934,2.058670368760053
2024-11-11,67.1479830948128,10.743319185457826,5.700882759095585,8.759095355040154,2.890556900203378,2.6948475860584242,2.0633151193318304
2024-11-12,67.13580225563447,10.741370316151437,5.689357092808172,8.769777201156957,2.9145740876990236,2.694358732878582,2.05476031367135
2024-11-18,67.03713170682552,10.725583554566027,5.827966934078021,8.756888121108798,2.910290492134282,2.690398791298544,2.0517403999887995
2024-11-20,67.03830905078684,10.725771923320895,5.828069288124231,8.757041914522786,2.908585347831658,2.690446041601321,2.051776433812273
2024-11-25,67.05200213362566,10.727962743547957,5.829259715458732,8.750660303481993,2.8969239935808218,2.6909955856015007,2.0521955247033286
2024-11-26,67.05474142148068,10.72840101499575,5.829497859284929,8.74693247731639,2.897042342152975,2.6911055213422843,2.052279363426977
2024-11-29,67.05482360357432,10.728414163692442,5.82950500390034,8.74694319753108,2.8969233330540063,2.6911088195532864,2.0522818786945214
2024-12-03,67.0603028642223,10.729290816174444,5.829981351098774,8.747657937785048,2.8889887350909462,2.6913287185234425,2.0524495771050484
2024-12-06,67.06578302039871,10.73016761193622,5.830457776151227,8.748372794855912,2.881052840299981,2.6915486534338084,2.0526173029241446
2024-12-09,67.05756312197097,10.728852472025666,5.84199963903875,8.747300553057741,2.8806997248863433,2.691218764546389,2.0523657244741336
2024-12-11,67.05752202754137,10.728845897136091,5.841996058925907,8.74729519250913,2.880759241845548,2.691217115305126,2.0523644667368277
2024-12-12,67.06409777701268,10.729897981982099,5.836848688833871,8.744067075319261,2.881041732914242,2.69148101962172,2.052565724316127
2024-12-13,67.21584099861109,10.536100399766116,5.915577626650789,8.763851922232334,2.813848146109712,2.697570924866495,2.0572099817634695
2024-12-16,67.2022735260534,10.533973694946013,5.914096969778062,8.762082944582303,2.813280172743067,2.6970264219792024,2.0772662699179536
2024-12-18,67.20777691137879,10.53483635201413,5.914581292000639,8.762800496477006,2.805321275824018,2.6972472891441677,2.0774363831612557
2024-12-20,67.22429247693849,10.537425171172098,5.891460844155245,8.764953857482787,2.8060106524047668,2.697910107741684,2.0779468901049305
2024-12-27,67.22432000965655,10.537429486932751,5.891463257091469,8.764957447301208,2.805970845147475,2.6979112127112663,2.077947741159271
2025-01-03,67.23533490592196,10.539156074761172,5.876043305357289,8.766393610538543,2.8064306114608955,2.6983532731461954,2.0782882188139427
2025-01-06,67.02460787480186,10.506124558323373,5.85762678133456,8.738918234655255,2.797634778263586,2.6898961727991986,2.385191599822166
2025-01-15,67.03008219831626,10.50698265994513,5.858105210750927,8.739631997362704,2.789695646495988,2.690115873627551,2.3853864135014295
2025-01-23,67.02734492478297,10.506553591613322,5.857865986274055,8.739275101435195,2.7936653744829396,2.690006018727469,2.385289002684044
2025-01-24,65.03669141400934,10.194518140757452,8.737014753586124,8.47972627577589,2.6274862168811466,2.610115193107102,2.3144480058829444
2025-01-28,67.08487465715211,10.515571391989061,5.862893806827334,8.746776042405632,2.710232942214185,2.6923148574037206,2.387336302007946
2025-02-04,67.13151872691049,10.52288286194505,5.871060269259336,8.752857670104392,2.7121173654178374,2.6941868221746472,2.3153762841882477
2025-02-07,65.08052983172348,10.201389824032422,8.746869036357676,8.485442092101982,2.6292572915746693,2.6118745587456313,2.244637365464131
2025-02-10,65.07794946537172,10.200985350941757,8.746522233303011,8.485105654317731,2.6331179268335068,2.611771000995812,2.2445483682364693
2025-02-11,65.09601632798349,10.203817336312444,8.717222568844726,8.487461279216218,2.6378149128271793,2.6124960777420223,2.2451714970739256
2025-02-19,65.09343473346729,10.203412670706685,8.716876858995647,8.48712468129931,2.641676127342059,2.612392470702324,2.245082457486686
2025-02-20,65.09348636335093,10.203420763704253,8.716883772923909,8.48713141299601,2.6415989060530927,2.612394542762584,2.24508423820922
2025-02-26,65.0805814411377,10.2013979138214,8.734980844998312,8.4854488211298,2.641075203447722,2.6118766299843927,2.244639145480671
2025-03-03,65.08019437252626,10.201337240716803,8.734928893450986,8.485993106529014,2.641059495577739,2.6118610957737567,2.2446257954254323
