date,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA CONSTRUCTION BANK (ASIA),DBS VICKERS (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-07-29,51.128979355665635,43.0255411950883,1.1318323730969826,1.3274948844036418,1.0949656857193317,0.9189687618952326,0.755988340389246,0.6162294037416323
2024-07-30,51.11798828537897,43.01629210086901,1.1530858186614161,1.327209516110288,1.09473030365294,0.918771213452441,0.7558258274447315,0.6160969344302049
2024-07-31,26.06807249255649,21.936540510675243,0.5880263625241722,0.6768222897509768,0.5582674489478231,0.46919329448237457,0.3854400989252404,0.3141841079407676
2024-08-01,51.11205507203673,43.01129924323146,1.1529519811534565,1.3373727119196135,1.0946032394107497,0.9199542280642794,0.7557380995032724,0.6160254246804263
2024-08-05,51.11445297645509,43.012593576508316,1.152986676783258,1.3395624477466932,1.094636179159668,0.9199819121238523,0.7557608418288468,0.610025389394274
2024-08-06,51.10764194238544,43.00686212046771,1.1528330405594474,1.3518493335419322,1.0944903181775778,0.9198593239363226,0.7556601362056333,0.6108037847259414
2024-08-07,51.09490359116352,42.99614285239307,1.1946596017076225,1.3381906473804086,1.093787787690201,0.9196300531130618,0.7554717912956835,0.6072136752564282
2024-08-08,51.061989007287714,42.96844537082866,1.2411302721726967,1.3373286046871202,1.0930831857172068,0.9362159146493008,0.7549851275015921,0.6068225171557164
2024-08-09,51.05299068999122,42.960512005935165,1.2589349764764866,1.3370816905688194,1.0928813672037279,0.9360430589081653,0.7548457328259425,0.606710478090476
2024-08-12,51.047072703898486,42.95553208783141,1.277250137040353,1.3476598924940064,1.092754682035147,0.9359345542009984,0.7547582322409885,0.5890377102586098
2024-08-13,51.0306410501318,42.94170503775304,1.3013028062573557,1.355809882904679,1.0924029328429596,0.9399251799814015,0.7545152814645222,0.5836978286642494
2024-08-15,51.02954598266165,42.940783550910396,1.30299160305602,1.3557807885553252,1.092379490948219,0.9399050101095797,0.754499090307142,0.5841144834516612
2024-08-16,51.02888896473839,42.9402306777878,1.3029748267194765,1.3566216822332888,1.0923654262942868,0.9398929086019939,0.7544893759462581,0.5845361376785003
2024-08-19,51.02519258000823,42.938203598135885,1.3029133171812994,1.3625658043645013,1.0923138589949701,0.939848539073467,0.7544537587630845,0.5845085434785672
2024-08-20,51.01949981443066,42.93341307966753,1.3027679540830424,1.3735705602832078,1.0921919920029615,0.9397436822931036,0.7543695860599435,0.5844433311795466
2024-08-21,51.025849519325014,42.93875641906041,1.302930091933949,1.3745998301925029,1.0923279223210247,0.9265566760492082,0.7544634722068124,0.5845160689110799
2024-08-26,51.02365978738372,42.93691373800099,1.3028741777714912,1.3745408403827688,1.0922810459757133,0.9265169136392125,0.7544310950336895,0.5887824018124129
2024-08-27,51.00140049416089,42.903748401609924,1.323308322262883,1.373479117371359,1.1300864395630594,0.9258012533264952,0.7538483572709489,0.5883276144344379
2024-08-28,50.99343201747802,42.91147677102642,1.32354669340637,1.3728687510025244,1.1302900051209164,0.9259680204356295,0.7539841500351259,0.5884335914949902
2024-08-29,50.99153179180834,42.91276510329636,1.3235864302796774,1.3729099686731197,1.130323939844155,0.9259958207951469,0.7540067869188829,0.5888801583843153
2024-08-30,51.00509497521155,42.92417942412537,1.3239384896290054,1.3333768067942156,1.1301955790922398,0.9305322696063878,0.7542073443836007,0.5984751111576353
2024-09-02,51.020592074716106,42.93541557060551,1.3242850534305677,1.3431666290465576,1.1304914273355438,0.8964457150409774,0.7544047712025075,0.5951987586222286
2024-09-03,51.047755459895214,42.958274404334084,1.3249901033629674,1.336582693379429,1.0825761654631842,0.898211048682867,0.7612467444143037,0.5903633804679456
2024-09-04,51.048614170266816,42.958274404334084,1.3249901033629674,1.336582693379429,1.0825761654631842,0.898211048682867,0.7612467444143037,0.5895046700963559
2024-09-05,51.05029551502391,42.95679890638404,1.3249445936163946,1.3365367854594417,1.0825389819651257,0.8981801976168171,0.7612205976934114,0.5894844222408652
2024-09-10,51.05736731720676,42.947579340108014,1.3246602285146207,1.3366791806852005,1.0823066429607144,0.9009921645016813,0.7610572213727875,0.5893579046502184
2024-09-11,51.041145478872,42.933573176268254,1.3242282272591908,1.3662808410866052,1.0836701118342063,0.9006983308545177,0.7608090236327107,0.5895948101925237
2024-09-12,51.035058015252766,42.930257264886116,1.3241259524395925,1.3661753183952245,1.0844445664924909,0.909210269999837,0.7607502636666876,0.5899783488672845
2024-09-13,51.03133564788198,42.92712604107494,1.3240293740593214,1.3660756730411143,1.084794513730262,0.9172957879905473,0.7606947764767261,0.5886481857451034
2024-09-16,51.030678815888486,42.92657351958174,1.3240123322781852,1.3673452051103616,1.084351512832108,0.9177130196834212,0.7606849854598905,0.5886406091658035
2024-09-17,51.02104722220078,42.91847150479102,1.3254782660170537,1.3670871306784305,1.0841468509810683,0.9196845962267194,0.7605414128311444,0.6035430162737846
2024-09-23,51.020390655026624,42.917919206061605,1.3254612090265194,1.3670695382419151,1.0832749958820622,0.9153832427387031,0.7605316257618184,0.6099695272607478
2024-09-24,51.002232328542505,42.90264457607626,1.3597222067378072,1.3665829936529146,1.0837470530776205,0.9150574548024222,0.760260950030316,0.6097524370801519
2024-09-25,50.99370456560474,42.89547109433548,1.3594948561276303,1.3835035953086925,1.083137119054193,0.9149044537926091,0.760133831571835,0.609650484204822
2024-09-26,50.990206821100855,42.8925288213718,1.3594016060744805,1.3834086984554865,1.0830628248459686,0.9152703970258642,0.760081692705788,0.6160391384197503
2024-09-27,50.99807742110309,42.899149503233744,1.3596114366860983,1.3836222346849696,1.0832300011490883,0.9111240312071772,0.7610565437142304,0.604128828221606
