date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,YUE XIU SECURITIES CO LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA MERCHANTS SECURITIES (HK) CO LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2024-09-17,33.82887036468115,34.769519001941134,8.956527395480936,6.486034847195736,4.514197031401056,1.7440535981734455,3.231957888127493,2.580567571629435,2.329214951690004,1.5590573496796116
2024-09-19,33.828743664938344,34.78418685626514,8.956493850473217,6.459807780291321,4.514180124315579,1.7440470661450342,3.231945783430269,2.579596336880949,2.332571722042505,1.5684268152176484
2024-09-20,33.82848490114642,34.793634006222014,8.956425340204728,6.48518592272132,4.51270325078415,1.7440337255304195,3.231921061538303,2.5795766049589957,2.333755832614898,1.534279354278761
2024-09-23,33.91702075318181,34.77970313478439,8.947756071936654,6.42342894362598,4.503051757958934,1.794700031782137,3.2287927609452147,2.5782805231641612,2.291760973924556,1.535505048696164
2024-09-24,33.98367698283115,34.75393386804466,8.949308806368316,6.384426810021364,4.505994984022632,1.79381047425296,3.229353064294157,2.5787279409201456,2.284472284365924,1.536294784878684
2024-09-25,34.020808245539115,34.73982944154741,8.948398083469652,6.503448326547305,4.493767851467433,1.7962698543479494,3.229024430446877,2.5736620149305836,2.1591336575361444,1.5356580941675317
2024-09-26,33.99917805316477,34.91614775213541,8.942835021082722,6.346616207669661,4.484973509063776,1.7951531448352203,3.22701700250414,2.571341936850206,2.157551336126377,1.5591860365677208
2024-09-27,33.998882654188336,34.960830751954795,8.942252281225697,6.346442414783121,4.486121316894167,1.774875312219198,3.226806721153515,2.5543736682052387,2.1571707339314505,1.552244145444477
2024-09-30,33.99282959288597,35.01235469939914,8.941228302616578,6.336116494706362,4.472888527357617,1.786671206019443,3.226437219046628,2.547322053742434,2.15356395818851,1.530587946037322
2024-10-02,34.11023701585221,34.88589570356994,8.95737600842295,6.366268474126486,4.485774809850575,1.686038146265658,3.256305720158846,2.551441641711956,2.15961700291167,1.5410454771297064
2024-10-03,34.20444344121259,34.818874617403026,8.954534121430065,6.309535540396414,4.514874776219585,1.6674777334762043,3.250225462793568,2.5525548700636365,2.1574897869993075,1.5699896500056048
2024-10-04,34.20494737693932,34.765602604879895,8.954666049016252,6.373716058679257,4.472881204352936,1.667502300506651,3.2803162697632247,2.565811362324143,2.143582138632507,1.570974634905803
2024-10-07,34.20428449490838,34.85988896589435,8.954492510166691,6.322509505987899,4.449842174194261,1.6674699847922196,3.280252698178474,2.5657616376387593,2.122150451247889,1.5733475769910854
2024-10-08,34.207935248032356,34.79282238885698,8.955448257143653,6.353372893774358,4.442385098716028,1.6676479601934306,3.280602812000826,2.5715638714991584,2.125261328794033,1.6029601409891792
2024-10-09,34.25150010328735,34.70381607515556,8.966832356977736,6.381967669295778,4.470424966708475,1.6697717610447633,3.28959416986747,2.564971347493946,2.1640684856815593,1.5370530644873723
2024-10-10,34.46852803558296,34.50168538411082,8.984193908872493,6.204537601032333,4.486073546488038,1.792126179572502,3.3005450642540355,2.576207184736819,2.148726735885169,1.5373763594648233
2024-10-14,34.482816284818625,34.53451529263072,8.99055978489402,6.194312619528113,4.494802284930343,1.8025656938250183,3.302883711537878,2.5884088071410036,2.149284016924842,1.4598515037694362
2024-10-15,34.57436197005031,34.58711815036926,9.009699433107299,5.958601886218797,4.518497793291801,1.8235723980846261,3.309915090433152,2.609879356660247,2.1661924155220262,1.4421615062624822
2024-10-16,34.511672042620546,34.63382867573071,9.002367066938307,5.9550812872476735,4.517719993751211,1.8655806810873838,3.297556412117747,2.6077553578252126,2.1658794895576023,1.4425589931236111
2024-10-17,34.433190868109406,34.54633961865866,8.981517968288614,6.1628072440989445,4.493516462280676,1.9499718627545681,3.2899194119345774,2.589903740201881,2.1613455341980763,1.39148728947459
2024-10-18,34.54538745966977,34.54905241704348,8.956606396257753,6.172539695249954,4.4707159995515315,1.9753340159225794,3.2807943325554,2.5779123378952757,2.1531866769506958,1.3184706689035692
2024-10-21,34.53545391560244,34.54140133838776,8.954654059977802,6.1445627081478555,4.4767114499194385,2.0200880366383545,3.2800791940845198,2.577350411696766,2.150073551573654,1.3196253339714152
2024-10-22,34.58426815152224,34.56495079524732,8.947074707495604,6.199554075296806,4.414568231230162,2.0116542790455414,3.277302886232204,2.5677245583982704,2.1434508937378087,1.2894514217940551
2024-10-23,34.64695431501426,34.64846854019312,8.964972577659927,5.9260764002205715,4.445055053869643,2.0652462593636183,3.2838588549107492,2.5716579725385555,2.1477386869052877,1.2999713393242665
2024-10-24,34.67900551093689,34.54118518457683,8.973265892273243,5.923369826329328,4.448926241146349,2.1073775833092423,3.2868966862474958,2.5759637064783325,2.1504480459353403,1.3135613227669503
2024-10-25,34.742696752047436,34.36474421203645,8.987811124997426,5.919127654526117,4.461433416204615,2.1802688027787944,3.2922245877959146,2.5837577230498088,2.1522451840267247,1.3156905425367091
2024-10-28,34.77541867848769,34.22736622541685,8.994527489200891,5.92545514126823,4.470802678073945,2.2369404124628907,3.294684784062138,2.586654155186464,2.1690625728458643,1.3190878629950333
2024-10-29,34.782654764810076,34.205578715242545,8.988599125672229,5.921549627366318,4.467132172913195,2.27937438246789,3.292513231511354,2.580365431916198,2.1640141062490175,1.31821844185118
2024-10-30,34.87339569048312,34.265079418016754,9.014549585998736,5.599913452116602,4.475673847910844,2.3856389298025698,3.302502756864671,2.585879444790107,2.16251926645387,1.3348476075627251
2024-10-31,34.90866264894744,33.809977378354475,9.023102449433013,5.60864421729562,4.493966781773652,2.46540023286795,3.3056361197466786,2.5943874059354455,2.1202519500510593,1.6699708155946718
2024-11-01,34.88296469296367,33.743999730781674,9.018900302628309,5.6149645255784995,4.488242877865502,2.564710285085425,3.3040966527688904,2.593663310386814,2.1192645280410574,1.6691930939001631
2024-11-04,34.88242647758977,33.730014022806124,9.018761148435388,5.59139765919466,4.49011014196843,2.5971073230310093,3.304045673282742,2.596043934786991,2.1209262792774197,1.6691673396274669
2024-11-05,34.899527956178666,33.695341908631846,9.02318269149454,5.556059511309396,4.4898896367333405,2.6412469597657564,3.305665516626343,2.5965901240191864,2.1226926345917487,1.6698030606491745
2024-11-06,34.736762324677,33.5391596626894,8.981474016438096,6.343966408279464,4.470581993735756,2.6692956822519984,3.2903854393418364,2.5845876701799693,2.113362846981726,1.2704239554247532
2024-11-07,34.65829260732053,33.66896969664078,8.966723193255937,6.3337879924331,4.460592340951498,2.7014932019330247,3.2849814384252776,2.565180788648174,2.1094106070454375,1.250568133346234
2024-11-08,34.62304573363272,33.681182868084136,8.957106607624258,6.299613370419823,4.453885192103643,2.7752865283199637,3.281458378259346,2.5564194607197557,2.1083503642783543,1.2636514965579944
2024-11-11,34.620243139665504,33.669180362354524,8.95544881733731,6.297005242006021,4.4530608625590595,2.8089046970821143,3.2808510426469875,2.5559463160384435,2.0959419016401615,1.2634176186698718
2024-11-12,34.527545581961995,33.69359921059053,8.958526325296264,6.359140649287926,4.455715233254499,2.859642608176174,3.281978495374576,2.5580268955554777,2.060595033390367,1.2452299671121985
2024-11-13,34.53639589859224,33.68540012266689,8.960822630845438,6.341391276547056,4.454452258333646,2.886591109667361,3.2828197526480993,2.5586825850229094,2.060882708834627,1.2325616568417266
